#            iprt         eigenv.           conv.
         1.000000       -2.984847        1.000000
         2.000000       -2.984803        1.000000
         3.000000       -2.535949        1.000000
         4.000000       -2.258034        1.000000
         5.000000       -2.257544        1.000000
         6.000000       -1.821637        1.000000
         7.000000       -1.316613        1.000000
         8.000000       -0.973508        1.000000
         9.000000       -0.973501        1.000000
        10.000000       -0.926942        1.000000
        11.000000       -0.917626        1.000000
        12.000000       -0.917599        1.000000
        13.000000       -0.917085        1.000000
        14.000000       -0.802286        1.000000
        15.000000       -0.800319        1.000000
        16.000000       -0.733973        1.000000
        17.000000       -0.733958        1.000000
        18.000000       -0.696471        1.000000
        19.000000       -0.689672        1.000000
        20.000000       -0.646643        1.000000
        21.000000       -0.646356        1.000000
        22.000000       -0.640283        1.000000
        23.000000       -0.640280        1.000000
        24.000000       -0.515549        1.000000
        25.000000       -0.515548        1.000000
        26.000000       -0.513157        1.000000
        27.000000       -0.513088        1.000000
        28.000000       -0.468576        1.000000
        29.000000       -0.461755        1.000000
        30.000000       -0.454295        1.000000
        31.000000       -0.431460        1.000000
        32.000000       -0.428924        1.000000
        33.000000       -0.428922        1.000000
        34.000000       -0.406440        1.000000
        35.000000       -0.406437        1.000000
        36.000000       -0.397520        1.000000
        37.000000       -0.378741        1.000000
        38.000000       -0.378473        1.000000
        39.000000       -0.376752        1.000000
        40.000000       -0.376737        1.000000
        41.000000       -0.375521        1.000000
        42.000000       -0.374906        1.000000
        43.000000       -0.373030        1.000000
        44.000000       -0.356513        1.000000
        45.000000       -0.339752        1.000000
        46.000000       -0.339680        1.000000
        47.000000       -0.328897        1.000000
        48.000000       -0.328895        1.000000
        49.000000       -0.322590        1.000000
        50.000000       -0.322589        1.000000
        51.000000       -0.312321        1.000000
        52.000000       -0.306570        1.000000
        53.000000       -0.306569        1.000000
        54.000000       -0.302246        1.000000
        55.000000       -0.302243        1.000000
        56.000000       -0.275198        1.000000
        57.000000       -0.274952        1.000000
        58.000000       -0.272465        1.000000
        59.000000       -0.272403        1.000000
        60.000000       -0.268385        1.000000
        61.000000       -0.268384        1.000000
        62.000000       -0.257981        1.000000
        63.000000       -0.256724        1.000000
        64.000000       -0.250286        1.000000
        65.000000       -0.240720        1.000000
        66.000000       -0.228159        1.000000
        67.000000       -0.217897        1.000000
        68.000000       -0.217896        1.000000
        69.000000       -0.208118        1.000000
        70.000000       -0.208118        1.000000
        71.000000       -0.206000        1.000000
        72.000000       -0.205988        1.000000
        73.000000       -0.205255        1.000000
        74.000000       -0.204199        1.000000
        75.000000       -0.203974        1.000000
        76.000000       -0.195996        1.000000
        77.000000       -0.190013        1.000000
        78.000000       -0.190012        1.000000
        79.000000       -0.188259        1.000000
        80.000000       -0.187595        1.000000
        81.000000       -0.186715        1.000000
        82.000000       -0.186711        1.000000
        83.000000       -0.181930        1.000000
        84.000000       -0.181921        1.000000
        85.000000       -0.181653        1.000000
        86.000000       -0.175798        1.000000
        87.000000       -0.167412        1.000000
        88.000000       -0.167409        1.000000
        89.000000       -0.160937        1.000000
        90.000000       -0.160935        1.000000
        91.000000       -0.139717        1.000000
        92.000000       -0.138806        1.000000
        93.000000       -0.138148        0.000000
        94.000000       -0.137044        1.000000
        95.000000       -0.137043        1.000000
        96.000000       -0.136341        1.000000
        97.000000       -0.136336        1.000000
        98.000000       -0.136153        1.000000
        99.000000       -0.134375        1.000000
       100.000000       -0.134371        1.000000
