#            iprt         eigenv.           conv.
         1.000000       -2.246575        1.000000
         2.000000       -1.485602        1.000000
         3.000000       -1.414108        1.000000
         4.000000       -1.414106        1.000000
         5.000000       -1.299894        1.000000
         6.000000       -0.838276        1.000000
         7.000000       -0.838275        1.000000
         8.000000       -0.794080        1.000000
         9.000000       -0.650166        1.000000
        10.000000       -0.650133        1.000000
        11.000000       -0.526287        1.000000
        12.000000       -0.522783        1.000000
        13.000000       -0.522779        1.000000
        14.000000       -0.426205        1.000000
        15.000000       -0.422379        1.000000
        16.000000       -0.422369        1.000000
        17.000000       -0.406436        1.000000
        18.000000       -0.406424        1.000000
        19.000000       -0.398816        1.000000
        20.000000       -0.398814        1.000000
        21.000000       -0.386942        1.000000
        22.000000       -0.344324        1.000000
        23.000000       -0.344322        1.000000
        24.000000       -0.321216        1.000000
        25.000000       -0.315482        1.000000
        26.000000       -0.313483        1.000000
        27.000000       -0.289529        1.000000
        28.000000       -0.289528        1.000000
        29.000000       -0.273379        1.000000
        30.000000       -0.270078        1.000000
        31.000000       -0.270078        1.000000
        32.000000       -0.235368        1.000000
        33.000000       -0.215298        1.000000
        34.000000       -0.215286        1.000000
        35.000000       -0.205828        1.000000
        36.000000       -0.195741        1.000000
        37.000000       -0.184401        1.000000
        38.000000       -0.184324        1.000000
        39.000000       -0.171830        1.000000
        40.000000       -0.171819        1.000000
        41.000000       -0.168995        1.000000
        42.000000       -0.154270        1.000000
        43.000000       -0.154270        1.000000
        44.000000       -0.143004        1.000000
        45.000000       -0.136620        1.000000
        46.000000       -0.136619        1.000000
        47.000000       -0.117273        1.000000
        48.000000       -0.110157        1.000000
        49.000000       -0.110155        1.000000
        50.000000       -0.108000        1.000000
        51.000000       -0.104648        1.000000
        52.000000       -0.104648        1.000000
        53.000000       -0.098380        1.000000
        54.000000       -0.097341        1.000000
        55.000000       -0.096349        1.000000
        56.000000       -0.096349        1.000000
        57.000000       -0.095846        1.000000
        58.000000       -0.095846        1.000000
        59.000000       -0.090959        1.000000
        60.000000       -0.090959        1.000000
        61.000000       -0.090747        1.000000
        62.000000       -0.083385        1.000000
        63.000000       -0.083385        1.000000
        64.000000       -0.082105        1.000000
        65.000000       -0.079802        1.000000
        66.000000       -0.079801        1.000000
        67.000000       -0.078936        1.000000
        68.000000       -0.078690        1.000000
        69.000000       -0.075219        1.000000
        70.000000       -0.073243        1.000000
        71.000000       -0.073243        1.000000
        72.000000       -0.072928        1.000000
        73.000000       -0.068585        1.000000
        74.000000       -0.067507        1.000000
        75.000000       -0.067506        1.000000
        76.000000       -0.065604        1.000000
        77.000000       -0.064784        1.000000
        78.000000       -0.064458        1.000000
        79.000000       -0.064457        1.000000
        80.000000       -0.059778        1.000000
        81.000000       -0.056788        1.000000
        82.000000       -0.056788        1.000000
        83.000000       -0.056079        1.000000
        84.000000       -0.055993        1.000000
        85.000000       -0.055962        1.000000
        86.000000       -0.054127        1.000000
        87.000000       -0.054125        1.000000
        88.000000       -0.051659        1.000000
        89.000000       -0.049993        1.000000
        90.000000       -0.049985        1.000000
        91.000000       -0.046540        1.000000
        92.000000       -0.046368        1.000000
        93.000000       -0.046365        1.000000
        94.000000       -0.045468        1.000000
        95.000000       -0.044604        1.000000
        96.000000       -0.044603        1.000000
        97.000000       -0.044317        1.000000
        98.000000       -0.044206        1.000000
        99.000000       -0.044206        1.000000
       100.000000       -0.043138        1.000000
       101.000000       -0.043138        1.000000
       102.000000       -0.042841        1.000000
       103.000000       -0.042841        1.000000
       104.000000       -0.042462        1.000000
       105.000000       -0.041290        1.000000
       106.000000       -0.040905        1.000000
       107.000000       -0.040905        1.000000
       108.000000       -0.039782        1.000000
       109.000000       -0.039781        1.000000
       110.000000       -0.038017        1.000000
       111.000000       -0.038016        1.000000
       112.000000       -0.036985        1.000000
       113.000000       -0.036456        1.000000
       114.000000       -0.036265        1.000000
       115.000000       -0.036265        1.000000
       116.000000       -0.035513        1.000000
       117.000000       -0.035513        1.000000
       118.000000       -0.034643        1.000000
       119.000000       -0.034640        1.000000
       120.000000       -0.033603        1.000000
       121.000000       -0.033603        1.000000
       122.000000       -0.032931        1.000000
       123.000000       -0.032100        1.000000
       124.000000       -0.032100        1.000000
       125.000000       -0.031729        1.000000
       126.000000       -0.031267        1.000000
       127.000000       -0.031267        1.000000
       128.000000       -0.031039        1.000000
       129.000000       -0.030782        1.000000
       130.000000       -0.030782        1.000000
       131.000000       -0.029919        1.000000
       132.000000       -0.029603        1.000000
       133.000000       -0.029376        1.000000
       134.000000       -0.029376        1.000000
       135.000000       -0.029194        1.000000
       136.000000       -0.028550        1.000000
       137.000000       -0.028468        1.000000
       138.000000       -0.028467        1.000000
       139.000000       -0.027648        1.000000
       140.000000       -0.027107        1.000000
       141.000000       -0.027107        1.000000
       142.000000       -0.026952        1.000000
       143.000000       -0.026469        1.000000
       144.000000       -0.026243        1.000000
       145.000000       -0.026242        1.000000
       146.000000       -0.025352        1.000000
       147.000000       -0.025350        1.000000
       148.000000       -0.024725        1.000000
       149.000000       -0.024570        1.000000
       150.000000       -0.024074        1.000000
       151.000000       -0.024074        1.000000
       152.000000       -0.023822        1.000000
       153.000000       -0.023433        1.000000
       154.000000       -0.023427        1.000000
       155.000000       -0.023398        1.000000
       156.000000       -0.022776        1.000000
       157.000000       -0.022774        1.000000
       158.000000       -0.022541        1.000000
       159.000000       -0.022540        1.000000
       160.000000       -0.022400        1.000000
       161.000000       -0.022395        1.000000
       162.000000       -0.022032        1.000000
       163.000000       -0.022031        1.000000
       164.000000       -0.022000        1.000000
       165.000000       -0.021848        1.000000
       166.000000       -0.021847        1.000000
       167.000000       -0.021808        1.000000
       168.000000       -0.021459        1.000000
       169.000000       -0.021377        1.000000
       170.000000       -0.020966        1.000000
       171.000000       -0.020784        1.000000
       172.000000       -0.020780        1.000000
       173.000000       -0.020274        1.000000
       174.000000       -0.020273        1.000000
       175.000000       -0.019973        1.000000
       176.000000       -0.019972        1.000000
       177.000000       -0.019616        1.000000
       178.000000       -0.019616        1.000000
       179.000000       -0.019251        1.000000
       180.000000       -0.019251        1.000000
       181.000000       -0.019210        1.000000
       182.000000       -0.019210        1.000000
       183.000000       -0.019017        1.000000
       184.000000       -0.018950        1.000000
