#            iprt         eigenv.           conv.
         1.000000       -2.246575        1.000000
         2.000000       -1.485603        1.000000
         3.000000       -1.414108        1.000000
         4.000000       -1.414106        1.000000
         5.000000       -1.299893        1.000000
         6.000000       -0.838277        1.000000
         7.000000       -0.838274        1.000000
         8.000000       -0.794079        1.000000
         9.000000       -0.650165        1.000000
        10.000000       -0.650132        1.000000
        11.000000       -0.526275        0.000000
        12.000000       -0.522770        0.000000
        13.000000       -0.522754        0.000000
        14.000000       -0.426131        0.000000
        15.000000       -0.422344        0.000000
        16.000000       -0.422288        0.000000
        17.000000       -0.406421        1.000000
        18.000000       -0.406352        0.000000
        19.000000       -0.398781        0.000000
        20.000000       -0.398229        0.000000
