#            iprt         eigenv.           conv.
         1.000000       -2.412801        1.000000
         2.000000       -1.865503        1.000000
         3.000000       -1.006634        1.000000
         4.000000       -0.937929        1.000000
         5.000000       -0.846570        1.000000
         6.000000       -0.781471        1.000000
         7.000000       -0.740369        1.000000
         8.000000       -0.674531        1.000000
         9.000000       -0.643658        1.000000
        10.000000       -0.615463        1.000000
        11.000000       -0.570193        1.000000
        12.000000       -0.474786        1.000000
        13.000000       -0.440981        1.000000
        14.000000       -0.412203        1.000000
        15.000000       -0.404222        1.000000
        16.000000       -0.403980        1.000000
        17.000000       -0.368175        1.000000
        18.000000       -0.342211        1.000000
        19.000000       -0.327371        1.000000
        20.000000       -0.309150        1.000000
        21.000000       -0.296188        1.000000
        22.000000       -0.295483        1.000000
        23.000000       -0.280948        1.000000
        24.000000       -0.279306        1.000000
        25.000000       -0.270175        1.000000
        26.000000       -0.236484        1.000000
        27.000000       -0.228573        1.000000
        28.000000       -0.227022        1.000000
        29.000000       -0.217330        1.000000
        30.000000       -0.210315        1.000000
        31.000000       -0.203638        1.000000
        32.000000       -0.193716        1.000000
        33.000000       -0.190003        1.000000
        34.000000       -0.187141        1.000000
        35.000000       -0.170444        1.000000
        36.000000       -0.170099        1.000000
        37.000000       -0.154973        1.000000
        38.000000       -0.151880        1.000000
        39.000000       -0.151630        1.000000
        40.000000       -0.151076        1.000000
        41.000000       -0.147486        1.000000
        42.000000       -0.142713        1.000000
        43.000000       -0.132993        1.000000
        44.000000       -0.130216        1.000000
        45.000000       -0.120024        1.000000
        46.000000       -0.117594        1.000000
        47.000000       -0.111519        1.000000
        48.000000       -0.107784        1.000000
        49.000000       -0.102964        1.000000
        50.000000       -0.102792        1.000000
        51.000000       -0.102184        1.000000
        52.000000       -0.095752        1.000000
        53.000000       -0.089860        1.000000
        54.000000       -0.087852        1.000000
        55.000000       -0.086990        1.000000
        56.000000       -0.085871        1.000000
        57.000000       -0.079999        1.000000
        58.000000       -0.078168        1.000000
        59.000000       -0.077952        1.000000
        60.000000       -0.074688        1.000000
        61.000000       -0.072657        1.000000
        62.000000       -0.072195        1.000000
        63.000000       -0.071721        1.000000
        64.000000       -0.069351        1.000000
        65.000000       -0.066977        1.000000
        66.000000       -0.065110        1.000000
        67.000000       -0.064885        1.000000
        68.000000       -0.063218        1.000000
        69.000000       -0.062165        1.000000
        70.000000       -0.060014        1.000000
        71.000000       -0.059401        1.000000
        72.000000       -0.058860        1.000000
        73.000000       -0.058729        1.000000
        74.000000       -0.057652        1.000000
        75.000000       -0.057450        1.000000
        76.000000       -0.056315        1.000000
        77.000000       -0.054472        1.000000
        78.000000       -0.054245        1.000000
        79.000000       -0.053252        1.000000
        80.000000       -0.053124        1.000000
        81.000000       -0.052668        1.000000
        82.000000       -0.051374        1.000000
        83.000000       -0.050853        1.000000
        84.000000       -0.049703        1.000000
        85.000000       -0.049249        1.000000
        86.000000       -0.048143        1.000000
        87.000000       -0.048063        1.000000
        88.000000       -0.046600        1.000000
        89.000000       -0.045741        1.000000
        90.000000       -0.045142        1.000000
        91.000000       -0.043860        1.000000
        92.000000       -0.043665        1.000000
        93.000000       -0.043141        1.000000
        94.000000       -0.042324        1.000000
        95.000000       -0.041435        1.000000
        96.000000       -0.040870        1.000000
        97.000000       -0.038935        1.000000
        98.000000       -0.038836        1.000000
        99.000000       -0.038072        1.000000
       100.000000       -0.037753        1.000000
