#            iprt         eigenv.           conv.
         1.000000       -2.412801        0.000000
         2.000000       -1.865503        0.000000
         3.000000       -1.006634        0.000000
         4.000000       -0.937929        1.000000
         5.000000       -0.846570        0.000000
         6.000000       -0.781471        0.000000
         7.000000       -0.740369        1.000000
         8.000000       -0.674531        0.000000
         9.000000       -0.643658        1.000000
        10.000000       -0.615463        0.000000
        11.000000       -0.570193        1.000000
        12.000000       -0.474786        0.000000
        13.000000       -0.440981        1.000000
        14.000000       -0.412203        0.000000
        15.000000       -0.404222        1.000000
        16.000000       -0.403980        0.000000
        17.000000       -0.368175        1.000000
        18.000000       -0.342211        1.000000
        19.000000       -0.327371        0.000000
        20.000000       -0.309150        0.000000
        21.000000       -0.296188        0.000000
        22.000000       -0.295483        0.000000
        23.000000       -0.280948        0.000000
        24.000000       -0.279306        0.000000
        25.000000       -0.270175        0.000000
        26.000000       -0.236484        0.000000
        27.000000       -0.228573        1.000000
        28.000000       -0.227022        0.000000
        29.000000       -0.217330        0.000000
        30.000000       -0.210315        0.000000
        31.000000       -0.203638        0.000000
        32.000000       -0.193716        0.000000
        33.000000       -0.190003        0.000000
        34.000000       -0.187141        0.000000
        35.000000       -0.170444        1.000000
        36.000000       -0.170099        0.000000
        37.000000       -0.154973        0.000000
        38.000000       -0.151880        1.000000
        39.000000       -0.151630        1.000000
        40.000000       -0.151076        1.000000
        41.000000       -0.147486        1.000000
        42.000000       -0.142713        0.000000
        43.000000       -0.132993        1.000000
        44.000000       -0.130216        0.000000
        45.000000       -0.120024        0.000000
        46.000000       -0.117594        1.000000
        47.000000       -0.111519        1.000000
        48.000000       -0.107784        1.000000
        49.000000       -0.102964        1.000000
        50.000000       -0.102792        0.000000
        51.000000       -0.102184        1.000000
        52.000000       -0.095752        1.000000
        53.000000       -0.089860        1.000000
        54.000000       -0.087852        1.000000
        55.000000       -0.086990        1.000000
        56.000000       -0.085871        1.000000
        57.000000       -0.079999        1.000000
        58.000000       -0.078168        1.000000
        59.000000       -0.077952        1.000000
        60.000000       -0.074688        1.000000
        61.000000       -0.072657        1.000000
        62.000000       -0.072195        1.000000
        63.000000       -0.071721        1.000000
        64.000000       -0.069351        1.000000
        65.000000       -0.066977        1.000000
        66.000000       -0.065110        1.000000
        67.000000       -0.064885        1.000000
        68.000000       -0.063218        1.000000
        69.000000       -0.062165        1.000000
        70.000000       -0.060014        1.000000
        71.000000       -0.059401        1.000000
        72.000000       -0.058860        1.000000
        73.000000       -0.058729        1.000000
        74.000000       -0.057652        1.000000
        75.000000       -0.057449        1.000000
        76.000000       -0.056315        1.000000
        77.000000       -0.054472        1.000000
        78.000000       -0.054245        1.000000
        79.000000       -0.053252        1.000000
        80.000000       -0.053124        1.000000
        81.000000       -0.052667        1.000000
        82.000000       -0.051373        0.000000
        83.000000       -0.050853        0.000000
        84.000000       -0.049703        1.000000
        85.000000       -0.049248        1.000000
        86.000000       -0.048143        1.000000
        87.000000       -0.048063        1.000000
        88.000000       -0.046600        0.000000
        89.000000       -0.045741        1.000000
        90.000000       -0.045141        1.000000
        91.000000       -0.043860        1.000000
        92.000000       -0.043664        0.000000
        93.000000       -0.043140        1.000000
        94.000000       -0.042323        0.000000
        95.000000       -0.041435        1.000000
        96.000000       -0.040869        0.000000
        97.000000       -0.038934        1.000000
        98.000000       -0.038835        0.000000
        99.000000       -0.038071        1.000000
       100.000000       -0.037753        0.000000
       101.000000       -0.036975        0.000000
       102.000000       -0.036558        0.000000
       103.000000       -0.035336        1.000000
       104.000000       -0.034556        1.000000
       105.000000       -0.034254        1.000000
       106.000000       -0.033751        1.000000
       107.000000       -0.033608        0.000000
       108.000000       -0.033177        0.000000
       109.000000       -0.032424        1.000000
       110.000000       -0.032169        1.000000
       111.000000       -0.032060        0.000000
       112.000000       -0.031567        1.000000
       113.000000       -0.031449        0.000000
       114.000000       -0.031036        1.000000
       115.000000       -0.030632        0.000000
       116.000000       -0.030278        1.000000
       117.000000       -0.030181        0.000000
       118.000000       -0.029327        0.000000
       119.000000       -0.029139        0.000000
       120.000000       -0.029100        0.000000
       121.000000       -0.028537        0.000000
       122.000000       -0.028383        0.000000
       123.000000       -0.028047        0.000000
       124.000000       -0.028009        0.000000
       125.000000       -0.027415        0.000000
       126.000000       -0.026718        0.000000
       127.000000       -0.026443        1.000000
       128.000000       -0.026377        0.000000
       129.000000       -0.026289        0.000000
       130.000000       -0.025719        0.000000
       131.000000       -0.025447        1.000000
       132.000000       -0.025393        1.000000
