#            iprt         eigenv.           conv.
         1.000000       -2.252316        1.000000
         2.000000       -1.789479        1.000000
         3.000000       -1.468723        1.000000
         4.000000       -1.468564        1.000000
         5.000000       -1.274275        1.000000
         6.000000       -0.860876        1.000000
         7.000000       -0.855502        1.000000
         8.000000       -0.821927        1.000000
         9.000000       -0.691577        1.000000
        10.000000       -0.666895        1.000000
        11.000000       -0.640809        1.000000
        12.000000       -0.580489        1.000000
        13.000000       -0.525899        1.000000
        14.000000       -0.520098        1.000000
        15.000000       -0.502402        1.000000
        16.000000       -0.464305        1.000000
        17.000000       -0.452755        1.000000
        18.000000       -0.428548        1.000000
        19.000000       -0.408445        1.000000
        20.000000       -0.402684        1.000000
        21.000000       -0.398860        1.000000
        22.000000       -0.382962        1.000000
        23.000000       -0.359734        1.000000
        24.000000       -0.350672        1.000000
        25.000000       -0.342481        1.000000
        26.000000       -0.336195        1.000000
        27.000000       -0.302911        1.000000
        28.000000       -0.283918        1.000000
        29.000000       -0.277717        1.000000
        30.000000       -0.274102        1.000000
        31.000000       -0.269463        1.000000
        32.000000       -0.263635        1.000000
        33.000000       -0.227593        1.000000
        34.000000       -0.221510        1.000000
        35.000000       -0.217003        1.000000
        36.000000       -0.207300        1.000000
        37.000000       -0.203763        1.000000
        38.000000       -0.192423        1.000000
        39.000000       -0.180908        1.000000
        40.000000       -0.179448        1.000000
        41.000000       -0.176216        1.000000
        42.000000       -0.160145        1.000000
        43.000000       -0.157751        1.000000
        44.000000       -0.155668        1.000000
        45.000000       -0.147227        1.000000
        46.000000       -0.145010        1.000000
        47.000000       -0.138517        1.000000
        48.000000       -0.129599        1.000000
        49.000000       -0.123664        1.000000
        50.000000       -0.123573        1.000000
        51.000000       -0.117766        1.000000
        52.000000       -0.116994        1.000000
        53.000000       -0.113730        1.000000
        54.000000       -0.109473        1.000000
        55.000000       -0.107034        1.000000
        56.000000       -0.105211        1.000000
        57.000000       -0.101502        1.000000
        58.000000       -0.101000        1.000000
        59.000000       -0.098697        1.000000
        60.000000       -0.097306        1.000000
        61.000000       -0.095554        1.000000
        62.000000       -0.090904        1.000000
        63.000000       -0.089655        1.000000
        64.000000       -0.087286        1.000000
        65.000000       -0.085518        1.000000
        66.000000       -0.083547        1.000000
        67.000000       -0.082485        1.000000
        68.000000       -0.082478        1.000000
        69.000000       -0.078938        1.000000
        70.000000       -0.077796        1.000000
        71.000000       -0.075401        1.000000
        72.000000       -0.073997        1.000000
        73.000000       -0.071831        1.000000
        74.000000       -0.071284        1.000000
        75.000000       -0.070061        1.000000
        76.000000       -0.069700        1.000000
        77.000000       -0.067792        1.000000
        78.000000       -0.067750        1.000000
        79.000000       -0.066343        1.000000
        80.000000       -0.063248        1.000000
        81.000000       -0.062581        1.000000
        82.000000       -0.060308        1.000000
        83.000000       -0.060174        1.000000
        84.000000       -0.059896        1.000000
        85.000000       -0.058360        1.000000
        86.000000       -0.057249        1.000000
        87.000000       -0.056953        1.000000
        88.000000       -0.055940        1.000000
        89.000000       -0.055257        1.000000
        90.000000       -0.054406        1.000000
        91.000000       -0.052747        1.000000
        92.000000       -0.052724        1.000000
        93.000000       -0.051561        1.000000
        94.000000       -0.050507        1.000000
        95.000000       -0.049884        1.000000
        96.000000       -0.049777        1.000000
        97.000000       -0.049269        1.000000
        98.000000       -0.048479        1.000000
        99.000000       -0.047710        1.000000
       100.000000       -0.046646        1.000000
       101.000000       -0.046168        1.000000
       102.000000       -0.045790        1.000000
       103.000000       -0.045725        1.000000
       104.000000       -0.045549        1.000000
       105.000000       -0.043847        1.000000
       106.000000       -0.043382        1.000000
       107.000000       -0.043061        1.000000
       108.000000       -0.042752        1.000000
       109.000000       -0.042195        1.000000
       110.000000       -0.041917        1.000000
       111.000000       -0.040735        1.000000
       112.000000       -0.040217        1.000000
       113.000000       -0.039469        1.000000
       114.000000       -0.039430        1.000000
       115.000000       -0.038596        1.000000
       116.000000       -0.038390        1.000000
       117.000000       -0.038127        1.000000
       118.000000       -0.036934        1.000000
       119.000000       -0.036324        1.000000
       120.000000       -0.036104        1.000000
       121.000000       -0.035886        1.000000
       122.000000       -0.035739        1.000000
       123.000000       -0.035275        1.000000
       124.000000       -0.034116        1.000000
       125.000000       -0.033890        1.000000
       126.000000       -0.033603        1.000000
       127.000000       -0.033219        1.000000
       128.000000       -0.032642        1.000000
       129.000000       -0.032162        1.000000
       130.000000       -0.032142        1.000000
       131.000000       -0.032020        1.000000
       132.000000       -0.031734        1.000000
       133.000000       -0.031130        1.000000
       134.000000       -0.030738        1.000000
       135.000000       -0.030557        1.000000
       136.000000       -0.030115        1.000000
       137.000000       -0.029900        1.000000
       138.000000       -0.029779        1.000000
       139.000000       -0.029463        1.000000
       140.000000       -0.029429        1.000000
       141.000000       -0.029127        1.000000
       142.000000       -0.028654        1.000000
       143.000000       -0.028556        1.000000
       144.000000       -0.027747        1.000000
       145.000000       -0.027660        1.000000
       146.000000       -0.027478        1.000000
       147.000000       -0.027270        1.000000
       148.000000       -0.026847        1.000000
       149.000000       -0.026523        1.000000
       150.000000       -0.026366        1.000000
       151.000000       -0.026304        1.000000
       152.000000       -0.025950        1.000000
       153.000000       -0.025629        1.000000
       154.000000       -0.025364        1.000000
       155.000000       -0.024848        1.000000
       156.000000       -0.024528        1.000000
       157.000000       -0.024416        1.000000
       158.000000       -0.024402        1.000000
       159.000000       -0.024119        1.000000
       160.000000       -0.024052        1.000000
       161.000000       -0.023962        1.000000
       162.000000       -0.023770        1.000000
       163.000000       -0.023526        1.000000
       164.000000       -0.023268        1.000000
       165.000000       -0.023221        1.000000
       166.000000       -0.022979        1.000000
       167.000000       -0.022756        1.000000
       168.000000       -0.022675        1.000000
       169.000000       -0.022612        1.000000
       170.000000       -0.022277        1.000000
       171.000000       -0.022209        1.000000
       172.000000       -0.021982        1.000000
       173.000000       -0.021788        1.000000
       174.000000       -0.021656        1.000000
       175.000000       -0.021232        1.000000
       176.000000       -0.021077        1.000000
       177.000000       -0.021027        1.000000
       178.000000       -0.020792        1.000000
       179.000000       -0.020748        1.000000
       180.000000       -0.020563        1.000000
       181.000000       -0.020320        1.000000
       182.000000       -0.020115        1.000000
       183.000000       -0.020003        1.000000
       184.000000       -0.019758        1.000000
       185.000000       -0.019536        1.000000
       186.000000       -0.019535        1.000000
       187.000000       -0.019432        1.000000
       188.000000       -0.019123        1.000000
       189.000000       -0.019044        1.000000
       190.000000       -0.018985        1.000000
       191.000000       -0.018801        1.000000
       192.000000       -0.018689        1.000000
       193.000000       -0.018611        1.000000
       194.000000       -0.018510        1.000000
       195.000000       -0.018233        1.000000
       196.000000       -0.018143        1.000000
       197.000000       -0.018089        1.000000
       198.000000       -0.018068        1.000000
       199.000000       -0.017873        1.000000
       200.000000       -0.017750        1.000000
       201.000000       -0.017670        1.000000
       202.000000       -0.017473        1.000000
       203.000000       -0.017333        1.000000
       204.000000       -0.017157        1.000000
       205.000000       -0.017156        1.000000
       206.000000       -0.017070        1.000000
       207.000000       -0.016920        1.000000
       208.000000       -0.016859        1.000000
       209.000000       -0.016713        1.000000
       210.000000       -0.016680        1.000000
       211.000000       -0.016502        1.000000
       212.000000       -0.016346        1.000000
       213.000000       -0.016279        1.000000
       214.000000       -0.016249        1.000000
       215.000000       -0.016246        1.000000
       216.000000       -0.015915        1.000000
       217.000000       -0.015864        1.000000
       218.000000       -0.015686        1.000000
       219.000000       -0.015656        1.000000
       220.000000       -0.015506        1.000000
       221.000000       -0.015411        1.000000
       222.000000       -0.015402        1.000000
       223.000000       -0.015305        1.000000
       224.000000       -0.015303        1.000000
       225.000000       -0.015025        1.000000
