#            iprt         eigenv.           conv.
         1.000000       -2.252316        1.000000
         2.000000       -1.789479        1.000000
         3.000000       -1.468723        1.000000
         4.000000       -1.468564        1.000000
         5.000000       -1.274274        1.000000
         6.000000       -0.860876        1.000000
         7.000000       -0.855502        1.000000
         8.000000       -0.821925        1.000000
         9.000000       -0.691575        1.000000
        10.000000       -0.666893        1.000000
        11.000000       -0.640806        1.000000
        12.000000       -0.580476        0.000000
        13.000000       -0.525776        0.000000
        14.000000       -0.520013        0.000000
        15.000000       -0.502355        0.000000
        16.000000       -0.464199        0.000000
        17.000000       -0.452746        1.000000
        18.000000       -0.427710        0.000000
        19.000000       -0.408358        0.000000
        20.000000       -0.402564        0.000000
