#            iprt         eigenv.           conv.
         1.000000       -1.889824        0.000000
         2.000000       -0.953383        1.000000
         3.000000       -0.953383        1.000000
         4.000000       -0.953382        1.000000
         5.000000       -0.625944        1.000000
         6.000000       -0.625944        1.000000
         7.000000       -0.625944        1.000000
         8.000000       -0.445966        0.000000
         9.000000       -0.400938        1.000000
        10.000000       -0.400938        1.000000
        11.000000       -0.400937        1.000000
        12.000000       -0.400109        1.000000
        13.000000       -0.400108        1.000000
        14.000000       -0.275892        1.000000
        15.000000       -0.275892        1.000000
        16.000000       -0.275891        1.000000
        17.000000       -0.224297        1.000000
        18.000000       -0.224297        1.000000
        19.000000       -0.224297        1.000000
        20.000000       -0.213026        0.000000
        21.000000       -0.176464        1.000000
        22.000000       -0.176464        1.000000
        23.000000       -0.160641        1.000000
        24.000000       -0.160641        1.000000
        25.000000       -0.160640        1.000000
        26.000000       -0.115974        1.000000
        27.000000       -0.115974        1.000000
        28.000000       -0.115974        1.000000
        29.000000       -0.106752        1.000000
        30.000000       -0.106752        1.000000
        31.000000       -0.106752        1.000000
        32.000000       -0.094317        1.000000
        33.000000       -0.088863        1.000000
        34.000000       -0.088863        1.000000
        35.000000       -0.084600        1.000000
        36.000000       -0.084600        1.000000
        37.000000       -0.084600        1.000000
        38.000000       -0.070416        1.000000
        39.000000       -0.070416        1.000000
        40.000000       -0.070416        1.000000
        41.000000       -0.064757        1.000000
        42.000000       -0.064602        1.000000
        43.000000       -0.064602        1.000000
        44.000000       -0.064602        1.000000
        45.000000       -0.063557        0.000000
        46.000000       -0.058211        1.000000
        47.000000       -0.058211        1.000000
        48.000000       -0.058211        1.000000
        49.000000       -0.053490        1.000000
        50.000000       -0.053490        1.000000
        51.000000       -0.050396        1.000000
        52.000000       -0.050396        1.000000
        53.000000       -0.050396        1.000000
        54.000000       -0.049442        1.000000
        55.000000       -0.049442        1.000000
        56.000000       -0.043728        1.000000
        57.000000       -0.043728        1.000000
        58.000000       -0.043728        1.000000
        59.000000       -0.040522        1.000000
        60.000000       -0.040522        1.000000
        61.000000       -0.040522        1.000000
        62.000000       -0.038842        1.000000
        63.000000       -0.038269        1.000000
        64.000000       -0.038269        1.000000
        65.000000       -0.038269        0.000000
        66.000000       -0.033275        1.000000
        67.000000       -0.033275        1.000000
        68.000000       -0.033275        1.000000
        69.000000       -0.033098        1.000000
        70.000000       -0.033098        1.000000
        71.000000       -0.033042        1.000000
        72.000000       -0.033042        1.000000
        73.000000       -0.033042        1.000000
        74.000000       -0.031094        1.000000
        75.000000       -0.030585        1.000000
        76.000000       -0.030585        1.000000
        77.000000       -0.030585        0.000000
        78.000000       -0.026658        1.000000
        79.000000       -0.026658        1.000000
        80.000000       -0.026658        1.000000
        81.000000       -0.025797        1.000000
        82.000000       -0.025797        1.000000
        83.000000       -0.025797        1.000000
        84.000000       -0.025622        1.000000
        85.000000       -0.025622        1.000000
        86.000000       -0.025622        1.000000
        87.000000       -0.025561        1.000000
        88.000000       -0.024421        1.000000
        89.000000       -0.024369        1.000000
        90.000000       -0.024369        1.000000
        91.000000       -0.024369        1.000000
        92.000000       -0.023065        1.000000
        93.000000       -0.023065        1.000000
        94.000000       -0.021372        1.000000
        95.000000       -0.021372        1.000000
        96.000000       -0.020978        1.000000
        97.000000       -0.020902        1.000000
        98.000000       -0.020902        1.000000
        99.000000       -0.020902        1.000000
       100.000000       -0.020101        1.000000
       101.000000       -0.020101        1.000000
       102.000000       -0.020101        1.000000
       103.000000       -0.019045        1.000000
       104.000000       -0.019045        1.000000
       105.000000       -0.019045        1.000000
       106.000000       -0.018398        1.000000
       107.000000       -0.018398        1.000000
       108.000000       -0.018159        1.000000
       109.000000       -0.018159        1.000000
       110.000000       -0.018158        1.000000
       111.000000       -0.017880        1.000000
       112.000000       -0.017880        1.000000
       113.000000       -0.017880        1.000000
       114.000000       -0.016984        1.000000
       115.000000       -0.016635        1.000000
       116.000000       -0.016635        1.000000
       117.000000       -0.016635        1.000000
       118.000000       -0.016405        1.000000
       119.000000       -0.016405        1.000000
       120.000000       -0.015853        1.000000
       121.000000       -0.015853        1.000000
       122.000000       -0.015853        1.000000
       123.000000       -0.015037        1.000000
       124.000000       -0.015037        1.000000
       125.000000       -0.015037        1.000000
       126.000000       -0.014675        1.000000
       127.000000       -0.014661        1.000000
       128.000000       -0.014661        1.000000
       129.000000       -0.014496        1.000000
       130.000000       -0.014496        1.000000
       131.000000       -0.014496        1.000000
       132.000000       -0.014174        1.000000
       133.000000       -0.014174        1.000000
       134.000000       -0.014174        1.000000
       135.000000       -0.013525        1.000000
       136.000000       -0.013084        1.000000
       137.000000       -0.013083        1.000000
       138.000000       -0.013083        1.000000
       139.000000       -0.012705        1.000000
       140.000000       -0.012704        1.000000
       141.000000       -0.012704        1.000000
       142.000000       -0.012354        1.000000
       143.000000       -0.012354        1.000000
       144.000000       -0.012353        1.000000
       145.000000       -0.012292        1.000000
       146.000000       -0.012291        1.000000
       147.000000       -0.012291        1.000000
       148.000000       -0.012240        1.000000
       149.000000       -0.011528        1.000000
       150.000000       -0.011415        1.000000
       151.000000       -0.011415        1.000000
       152.000000       -0.011346        1.000000
       153.000000       -0.011345        1.000000
       154.000000       -0.011345        1.000000
       155.000000       -0.011235        1.000000
       156.000000       -0.011234        1.000000
       157.000000       -0.011090        1.000000
       158.000000       -0.011090        1.000000
       159.000000       -0.011089        1.000000
       160.000000       -0.010614        1.000000
       161.000000       -0.010401        1.000000
       162.000000       -0.010401        1.000000
       163.000000       -0.010400        1.000000
       164.000000       -0.010206        1.000000
       165.000000       -0.010205        1.000000
       166.000000       -0.010204        1.000000
       167.000000       -0.010074        1.000000
       168.000000       -0.010073        1.000000
       169.000000       -0.010024        1.000000
       170.000000       -0.010023        1.000000
       171.000000       -0.010022        1.000000
       172.000000       -0.009917        1.000000
       173.000000       -0.009916        1.000000
       174.000000       -0.009916        0.000000
       175.000000       -0.009478        1.000000
       176.000000       -0.009478        1.000000
       177.000000       -0.009477        1.000000
       178.000000       -0.009093        1.000000
       179.000000       -0.009092        1.000000
       180.000000       -0.009092        1.000000
       181.000000       -0.009073        1.000000
       182.000000       -0.009072        1.000000
       183.000000       -0.009044        1.000000
       184.000000       -0.008939        1.000000
       185.000000       -0.008939        1.000000
       186.000000       -0.008937        0.000000
       187.000000       -0.008694        1.000000
       188.000000       -0.008693        1.000000
       189.000000       -0.008693        0.000000
       190.000000       -0.008495        1.000000
       191.000000       -0.008493        0.000000
       192.000000       -0.008489        0.000000
       193.000000       -0.008453        0.000000
       194.000000       -0.008451        0.000000
       195.000000       -0.008423        0.000000
       196.000000       -0.008422        0.000000
       197.000000       -0.008422        0.000000
       198.000000       -0.008292        0.000000
       199.000000       -0.008022        0.000000
       200.000000       -0.008020        0.000000
       201.000000       -0.008017        0.000000
       202.000000       -0.007701        0.000000
       203.000000       -0.007697        0.000000
       204.000000       -0.007683        0.000000
       205.000000       -0.007681        0.000000
       206.000000       -0.007679        0.000000
       207.000000       -0.007430        0.000000
       208.000000       -0.007429        0.000000
       209.000000       -0.007427        0.000000
       210.000000       -0.007265        0.000000
       211.000000       -0.007169        0.000000
       212.000000       -0.007164        0.000000
       213.000000       -0.007161        0.000000
       214.000000       -0.007149        0.000000
       215.000000       -0.007130        0.000000
       216.000000       -0.007127        0.000000
       217.000000       -0.007126        0.000000
       218.000000       -0.007123        0.000000
       219.000000       -0.007120        0.000000
       220.000000       -0.007118        0.000000
       221.000000       -0.006780        0.000000
       222.000000       -0.006778        0.000000
       223.000000       -0.006695        0.000000
       224.000000       -0.006692        0.000000
       225.000000       -0.006689        0.000000
       226.000000       -0.006643        0.000000
       227.000000       -0.006640        0.000000
       228.000000       -0.006638        0.000000
       229.000000       -0.006541        0.000000
       230.000000       -0.006463        0.000000
       231.000000       -0.006458        0.000000
       232.000000       -0.006455        0.000000
       233.000000       -0.006440        0.000000
