#            iprt         eigenv.           conv.
         1.000000       -3.676662        1.000000
         2.000000       -1.457162        1.000000
         3.000000       -1.457160        1.000000
         4.000000       -1.054388        1.000000
         5.000000       -0.761959        1.000000
         6.000000       -0.761956        1.000000
         7.000000       -0.668161        1.000000
         8.000000       -0.472573        1.000000
         9.000000       -0.472568        1.000000
        10.000000       -0.439338        1.000000
        11.000000       -0.367075        1.000000
        12.000000       -0.367072        1.000000
        13.000000       -0.357637        1.000000
        14.000000       -0.310299        1.000000
        15.000000       -0.310297        1.000000
        16.000000       -0.282568        1.000000
        17.000000       -0.242373        1.000000
        18.000000       -0.232405        1.000000
        19.000000       -0.232402        1.000000
        20.000000       -0.225783        1.000000
        21.000000       -0.225770        1.000000
        22.000000       -0.198554        1.000000
        23.000000       -0.163703        1.000000
        24.000000       -0.163701        1.000000
        25.000000       -0.154932        1.000000
        26.000000       -0.146477        1.000000
        27.000000       -0.146477        1.000000
        28.000000       -0.144651        1.000000
        29.000000       -0.144647        1.000000
        30.000000       -0.139639        1.000000
        31.000000       -0.139638        1.000000
        32.000000       -0.130212        1.000000
        33.000000       -0.130201        1.000000
        34.000000       -0.119652        1.000000
        35.000000       -0.103341        1.000000
        36.000000       -0.103341        1.000000
        37.000000       -0.095511        1.000000
        38.000000       -0.087230        1.000000
        39.000000       -0.087219        1.000000
        40.000000       -0.087164        1.000000
        41.000000       -0.085975        1.000000
        42.000000       -0.085974        1.000000
        43.000000       -0.079478        1.000000
        44.000000       -0.079478        1.000000
        45.000000       -0.072270        1.000000
        46.000000       -0.066707        1.000000
        47.000000       -0.063679        1.000000
        48.000000       -0.063678        1.000000
        49.000000       -0.062671        1.000000
        50.000000       -0.062668        1.000000
        51.000000       -0.052071        1.000000
        52.000000       -0.052071        1.000000
        53.000000       -0.051489        1.000000
        54.000000       -0.051488        1.000000
        55.000000       -0.051087        1.000000
        56.000000       -0.051085        1.000000
        57.000000       -0.049446        1.000000
        58.000000       -0.049445        1.000000
        59.000000       -0.049078        1.000000
        60.000000       -0.045606        1.000000
        61.000000       -0.045606        1.000000
        62.000000       -0.045362        1.000000
        63.000000       -0.044021        1.000000
        64.000000       -0.044020        1.000000
        65.000000       -0.039733        1.000000
        66.000000       -0.039730        1.000000
        67.000000       -0.038596        1.000000
        68.000000       -0.038473        1.000000
        69.000000       -0.038473        1.000000
        70.000000       -0.036643        1.000000
        71.000000       -0.036643        1.000000
        72.000000       -0.035926        1.000000
        73.000000       -0.034907        1.000000
        74.000000       -0.034556        1.000000
        75.000000       -0.034556        1.000000
        76.000000       -0.033986        1.000000
        77.000000       -0.033986        1.000000
        78.000000       -0.033370        1.000000
        79.000000       -0.033370        1.000000
        80.000000       -0.033022        1.000000
        81.000000       -0.033022        1.000000
        82.000000       -0.031842        1.000000
        83.000000       -0.031838        1.000000
        84.000000       -0.028591        1.000000
        85.000000       -0.027752        1.000000
        86.000000       -0.027752        1.000000
        87.000000       -0.026538        1.000000
        88.000000       -0.025727        1.000000
        89.000000       -0.025727        1.000000
        90.000000       -0.025472        1.000000
        91.000000       -0.025467        1.000000
        92.000000       -0.023768        1.000000
        93.000000       -0.023768        1.000000
        94.000000       -0.023557        1.000000
        95.000000       -0.023557        1.000000
        96.000000       -0.023425        1.000000
        97.000000       -0.023425        1.000000
        98.000000       -0.023383        1.000000
        99.000000       -0.023078        1.000000
       100.000000       -0.023077        1.000000
       101.000000       -0.022300        1.000000
       102.000000       -0.022300        1.000000
       103.000000       -0.022151        1.000000
       104.000000       -0.021308        1.000000
       105.000000       -0.021308        1.000000
       106.000000       -0.021197        1.000000
       107.000000       -0.020789        1.000000
       108.000000       -0.020789        1.000000
       109.000000       -0.020058        1.000000
       110.000000       -0.020058        1.000000
       111.000000       -0.020009        1.000000
       112.000000       -0.020009        1.000000
       113.000000       -0.019466        1.000000
       114.000000       -0.019466        1.000000
       115.000000       -0.018421        1.000000
       116.000000       -0.018420        1.000000
       117.000000       -0.017779        1.000000
       118.000000       -0.017682        1.000000
       119.000000       -0.017682        1.000000
       120.000000       -0.017335        1.000000
       121.000000       -0.017284        1.000000
       122.000000       -0.017284        1.000000
       123.000000       -0.016614        1.000000
       124.000000       -0.016614        1.000000
       125.000000       -0.016394        1.000000
       126.000000       -0.016394        1.000000
       127.000000       -0.016336        1.000000
       128.000000       -0.016335        1.000000
       129.000000       -0.016041        1.000000
       130.000000       -0.016040        1.000000
       131.000000       -0.016027        1.000000
       132.000000       -0.016027        1.000000
       133.000000       -0.015826        1.000000
       134.000000       -0.015527        1.000000
       135.000000       -0.015527        1.000000
       136.000000       -0.015225        1.000000
       137.000000       -0.015223        1.000000
       138.000000       -0.014342        1.000000
       139.000000       -0.014342        1.000000
       140.000000       -0.014123        1.000000
       141.000000       -0.013603        1.000000
       142.000000       -0.013603        1.000000
       143.000000       -0.013494        1.000000
       144.000000       -0.013113        1.000000
       145.000000       -0.013113        1.000000
       146.000000       -0.013051        1.000000
       147.000000       -0.013051        1.000000
       148.000000       -0.012642        1.000000
       149.000000       -0.012605        1.000000
       150.000000       -0.012605        1.000000
       151.000000       -0.012384        1.000000
       152.000000       -0.012384        1.000000
       153.000000       -0.012249        1.000000
       154.000000       -0.012249        1.000000
       155.000000       -0.012245        1.000000
       156.000000       -0.012245        1.000000
       157.000000       -0.012053        1.000000
       158.000000       -0.012053        1.000000
       159.000000       -0.011956        1.000000
       160.000000       -0.011897        1.000000
       161.000000       -0.011897        1.000000
       162.000000       -0.011626        1.000000
       163.000000       -0.011624        1.000000
       164.000000       -0.011548        1.000000
       165.000000       -0.011547        1.000000
       166.000000       -0.011523        1.000000
