#            iprt         eigenv.           conv.
         1.000000       -3.676662        0.000000
         2.000000       -1.457162        1.000000
         3.000000       -1.457160        1.000000
         4.000000       -1.054388        0.000000
         5.000000       -0.761959        1.000000
         6.000000       -0.761956        1.000000
         7.000000       -0.668161        1.000000
         8.000000       -0.472573        1.000000
         9.000000       -0.472568        1.000000
        10.000000       -0.439338        0.000000
        11.000000       -0.367075        1.000000
        12.000000       -0.367072        1.000000
        13.000000       -0.357637        0.000000
        14.000000       -0.310299        1.000000
        15.000000       -0.310297        1.000000
        16.000000       -0.282568        0.000000
        17.000000       -0.242373        1.000000
        18.000000       -0.232405        1.000000
        19.000000       -0.232402        1.000000
        20.000000       -0.225783        1.000000
        21.000000       -0.225770        1.000000
        22.000000       -0.198554        0.000000
        23.000000       -0.163703        1.000000
        24.000000       -0.163701        1.000000
        25.000000       -0.154932        0.000000
        26.000000       -0.146477        1.000000
        27.000000       -0.146477        0.000000
        28.000000       -0.144651        1.000000
        29.000000       -0.144647        0.000000
        30.000000       -0.139639        1.000000
        31.000000       -0.139638        1.000000
        32.000000       -0.130212        1.000000
        33.000000       -0.130201        1.000000
        34.000000       -0.119652        0.000000
        35.000000       -0.103341        1.000000
        36.000000       -0.103341        1.000000
        37.000000       -0.095511        1.000000
        38.000000       -0.087230        1.000000
        39.000000       -0.087219        1.000000
        40.000000       -0.087164        1.000000
        41.000000       -0.085975        1.000000
        42.000000       -0.085974        1.000000
        43.000000       -0.079478        1.000000
        44.000000       -0.079478        1.000000
        45.000000       -0.072270        1.000000
        46.000000       -0.066707        1.000000
        47.000000       -0.063679        1.000000
        48.000000       -0.063678        1.000000
        49.000000       -0.062671        1.000000
        50.000000       -0.062668        1.000000
        51.000000       -0.052071        1.000000
        52.000000       -0.052071        1.000000
        53.000000       -0.051489        1.000000
        54.000000       -0.051488        1.000000
        55.000000       -0.051087        1.000000
        56.000000       -0.051085        1.000000
        57.000000       -0.049446        1.000000
        58.000000       -0.049445        1.000000
        59.000000       -0.049078        1.000000
        60.000000       -0.045606        1.000000
        61.000000       -0.045606        1.000000
        62.000000       -0.045362        1.000000
        63.000000       -0.044021        1.000000
        64.000000       -0.044020        1.000000
        65.000000       -0.039733        1.000000
        66.000000       -0.039730        1.000000
        67.000000       -0.038596        1.000000
        68.000000       -0.038473        1.000000
        69.000000       -0.038473        1.000000
        70.000000       -0.036643        1.000000
        71.000000       -0.036643        1.000000
        72.000000       -0.035926        1.000000
        73.000000       -0.034907        1.000000
        74.000000       -0.034556        1.000000
        75.000000       -0.034556        1.000000
        76.000000       -0.033986        1.000000
        77.000000       -0.033985        1.000000
        78.000000       -0.033370        1.000000
        79.000000       -0.033370        1.000000
        80.000000       -0.033022        1.000000
        81.000000       -0.033022        1.000000
        82.000000       -0.031842        1.000000
        83.000000       -0.031838        1.000000
        84.000000       -0.028591        0.000000
        85.000000       -0.027752        1.000000
        86.000000       -0.027752        0.000000
        87.000000       -0.026538        1.000000
        88.000000       -0.025727        1.000000
        89.000000       -0.025727        1.000000
        90.000000       -0.025472        1.000000
        91.000000       -0.025467        1.000000
        92.000000       -0.023768        1.000000
        93.000000       -0.023768        1.000000
        94.000000       -0.023556        1.000000
        95.000000       -0.023556        1.000000
        96.000000       -0.023425        1.000000
