#            iprt         eigenv.           conv.
         1.000000       -3.957159        1.000000
         2.000000       -2.770361        0.000000
         3.000000       -1.117252        0.000000
         4.000000       -0.977980        1.000000
         5.000000       -0.977965        1.000000
         6.000000       -0.755389        1.000000
         7.000000       -0.755381        1.000000
         8.000000       -0.660631        1.000000
         9.000000       -0.618071        1.000000
        10.000000       -0.618063        1.000000
        11.000000       -0.549061        1.000000
        12.000000       -0.458418        1.000000
        13.000000       -0.424976        0.000000
        14.000000       -0.424970        0.000000
        15.000000       -0.371560        0.000000
        16.000000       -0.371557        0.000000
        17.000000       -0.362668        1.000000
        18.000000       -0.362663        1.000000
        19.000000       -0.322890        1.000000
        20.000000       -0.319186        1.000000
        21.000000       -0.319184        1.000000
        22.000000       -0.314094        1.000000
        23.000000       -0.309973        0.000000
        24.000000       -0.308464        1.000000
        25.000000       -0.308460        0.000000
        26.000000       -0.267957        0.000000
        27.000000       -0.253827        1.000000
        28.000000       -0.253818        1.000000
        29.000000       -0.216124        1.000000
        30.000000       -0.216108        1.000000
        31.000000       -0.207075        1.000000
        32.000000       -0.207072        1.000000
        33.000000       -0.200610        0.000000
        34.000000       -0.193789        0.000000
        35.000000       -0.167079        1.000000
        36.000000       -0.167075        1.000000
        37.000000       -0.163374        1.000000
        38.000000       -0.163372        1.000000
        39.000000       -0.162407        0.000000
        40.000000       -0.148641        1.000000
        41.000000       -0.148637        0.000000
        42.000000       -0.141354        0.000000
        43.000000       -0.141323        0.000000
        44.000000       -0.139552        1.000000
        45.000000       -0.139550        0.000000
        46.000000       -0.138838        0.000000
        47.000000       -0.137632        0.000000
        48.000000       -0.137630        0.000000
        49.000000       -0.135848        0.000000
        50.000000       -0.135844        0.000000
        51.000000       -0.115412        1.000000
        52.000000       -0.115410        1.000000
        53.000000       -0.110935        1.000000
        54.000000       -0.110934        1.000000
        55.000000       -0.107478        0.000000
        56.000000       -0.102069        1.000000
        57.000000       -0.097594        0.000000
        58.000000       -0.097593        0.000000
        59.000000       -0.093617        0.000000
        60.000000       -0.087094        1.000000
        61.000000       -0.087094        1.000000
        62.000000       -0.079462        1.000000
        63.000000       -0.079462        1.000000
        64.000000       -0.073059        0.000000
        65.000000       -0.072317        1.000000
        66.000000       -0.069975        1.000000
        67.000000       -0.069975        1.000000
        68.000000       -0.068490        1.000000
        69.000000       -0.068486        1.000000
        70.000000       -0.068250        1.000000
        71.000000       -0.068248        1.000000
        72.000000       -0.065045        1.000000
        73.000000       -0.065045        1.000000
        74.000000       -0.063492        1.000000
        75.000000       -0.060201        1.000000
        76.000000       -0.060201        1.000000
        77.000000       -0.051817        1.000000
        78.000000       -0.051817        1.000000
        79.000000       -0.050909        1.000000
        80.000000       -0.050373        1.000000
        81.000000       -0.050372        1.000000
        82.000000       -0.050153        1.000000
        83.000000       -0.050152        1.000000
        84.000000       -0.049254        1.000000
        85.000000       -0.049254        1.000000
        86.000000       -0.049225        0.000000
        87.000000       -0.048234        1.000000
        88.000000       -0.048233        1.000000
        89.000000       -0.047567        1.000000
        90.000000       -0.047567        1.000000
        91.000000       -0.047459        1.000000
        92.000000       -0.047458        1.000000
        93.000000       -0.045577        1.000000
        94.000000       -0.045577        1.000000
        95.000000       -0.045345        1.000000
        96.000000       -0.042747        1.000000
        97.000000       -0.042747        1.000000
        98.000000       -0.042528        0.000000
        99.000000       -0.042528        0.000000
       100.000000       -0.040119        1.000000
       101.000000       -0.040111        0.000000
       102.000000       -0.040030        0.000000
       103.000000       -0.038582        0.000000
       104.000000       -0.038582        0.000000
       105.000000       -0.038313        0.000000
       106.000000       -0.037867        0.000000
       107.000000       -0.037867        0.000000
       108.000000       -0.036497        0.000000
       109.000000       -0.036496        0.000000
       110.000000       -0.035994        0.000000
       111.000000       -0.034925        1.000000
       112.000000       -0.034925        1.000000
       113.000000       -0.034649        1.000000
       114.000000       -0.034649        1.000000
       115.000000       -0.033509        1.000000
       116.000000       -0.033509        1.000000
       117.000000       -0.033469        1.000000
       118.000000       -0.032229        0.000000
       119.000000       -0.031873        0.000000
       120.000000       -0.031868        0.000000
       121.000000       -0.030974        1.000000
       122.000000       -0.030973        1.000000
       123.000000       -0.029291        0.000000
       124.000000       -0.029291        0.000000
       125.000000       -0.028768        0.000000
       126.000000       -0.028768        0.000000
       127.000000       -0.028561        0.000000
       128.000000       -0.027075        1.000000
       129.000000       -0.027074        0.000000
       130.000000       -0.025771        0.000000
       131.000000       -0.025771        0.000000
       132.000000       -0.025621        0.000000
       133.000000       -0.024974        0.000000
       134.000000       -0.024853        0.000000
       135.000000       -0.024852        0.000000
       136.000000       -0.024611        0.000000
       137.000000       -0.024610        0.000000
       138.000000       -0.024001        0.000000
       139.000000       -0.024001        0.000000
       140.000000       -0.023698        1.000000
       141.000000       -0.023696        0.000000
       142.000000       -0.023663        0.000000
       143.000000       -0.023662        0.000000
       144.000000       -0.023394        1.000000
       145.000000       -0.023393        0.000000
       146.000000       -0.023229        1.000000
       147.000000       -0.023229        1.000000
       148.000000       -0.022957        1.000000
       149.000000       -0.022956        1.000000
       150.000000       -0.022852        1.000000
       151.000000       -0.022852        0.000000
       152.000000       -0.022254        0.000000
       153.000000       -0.022252        0.000000
       154.000000       -0.022076        0.000000
       155.000000       -0.022075        0.000000
       156.000000       -0.021770        0.000000
       157.000000       -0.021518        0.000000
       158.000000       -0.021517        0.000000
       159.000000       -0.020716        0.000000
       160.000000       -0.020704        0.000000
       161.000000       -0.020704        0.000000
       162.000000       -0.020021        0.000000
       163.000000       -0.020020        0.000000
       164.000000       -0.019950        0.000000
       165.000000       -0.019436        0.000000
       166.000000       -0.019377        0.000000
       167.000000       -0.019376        0.000000
       168.000000       -0.019375        0.000000
       169.000000       -0.019373        0.000000
       170.000000       -0.019344        0.000000
       171.000000       -0.019342        0.000000
       172.000000       -0.019205        0.000000
       173.000000       -0.019203        0.000000
       174.000000       -0.018961        0.000000
       175.000000       -0.018959        0.000000
       176.000000       -0.018830        0.000000
       177.000000       -0.018827        0.000000
       178.000000       -0.018076        0.000000
       179.000000       -0.018074        0.000000
       180.000000       -0.017504        0.000000
       181.000000       -0.017336        0.000000
       182.000000       -0.017248        0.000000
       183.000000       -0.017247        0.000000
       184.000000       -0.016900        0.000000
       185.000000       -0.016897        0.000000
       186.000000       -0.016833        0.000000
       187.000000       -0.016831        0.000000
       188.000000       -0.016819        0.000000
       189.000000       -0.016813        0.000000
       190.000000       -0.016620        0.000000
       191.000000       -0.016572        0.000000
       192.000000       -0.016571        0.000000
       193.000000       -0.016123        0.000000
       194.000000       -0.016121        0.000000
       195.000000       -0.015985        0.000000
       196.000000       -0.015985        0.000000
       197.000000       -0.015620        0.000000
       198.000000       -0.015449        0.000000
       199.000000       -0.015447        0.000000
       200.000000       -0.014562        0.000000
       201.000000       -0.014561        0.000000
       202.000000       -0.014258        0.000000
       203.000000       -0.014255        0.000000
       204.000000       -0.014195        0.000000
       205.000000       -0.014163        0.000000
       206.000000       -0.014156        0.000000
       207.000000       -0.014100        0.000000
       208.000000       -0.013956        0.000000
       209.000000       -0.013948        0.000000
       210.000000       -0.013933        0.000000
       211.000000       -0.013929        0.000000
       212.000000       -0.013884        0.000000
       213.000000       -0.013878        0.000000
       214.000000       -0.013377        0.000000
       215.000000       -0.013373        0.000000
       216.000000       -0.013245        0.000000
       217.000000       -0.013243        0.000000
       218.000000       -0.013137        0.000000
       219.000000       -0.013130        0.000000
       220.000000       -0.012860        0.000000
       221.000000       -0.012836        0.000000
       222.000000       -0.012836        0.000000
       223.000000       -0.012498        0.000000
       224.000000       -0.012497        0.000000
       225.000000       -0.012422        0.000000
       226.000000       -0.012418        0.000000
       227.000000       -0.012351        0.000000
       228.000000       -0.012345        0.000000
       229.000000       -0.012163        0.000000
       230.000000       -0.011996        0.000000
       231.000000       -0.011993        0.000000
       232.000000       -0.011899        0.000000
       233.000000       -0.011896        0.000000
       234.000000       -0.011760        0.000000
       235.000000       -0.011751        0.000000
       236.000000       -0.011622        0.000000
       237.000000       -0.011619        0.000000
       238.000000       -0.011429        0.000000
       239.000000       -0.011342        0.000000
       240.000000       -0.011338        0.000000
       241.000000       -0.011158        0.000000
       242.000000       -0.011151        0.000000
       243.000000       -0.011148        0.000000
       244.000000       -0.011143        0.000000
       245.000000       -0.011126        0.000000
       246.000000       -0.011116        0.000000
       247.000000       -0.011111        0.000000
       248.000000       -0.011109        0.000000
       249.000000       -0.011094        0.000000
       250.000000       -0.011003        0.000000
       251.000000       -0.010999        0.000000
       252.000000       -0.010966        0.000000
       253.000000       -0.010926        0.000000
       254.000000       -0.010914        0.000000
       255.000000       -0.010786        0.000000
       256.000000       -0.010774        0.000000
       257.000000       -0.010759        0.000000
       258.000000       -0.010756        0.000000
       259.000000       -0.010530        0.000000
       260.000000       -0.010521        0.000000
       261.000000       -0.010375        0.000000
       262.000000       -0.010367        0.000000
       263.000000       -0.010325        0.000000
       264.000000       -0.010320        0.000000
       265.000000       -0.010280        0.000000
       266.000000       -0.010228        0.000000
       267.000000       -0.010218        0.000000
       268.000000       -0.010152        0.000000
       269.000000       -0.010053        0.000000
       270.000000       -0.010043        0.000000
       271.000000       -0.009959        0.000000
       272.000000       -0.009951        0.000000
       273.000000       -0.009737        0.000000
       274.000000       -0.009734        0.000000
       275.000000       -0.009681        0.000000
       276.000000       -0.009678        0.000000
       277.000000       -0.009452        0.000000
       278.000000       -0.009447        0.000000
       279.000000       -0.009286        0.000000
       280.000000       -0.009276        0.000000
       281.000000       -0.009171        0.000000
       282.000000       -0.008993        0.000000
       283.000000       -0.008975        0.000000
       284.000000       -0.008852        0.000000
       285.000000       -0.008850        0.000000
       286.000000       -0.008748        0.000000
       287.000000       -0.008729        0.000000
       288.000000       -0.008728        0.000000
       289.000000       -0.008717        0.000000
       290.000000       -0.008698        0.000000
       291.000000       -0.008677        0.000000
       292.000000       -0.008666        0.000000
       293.000000       -0.008598        0.000000
       294.000000       -0.008579        0.000000
       295.000000       -0.008551        0.000000
       296.000000       -0.008461        0.000000
       297.000000       -0.008456        0.000000
       298.000000       -0.008315        0.000000
       299.000000       -0.008289        0.000000
       300.000000       -0.008156        0.000000
       301.000000       -0.008136        0.000000
       302.000000       -0.008092        0.000000
       303.000000       -0.008051        0.000000
       304.000000       -0.008041        0.000000
       305.000000       -0.008030        0.000000
       306.000000       -0.008012        0.000000
       307.000000       -0.008006        0.000000
       308.000000       -0.007991        0.000000
       309.000000       -0.007983        0.000000
       310.000000       -0.007847        0.000000
       311.000000       -0.007815        0.000000
       312.000000       -0.007805        0.000000
       313.000000       -0.007796        0.000000
       314.000000       -0.007768        0.000000
       315.000000       -0.007722        0.000000
       316.000000       -0.007716        0.000000
       317.000000       -0.007704        0.000000
       318.000000       -0.007692        0.000000
       319.000000       -0.007680        0.000000
       320.000000       -0.007521        0.000000
       321.000000       -0.007504        0.000000
       322.000000       -0.007297        0.000000
       323.000000       -0.007287        0.000000
       324.000000       -0.007196        0.000000
       325.000000       -0.007177        0.000000
       326.000000       -0.007144        0.000000
       327.000000       -0.007103        0.000000
       328.000000       -0.007084        0.000000
       329.000000       -0.007078        0.000000
       330.000000       -0.007053        0.000000
       331.000000       -0.007014        0.000000
       332.000000       -0.007001        0.000000
       333.000000       -0.006990        0.000000
       334.000000       -0.006972        0.000000
       335.000000       -0.006850        0.000000
       336.000000       -0.006774        0.000000
       337.000000       -0.006758        0.000000
       338.000000       -0.006753        0.000000
       339.000000       -0.006743        0.000000
       340.000000       -0.006737        0.000000
       341.000000       -0.006729        0.000000
       342.000000       -0.006712        0.000000
       343.000000       -0.006701        0.000000
       344.000000       -0.006680        0.000000
       345.000000       -0.006644        0.000000
       346.000000       -0.006629        0.000000
       347.000000       -0.006616        0.000000
       348.000000       -0.006595        0.000000
       349.000000       -0.006589        0.000000
       350.000000       -0.006572        0.000000
       351.000000       -0.006570        0.000000
       352.000000       -0.006511        0.000000
       353.000000       -0.006500        0.000000
       354.000000       -0.006476        0.000000
       355.000000       -0.006464        0.000000
       356.000000       -0.006446        0.000000
       357.000000       -0.006408        0.000000
       358.000000       -0.006399        0.000000
       359.000000       -0.006358        0.000000
       360.000000       -0.006344        0.000000
       361.000000       -0.006306        0.000000
       362.000000       -0.006296        0.000000
       363.000000       -0.006269        0.000000
       364.000000       -0.006255        0.000000
