#            iprt         eigenv.           conv.
         1.000000       -2.533649        1.000000
         2.000000       -1.768864        1.000000
         3.000000       -1.611215        1.000000
         4.000000       -1.611208        1.000000
         5.000000       -1.169813        1.000000
         6.000000       -1.143578        1.000000
         7.000000       -1.143572        1.000000
         8.000000       -1.000321        1.000000
         9.000000       -0.812906        1.000000
        10.000000       -0.812898        1.000000
        11.000000       -0.572569        1.000000
        12.000000       -0.572566        1.000000
        13.000000       -0.515841        1.000000
        14.000000       -0.421412        1.000000
        15.000000       -0.421410        1.000000
        16.000000       -0.421166        1.000000
        17.000000       -0.406029        1.000000
        18.000000       -0.406028        1.000000
        19.000000       -0.394635        1.000000
        20.000000       -0.394619        1.000000
        21.000000       -0.340021        1.000000
        22.000000       -0.326154        1.000000
        23.000000       -0.326151        1.000000
        24.000000       -0.319322        1.000000
        25.000000       -0.319321        1.000000
        26.000000       -0.309357        1.000000
        27.000000       -0.305876        1.000000
        28.000000       -0.305875        1.000000
        29.000000       -0.300304        1.000000
        30.000000       -0.300303        1.000000
        31.000000       -0.291887        1.000000
        32.000000       -0.291886        1.000000
        33.000000       -0.250964        1.000000
        34.000000       -0.250963        1.000000
        35.000000       -0.244168        1.000000
        36.000000       -0.195016        1.000000
        37.000000       -0.194725        1.000000
        38.000000       -0.194724        1.000000
        39.000000       -0.178539        1.000000
        40.000000       -0.178439        1.000000
        41.000000       -0.176701        1.000000
        42.000000       -0.156372        1.000000
        43.000000       -0.156370        1.000000
        44.000000       -0.154255        1.000000
        45.000000       -0.146647        1.000000
        46.000000       -0.146644        1.000000
        47.000000       -0.116882        1.000000
        48.000000       -0.114174        1.000000
        49.000000       -0.106467        1.000000
        50.000000       -0.106467        1.000000
        51.000000       -0.101967        1.000000
        52.000000       -0.101966        1.000000
        53.000000       -0.101597        1.000000
        54.000000       -0.101597        1.000000
        55.000000       -0.097641        1.000000
        56.000000       -0.097641        1.000000
        57.000000       -0.096540        1.000000
        58.000000       -0.096540        1.000000
        59.000000       -0.093697        1.000000
        60.000000       -0.093697        1.000000
        61.000000       -0.090707        1.000000
        62.000000       -0.084529        1.000000
        63.000000       -0.084529        1.000000
        64.000000       -0.084202        1.000000
        65.000000       -0.084201        1.000000
        66.000000       -0.078213        1.000000
        67.000000       -0.078213        1.000000
        68.000000       -0.075659        1.000000
        69.000000       -0.075659        1.000000
        70.000000       -0.073495        1.000000
        71.000000       -0.072895        1.000000
        72.000000       -0.072895        1.000000
        73.000000       -0.072161        1.000000
        74.000000       -0.072161        1.000000
        75.000000       -0.070886        1.000000
        76.000000       -0.070588        1.000000
        77.000000       -0.070588        1.000000
        78.000000       -0.068688        1.000000
        79.000000       -0.068688        1.000000
        80.000000       -0.065906        1.000000
        81.000000       -0.062707        1.000000
        82.000000       -0.062645        1.000000
        83.000000       -0.062645        1.000000
        84.000000       -0.057529        1.000000
        85.000000       -0.055806        1.000000
        86.000000       -0.055805        1.000000
        87.000000       -0.050760        1.000000
        88.000000       -0.050722        1.000000
        89.000000       -0.047431        1.000000
        90.000000       -0.046475        1.000000
        91.000000       -0.046475        1.000000
        92.000000       -0.045774        1.000000
        93.000000       -0.045774        1.000000
        94.000000       -0.044734        1.000000
        95.000000       -0.044734        1.000000
        96.000000       -0.044073        1.000000
        97.000000       -0.044073        1.000000
