#            iprt         eigenv.           conv.
         1.000000       -2.533649        1.000000
         2.000000       -1.768864        0.000000
         3.000000       -1.611215        1.000000
         4.000000       -1.611208        1.000000
         5.000000       -1.169813        1.000000
         6.000000       -1.143578        1.000000
         7.000000       -1.143572        1.000000
         8.000000       -1.000321        0.000000
         9.000000       -0.812906        1.000000
        10.000000       -0.812898        1.000000
        11.000000       -0.572569        1.000000
        12.000000       -0.572566        1.000000
        13.000000       -0.515841        1.000000
        14.000000       -0.421412        1.000000
        15.000000       -0.421410        1.000000
        16.000000       -0.421166        0.000000
        17.000000       -0.406029        1.000000
        18.000000       -0.406028        1.000000
        19.000000       -0.394635        1.000000
        20.000000       -0.394619        1.000000
        21.000000       -0.340021        1.000000
        22.000000       -0.326154        1.000000
        23.000000       -0.326151        1.000000
        24.000000       -0.319322        1.000000
        25.000000       -0.319321        1.000000
        26.000000       -0.309357        0.000000
        27.000000       -0.305876        1.000000
        28.000000       -0.305875        0.000000
        29.000000       -0.300304        1.000000
        30.000000       -0.300303        1.000000
        31.000000       -0.291887        1.000000
        32.000000       -0.291886        1.000000
        33.000000       -0.250964        1.000000
        34.000000       -0.250963        1.000000
        35.000000       -0.244168        0.000000
        36.000000       -0.195016        1.000000
        37.000000       -0.194725        1.000000
        38.000000       -0.194724        1.000000
        39.000000       -0.178539        1.000000
        40.000000       -0.178439        1.000000
        41.000000       -0.176701        0.000000
        42.000000       -0.156372        1.000000
        43.000000       -0.156370        1.000000
        44.000000       -0.154255        1.000000
        45.000000       -0.146647        1.000000
        46.000000       -0.146644        1.000000
        47.000000       -0.116882        0.000000
        48.000000       -0.114174        0.000000
        49.000000       -0.106467        1.000000
        50.000000       -0.106467        1.000000
        51.000000       -0.101967        1.000000
        52.000000       -0.101966        1.000000
        53.000000       -0.101597        1.000000
        54.000000       -0.101597        1.000000
        55.000000       -0.097641        1.000000
        56.000000       -0.097641        1.000000
        57.000000       -0.096540        1.000000
        58.000000       -0.096539        1.000000
        59.000000       -0.093697        1.000000
        60.000000       -0.093697        1.000000
        61.000000       -0.090707        1.000000
        62.000000       -0.084529        1.000000
        63.000000       -0.084528        1.000000
        64.000000       -0.084202        1.000000
        65.000000       -0.084201        1.000000
        66.000000       -0.078213        1.000000
        67.000000       -0.078213        1.000000
        68.000000       -0.075659        1.000000
        69.000000       -0.075658        1.000000
        70.000000       -0.073495        1.000000
        71.000000       -0.072895        1.000000
        72.000000       -0.072895        1.000000
        73.000000       -0.072161        1.000000
        74.000000       -0.072161        1.000000
        75.000000       -0.070885        1.000000
        76.000000       -0.070588        1.000000
        77.000000       -0.070588        1.000000
        78.000000       -0.068688        1.000000
        79.000000       -0.068687        1.000000
        80.000000       -0.065905        0.000000
        81.000000       -0.062707        0.000000
        82.000000       -0.062645        0.000000
        83.000000       -0.062645        0.000000
        84.000000       -0.057527        0.000000
        85.000000       -0.055805        0.000000
        86.000000       -0.055804        0.000000
        87.000000       -0.050759        0.000000
        88.000000       -0.050721        0.000000
        89.000000       -0.047430        0.000000
        90.000000       -0.046474        0.000000
        91.000000       -0.046474        0.000000
        92.000000       -0.045774        1.000000
        93.000000       -0.045774        1.000000
        94.000000       -0.044733        1.000000
        95.000000       -0.044732        0.000000
        96.000000       -0.044072        1.000000
        97.000000       -0.044072        1.000000
        98.000000       -0.043691        1.000000
        99.000000       -0.043422        1.000000
       100.000000       -0.043419        1.000000
       101.000000       -0.042996        1.000000
       102.000000       -0.042996        1.000000
       103.000000       -0.042966        0.000000
       104.000000       -0.042965        0.000000
       105.000000       -0.042329        1.000000
       106.000000       -0.042329        1.000000
       107.000000       -0.042073        0.000000
       108.000000       -0.040124        1.000000
       109.000000       -0.040123        0.000000
       110.000000       -0.039276        1.000000
       111.000000       -0.039275        1.000000
       112.000000       -0.036693        1.000000
       113.000000       -0.036452        1.000000
       114.000000       -0.036451        0.000000
       115.000000       -0.035728        1.000000
       116.000000       -0.035728        0.000000
       117.000000       -0.035114        1.000000
       118.000000       -0.035114        1.000000
       119.000000       -0.033974        1.000000
       120.000000       -0.033973        0.000000
       121.000000       -0.033692        1.000000
       122.000000       -0.033692        0.000000
       123.000000       -0.033317        0.000000
       124.000000       -0.032950        0.000000
       125.000000       -0.032949        0.000000
       126.000000       -0.032599        0.000000
       127.000000       -0.032599        0.000000
       128.000000       -0.031761        0.000000
       129.000000       -0.031761        0.000000
       130.000000       -0.031533        0.000000
       131.000000       -0.031533        0.000000
       132.000000       -0.030185        0.000000
       133.000000       -0.029587        0.000000
       134.000000       -0.029586        0.000000
       135.000000       -0.029276        0.000000
       136.000000       -0.029276        0.000000
       137.000000       -0.028750        0.000000
       138.000000       -0.027869        0.000000
       139.000000       -0.027868        0.000000
       140.000000       -0.027706        0.000000
       141.000000       -0.027704        0.000000
       142.000000       -0.027039        0.000000
       143.000000       -0.027039        0.000000
       144.000000       -0.025915        0.000000
       145.000000       -0.025888        0.000000
       146.000000       -0.025887        0.000000
       147.000000       -0.025811        0.000000
       148.000000       -0.025810        0.000000
       149.000000       -0.025053        0.000000
       150.000000       -0.023857        1.000000
       151.000000       -0.023784        1.000000
       152.000000       -0.023783        0.000000
       153.000000       -0.023427        0.000000
       154.000000       -0.023425        0.000000
       155.000000       -0.023206        0.000000
       156.000000       -0.023204        0.000000
       157.000000       -0.022623        0.000000
       158.000000       -0.022621        0.000000
       159.000000       -0.022580        0.000000
       160.000000       -0.022580        0.000000
       161.000000       -0.022548        0.000000
       162.000000       -0.022411        0.000000
       163.000000       -0.022409        0.000000
       164.000000       -0.022236        0.000000
       165.000000       -0.022235        0.000000
       166.000000       -0.022117        0.000000
       167.000000       -0.022115        0.000000
       168.000000       -0.021646        0.000000
       169.000000       -0.021045        0.000000
       170.000000       -0.021044        0.000000
       171.000000       -0.020591        0.000000
       172.000000       -0.020571        0.000000
       173.000000       -0.020440        0.000000
       174.000000       -0.020439        0.000000
       175.000000       -0.020149        0.000000
       176.000000       -0.020149        0.000000
       177.000000       -0.019888        0.000000
       178.000000       -0.019885        0.000000
       179.000000       -0.019628        0.000000
       180.000000       -0.019234        0.000000
       181.000000       -0.019232        0.000000
       182.000000       -0.019108        0.000000
       183.000000       -0.019103        0.000000
       184.000000       -0.018811        0.000000
       185.000000       -0.018809        0.000000
       186.000000       -0.018565        0.000000
       187.000000       -0.018562        0.000000
       188.000000       -0.018130        0.000000
       189.000000       -0.018127        0.000000
       190.000000       -0.017932        0.000000
       191.000000       -0.017836        0.000000
       192.000000       -0.017835        0.000000
       193.000000       -0.017830        0.000000
       194.000000       -0.017825        0.000000
       195.000000       -0.017717        0.000000
       196.000000       -0.017716        0.000000
       197.000000       -0.017424        0.000000
       198.000000       -0.017420        0.000000
       199.000000       -0.016886        0.000000
       200.000000       -0.016797        0.000000
       201.000000       -0.016790        0.000000
       202.000000       -0.016662        0.000000
       203.000000       -0.016448        0.000000
       204.000000       -0.016448        0.000000
       205.000000       -0.016424        0.000000
       206.000000       -0.016419        0.000000
       207.000000       -0.016080        0.000000
       208.000000       -0.016079        0.000000
       209.000000       -0.015777        0.000000
       210.000000       -0.015769        0.000000
       211.000000       -0.015640        0.000000
       212.000000       -0.015637        0.000000
       213.000000       -0.015155        0.000000
       214.000000       -0.015149        0.000000
       215.000000       -0.015001        0.000000
       216.000000       -0.014927        0.000000
       217.000000       -0.014919        0.000000
       218.000000       -0.014675        0.000000
