#            iprt         eigenv.           conv.
         1.000000       -2.613929        1.000000
         2.000000       -1.776311        0.000000
         3.000000       -1.616230        1.000000
         4.000000       -1.616230        1.000000
         5.000000       -1.183722        1.000000
         6.000000       -1.147974        1.000000
         7.000000       -1.147973        1.000000
         8.000000       -1.004216        0.000000
         9.000000       -0.837801        1.000000
        10.000000       -0.837799        1.000000
        11.000000       -0.588028        1.000000
        12.000000       -0.588027        1.000000
        13.000000       -0.521674        1.000000
        14.000000       -0.421826        1.000000
        15.000000       -0.421825        1.000000
        16.000000       -0.420087        0.000000
        17.000000       -0.404795        1.000000
        18.000000       -0.404794        1.000000
        19.000000       -0.393999        1.000000
        20.000000       -0.393983        1.000000
        21.000000       -0.337687        1.000000
        22.000000       -0.326679        1.000000
        23.000000       -0.326679        1.000000
        24.000000       -0.318800        1.000000
        25.000000       -0.318799        1.000000
        26.000000       -0.309194        0.000000
        27.000000       -0.305932        1.000000
        28.000000       -0.305932        0.000000
        29.000000       -0.300049        1.000000
        30.000000       -0.300048        1.000000
        31.000000       -0.291352        1.000000
        32.000000       -0.291351        1.000000
        33.000000       -0.251907        1.000000
        34.000000       -0.251906        1.000000
        35.000000       -0.246687        0.000000
        36.000000       -0.196990        1.000000
        37.000000       -0.195778        1.000000
        38.000000       -0.195778        1.000000
        39.000000       -0.178443        1.000000
        40.000000       -0.178342        1.000000
        41.000000       -0.176647        0.000000
        42.000000       -0.156414        1.000000
        43.000000       -0.156413        1.000000
        44.000000       -0.155475        1.000000
        45.000000       -0.147115        1.000000
        46.000000       -0.147112        1.000000
        47.000000       -0.117359        0.000000
        48.000000       -0.114634        0.000000
        49.000000       -0.107335        1.000000
        50.000000       -0.107335        1.000000
        51.000000       -0.101599        1.000000
        52.000000       -0.101597        1.000000
        53.000000       -0.100920        1.000000
        54.000000       -0.100920        1.000000
        55.000000       -0.097723        1.000000
        56.000000       -0.097722        1.000000
        57.000000       -0.096419        1.000000
        58.000000       -0.096419        1.000000
        59.000000       -0.093757        1.000000
        60.000000       -0.093757        1.000000
        61.000000       -0.091214        1.000000
        62.000000       -0.084623        1.000000
        63.000000       -0.084623        1.000000
        64.000000       -0.084111        1.000000
        65.000000       -0.084111        1.000000
        66.000000       -0.078177        1.000000
        67.000000       -0.078177        1.000000
        68.000000       -0.075791        1.000000
        69.000000       -0.075791        1.000000
        70.000000       -0.074040        1.000000
        71.000000       -0.072887        1.000000
        72.000000       -0.072887        1.000000
        73.000000       -0.072265        1.000000
        74.000000       -0.072265        1.000000
        75.000000       -0.070801        1.000000
        76.000000       -0.070801        1.000000
        77.000000       -0.070718        1.000000
        78.000000       -0.068981        1.000000
        79.000000       -0.068981        1.000000
        80.000000       -0.066182        0.000000
        81.000000       -0.063164        0.000000
        82.000000       -0.062909        0.000000
        83.000000       -0.062909        0.000000
        84.000000       -0.057675        0.000000
        85.000000       -0.056162        1.000000
