#            iprt         eigenv.           conv.
         1.000000       -3.038067        0.000000
         2.000000       -1.535241        1.000000
         3.000000       -1.514133        1.000000
         4.000000       -1.514132        1.000000
         5.000000       -1.112793        0.000000
         6.000000       -0.856211        0.000000
         7.000000       -0.856210        0.000000
         8.000000       -0.739795        0.000000
         9.000000       -0.602631        1.000000
        10.000000       -0.602630        1.000000
        11.000000       -0.485174        0.000000
        12.000000       -0.448450        1.000000
        13.000000       -0.448449        0.000000
        14.000000       -0.390645        1.000000
        15.000000       -0.390639        1.000000
        16.000000       -0.377226        1.000000
        17.000000       -0.377225        1.000000
        18.000000       -0.337059        0.000000
        19.000000       -0.316654        1.000000
        20.000000       -0.316653        1.000000
        21.000000       -0.303563        1.000000
        22.000000       -0.303562        1.000000
        23.000000       -0.266034        1.000000
        24.000000       -0.266033        1.000000
        25.000000       -0.265120        1.000000
        26.000000       -0.257159        0.000000
        27.000000       -0.231323        1.000000
        28.000000       -0.231323        1.000000
        29.000000       -0.208959        1.000000
        30.000000       -0.208959        1.000000
        31.000000       -0.199068        0.000000
        32.000000       -0.170352        1.000000
        33.000000       -0.170295        1.000000
        34.000000       -0.168436        0.000000
        35.000000       -0.155803        0.000000
        36.000000       -0.140629        1.000000
        37.000000       -0.140629        1.000000
        38.000000       -0.137742        1.000000
        39.000000       -0.137742        1.000000
        40.000000       -0.134759        1.000000
        41.000000       -0.134759        1.000000
        42.000000       -0.132107        1.000000
        43.000000       -0.132105        1.000000
        44.000000       -0.123747        1.000000
        45.000000       -0.123747        1.000000
        46.000000       -0.119902        0.000000
        47.000000       -0.104092        1.000000
        48.000000       -0.104092        1.000000
        49.000000       -0.103442        0.000000
        50.000000       -0.097062        0.000000
        51.000000       -0.095935        1.000000
        52.000000       -0.095935        0.000000
        53.000000       -0.088197        1.000000
        54.000000       -0.088197        1.000000
        55.000000       -0.082298        1.000000
        56.000000       -0.082298        1.000000
        57.000000       -0.079022        1.000000
        58.000000       -0.079022        1.000000
        59.000000       -0.077314        0.000000
        60.000000       -0.075857        1.000000
        61.000000       -0.075857        1.000000
        62.000000       -0.069890        1.000000
        63.000000       -0.069890        1.000000
        64.000000       -0.065910        1.000000
        65.000000       -0.065910        1.000000
        66.000000       -0.063958        1.000000
        67.000000       -0.063958        1.000000
        68.000000       -0.063546        0.000000
        69.000000       -0.062099        0.000000
        70.000000       -0.053665        0.000000
        71.000000       -0.051277        1.000000
        72.000000       -0.051277        0.000000
        73.000000       -0.050386        1.000000
        74.000000       -0.050386        0.000000
        75.000000       -0.049714        1.000000
        76.000000       -0.049704        1.000000
        77.000000       -0.049157        1.000000
        78.000000       -0.049157        1.000000
        79.000000       -0.048157        1.000000
        80.000000       -0.047445        1.000000
        81.000000       -0.047445        1.000000
        82.000000       -0.047135        1.000000
        83.000000       -0.047120        1.000000
        84.000000       -0.046223        1.000000
        85.000000       -0.046223        1.000000
        86.000000       -0.045019        1.000000
        87.000000       -0.043056        1.000000
        88.000000       -0.043056        1.000000
        89.000000       -0.041803        1.000000
        90.000000       -0.041802        1.000000
        91.000000       -0.040154        1.000000
        92.000000       -0.040154        1.000000
        93.000000       -0.040006        1.000000
        94.000000       -0.040006        1.000000
        95.000000       -0.038206        0.000000
        96.000000       -0.036970        1.000000
        97.000000       -0.036970        1.000000
        98.000000       -0.036369        1.000000
        99.000000       -0.036369        1.000000
       100.000000       -0.035606        1.000000
       101.000000       -0.035605        0.000000
       102.000000       -0.035049        1.000000
       103.000000       -0.035049        1.000000
       104.000000       -0.034829        0.000000
       105.000000       -0.034368        0.000000
       106.000000       -0.033514        1.000000
       107.000000       -0.033514        0.000000
       108.000000       -0.031844        1.000000
       109.000000       -0.031844        0.000000
       110.000000       -0.031395        1.000000
       111.000000       -0.031395        0.000000
       112.000000       -0.031194        0.000000
       113.000000       -0.031194        0.000000
       114.000000       -0.028207        1.000000
       115.000000       -0.028207        1.000000
       116.000000       -0.028142        1.000000
       117.000000       -0.028113        0.000000
       118.000000       -0.028113        0.000000
       119.000000       -0.027045        0.000000
       120.000000       -0.026658        0.000000
       121.000000       -0.026658        0.000000
       122.000000       -0.025672        0.000000
       123.000000       -0.024004        1.000000
       124.000000       -0.024003        1.000000
       125.000000       -0.023683        1.000000
       126.000000       -0.023682        1.000000
       127.000000       -0.023571        1.000000
       128.000000       -0.023570        1.000000
       129.000000       -0.023407        0.000000
       130.000000       -0.023407        0.000000
       131.000000       -0.023348        0.000000
       132.000000       -0.022796        1.000000
       133.000000       -0.022796        1.000000
       134.000000       -0.022742        1.000000
       135.000000       -0.022741        0.000000
       136.000000       -0.022555        0.000000
       137.000000       -0.022555        0.000000
       138.000000       -0.022141        0.000000
       139.000000       -0.021745        1.000000
       140.000000       -0.021744        0.000000
       141.000000       -0.021668        0.000000
       142.000000       -0.021667        0.000000
       143.000000       -0.021592        0.000000
       144.000000       -0.021592        0.000000
       145.000000       -0.021125        1.000000
       146.000000       -0.021125        1.000000
       147.000000       -0.021029        0.000000
       148.000000       -0.020852        0.000000
       149.000000       -0.020852        0.000000
       150.000000       -0.020102        0.000000
       151.000000       -0.020091        0.000000
       152.000000       -0.019646        1.000000
       153.000000       -0.019645        0.000000
       154.000000       -0.019287        1.000000
       155.000000       -0.019282        0.000000
       156.000000       -0.019045        1.000000
       157.000000       -0.019045        0.000000
       158.000000       -0.018747        0.000000
       159.000000       -0.018745        0.000000
       160.000000       -0.018535        0.000000
       161.000000       -0.018534        0.000000
       162.000000       -0.018288        0.000000
       163.000000       -0.018154        0.000000
       164.000000       -0.018154        0.000000
       165.000000       -0.017947        0.000000
       166.000000       -0.017404        0.000000
       167.000000       -0.017404        0.000000
       168.000000       -0.017101        0.000000
       169.000000       -0.017099        0.000000
       170.000000       -0.016809        0.000000
       171.000000       -0.016808        0.000000
       172.000000       -0.016628        0.000000
       173.000000       -0.016374        0.000000
       174.000000       -0.016374        0.000000
       175.000000       -0.015957        0.000000
       176.000000       -0.015954        0.000000
       177.000000       -0.015719        0.000000
       178.000000       -0.015718        0.000000
       179.000000       -0.015613        0.000000
       180.000000       -0.015611        0.000000
       181.000000       -0.015193        0.000000
       182.000000       -0.015190        0.000000
       183.000000       -0.014861        0.000000
       184.000000       -0.014778        0.000000
       185.000000       -0.014775        0.000000
       186.000000       -0.014638        0.000000
       187.000000       -0.014636        0.000000
       188.000000       -0.014631        0.000000
       189.000000       -0.013999        0.000000
       190.000000       -0.013995        0.000000
       191.000000       -0.013717        0.000000
       192.000000       -0.013716        0.000000
       193.000000       -0.013639        0.000000
       194.000000       -0.013323        0.000000
       195.000000       -0.013319        0.000000
       196.000000       -0.013036        0.000000
       197.000000       -0.013021        0.000000
       198.000000       -0.013019        0.000000
       199.000000       -0.012932        0.000000
       200.000000       -0.012930        0.000000
       201.000000       -0.012853        0.000000
       202.000000       -0.012852        0.000000
       203.000000       -0.012692        0.000000
       204.000000       -0.012691        0.000000
       205.000000       -0.012333        0.000000
       206.000000       -0.012331        0.000000
       207.000000       -0.012326        0.000000
       208.000000       -0.012322        0.000000
       209.000000       -0.012256        0.000000
       210.000000       -0.012251        0.000000
       211.000000       -0.012030        0.000000
       212.000000       -0.012027        0.000000
       213.000000       -0.011817        0.000000
