#            iprt         eigenv.           conv.
         1.000000       -3.764786        1.000000
         2.000000       -1.359241        1.000000
         3.000000       -1.230161        1.000000
         4.000000       -1.230145        1.000000
         5.000000       -0.967838        1.000000
         6.000000       -0.786148        1.000000
         7.000000       -0.675436        1.000000
         8.000000       -0.675424        1.000000
         9.000000       -0.498708        1.000000
        10.000000       -0.498700        1.000000
        11.000000       -0.485446        1.000000
        12.000000       -0.410499        1.000000
        13.000000       -0.410491        1.000000
        14.000000       -0.361898        1.000000
        15.000000       -0.361889        1.000000
        16.000000       -0.265877        1.000000
        17.000000       -0.265873        1.000000
        18.000000       -0.260067        1.000000
        19.000000       -0.223529        1.000000
        20.000000       -0.223526        1.000000
        21.000000       -0.216500        1.000000
        22.000000       -0.216498        1.000000
        23.000000       -0.202453        1.000000
        24.000000       -0.196571        1.000000
        25.000000       -0.165175        1.000000
        26.000000       -0.157791        1.000000
        27.000000       -0.153997        1.000000
        28.000000       -0.153992        1.000000
        29.000000       -0.142649        1.000000
        30.000000       -0.142648        1.000000
        31.000000       -0.140747        1.000000
        32.000000       -0.140742        1.000000
        33.000000       -0.136077        1.000000
        34.000000       -0.136076        1.000000
        35.000000       -0.132373        1.000000
        36.000000       -0.132368        1.000000
        37.000000       -0.131607        1.000000
        38.000000       -0.131605        1.000000
        39.000000       -0.121121        1.000000
        40.000000       -0.119389        1.000000
        41.000000       -0.119385        1.000000
        42.000000       -0.108822        1.000000
        43.000000       -0.108818        1.000000
        44.000000       -0.107302        1.000000
        45.000000       -0.107300        1.000000
        46.000000       -0.104846        1.000000
        47.000000       -0.091872        1.000000
        48.000000       -0.078010        1.000000
        49.000000       -0.077287        1.000000
        50.000000       -0.077285        1.000000
        51.000000       -0.076238        1.000000
        52.000000       -0.076235        1.000000
        53.000000       -0.057112        1.000000
        54.000000       -0.056550        1.000000
        55.000000       -0.056548        1.000000
        56.000000       -0.055354        1.000000
        57.000000       -0.052372        1.000000
        58.000000       -0.052371        1.000000
        59.000000       -0.051070        1.000000
        60.000000       -0.051070        1.000000
        61.000000       -0.050614        1.000000
        62.000000       -0.050613        1.000000
        63.000000       -0.049399        1.000000
        64.000000       -0.049398        1.000000
        65.000000       -0.048886        1.000000
        66.000000       -0.048885        1.000000
        67.000000       -0.047081        1.000000
        68.000000       -0.046223        1.000000
        69.000000       -0.046222        1.000000
        70.000000       -0.045529        1.000000
        71.000000       -0.045529        1.000000
        72.000000       -0.043905        1.000000
        73.000000       -0.043904        1.000000
        74.000000       -0.042897        1.000000
        75.000000       -0.041805        1.000000
        76.000000       -0.041804        1.000000
        77.000000       -0.041300        1.000000
        78.000000       -0.041300        1.000000
        79.000000       -0.038780        1.000000
        80.000000       -0.038780        1.000000
        81.000000       -0.038455        1.000000
        82.000000       -0.038455        1.000000
        83.000000       -0.037200        1.000000
        84.000000       -0.037075        1.000000
        85.000000       -0.037072        1.000000
        86.000000       -0.036297        1.000000
        87.000000       -0.036296        1.000000
        88.000000       -0.035699        1.000000
        89.000000       -0.032881        1.000000
        90.000000       -0.032881        1.000000
        91.000000       -0.032670        1.000000
        92.000000       -0.031666        1.000000
        93.000000       -0.031666        1.000000
        94.000000       -0.028805        1.000000
        95.000000       -0.028803        1.000000
        96.000000       -0.027422        1.000000
        97.000000       -0.026271        1.000000
        98.000000       -0.026153        1.000000
        99.000000       -0.026153        1.000000
       100.000000       -0.024218        1.000000
       101.000000       -0.023983        1.000000
       102.000000       -0.023983        1.000000
       103.000000       -0.023316        1.000000
       104.000000       -0.023316        1.000000
       105.000000       -0.022801        1.000000
       106.000000       -0.022801        1.000000
       107.000000       -0.022764        1.000000
       108.000000       -0.022764        1.000000
       109.000000       -0.022641        1.000000
       110.000000       -0.022641        1.000000
       111.000000       -0.022486        1.000000
       112.000000       -0.022486        1.000000
       113.000000       -0.021773        1.000000
       114.000000       -0.021773        1.000000
       115.000000       -0.021438        1.000000
       116.000000       -0.021438        1.000000
       117.000000       -0.021221        1.000000
       118.000000       -0.021221        1.000000
       119.000000       -0.020847        1.000000
       120.000000       -0.020847        1.000000
       121.000000       -0.020678        1.000000
       122.000000       -0.020275        1.000000
       123.000000       -0.020275        1.000000
       124.000000       -0.019880        1.000000
       125.000000       -0.019880        1.000000
       126.000000       -0.019456        1.000000
       127.000000       -0.019456        1.000000
       128.000000       -0.019198        1.000000
       129.000000       -0.019125        1.000000
       130.000000       -0.019125        1.000000
       131.000000       -0.018792        1.000000
       132.000000       -0.018792        1.000000
       133.000000       -0.018763        1.000000
       134.000000       -0.018763        1.000000
       135.000000       -0.018070        1.000000
       136.000000       -0.018070        1.000000
       137.000000       -0.017976        1.000000
       138.000000       -0.017976        1.000000
       139.000000       -0.017632        1.000000
       140.000000       -0.017493        1.000000
       141.000000       -0.017313        1.000000
       142.000000       -0.017312        1.000000
       143.000000       -0.017102        1.000000
       144.000000       -0.016797        1.000000
       145.000000       -0.016797        1.000000
       146.000000       -0.016089        1.000000
       147.000000       -0.016089        1.000000
       148.000000       -0.015899        1.000000
       149.000000       -0.015899        1.000000
       150.000000       -0.015837        1.000000
       151.000000       -0.015835        1.000000
       152.000000       -0.015454        1.000000
       153.000000       -0.014310        1.000000
       154.000000       -0.014310        1.000000
       155.000000       -0.014273        1.000000
       156.000000       -0.014273        1.000000
       157.000000       -0.013817        1.000000
       158.000000       -0.013817        1.000000
       159.000000       -0.013535        1.000000
       160.000000       -0.012758        1.000000
       161.000000       -0.012388        1.000000
       162.000000       -0.012387        1.000000
       163.000000       -0.012071        1.000000
       164.000000       -0.011919        1.000000
       165.000000       -0.011919        1.000000
       166.000000       -0.011876        1.000000
       167.000000       -0.011875        1.000000
       168.000000       -0.011801        1.000000
       169.000000       -0.011750        1.000000
       170.000000       -0.011750        1.000000
       171.000000       -0.011669        1.000000
       172.000000       -0.011669        1.000000
       173.000000       -0.011592        1.000000
       174.000000       -0.011591        1.000000
       175.000000       -0.011492        1.000000
       176.000000       -0.011492        1.000000
       177.000000       -0.011235        1.000000
       178.000000       -0.011234        1.000000
       179.000000       -0.011136        1.000000
       180.000000       -0.011135        1.000000
       181.000000       -0.011033        1.000000
       182.000000       -0.011033        1.000000
       183.000000       -0.011028        1.000000
       184.000000       -0.011028        1.000000
       185.000000       -0.010984        1.000000
       186.000000       -0.010984        1.000000
       187.000000       -0.010810        1.000000
       188.000000       -0.010810        1.000000
       189.000000       -0.010657        1.000000
       190.000000       -0.010657        1.000000
       191.000000       -0.010568        1.000000
       192.000000       -0.010524        1.000000
       193.000000       -0.010524        1.000000
       194.000000       -0.010488        1.000000
       195.000000       -0.010488        1.000000
       196.000000       -0.010312        1.000000
       197.000000       -0.010312        1.000000
       198.000000       -0.010011        1.000000
       199.000000       -0.010011        1.000000
       200.000000       -0.009799        1.000000
       201.000000       -0.009797        1.000000
       202.000000       -0.009678        1.000000
       203.000000       -0.009677        1.000000
       204.000000       -0.009613        1.000000
       205.000000       -0.009612        1.000000
       206.000000       -0.009484        1.000000
       207.000000       -0.009483        1.000000
       208.000000       -0.009382        1.000000
       209.000000       -0.009356        1.000000
       210.000000       -0.009356        1.000000
       211.000000       -0.009314        1.000000
       212.000000       -0.009314        1.000000
       213.000000       -0.009220        1.000000
       214.000000       -0.008755        1.000000
       215.000000       -0.008755        1.000000
       216.000000       -0.008744        1.000000
       217.000000       -0.008743        1.000000
       218.000000       -0.008740        1.000000
       219.000000       -0.008739        1.000000
       220.000000       -0.008711        1.000000
       221.000000       -0.008711        1.000000
       222.000000       -0.008644        1.000000
       223.000000       -0.008134        1.000000
       224.000000       -0.008133        1.000000
       225.000000       -0.008057        1.000000
       226.000000       -0.008045        1.000000
       227.000000       -0.008044        1.000000
       228.000000       -0.007910        1.000000
       229.000000       -0.007909        1.000000
       230.000000       -0.007665        1.000000
       231.000000       -0.007506        1.000000
       232.000000       -0.007506        1.000000
       233.000000       -0.007427        1.000000
       234.000000       -0.007427        1.000000
       235.000000       -0.007229        1.000000
       236.000000       -0.007191        1.000000
       237.000000       -0.007191        1.000000
       238.000000       -0.006996        1.000000
       239.000000       -0.006996        1.000000
       240.000000       -0.006936        1.000000
       241.000000       -0.006936        1.000000
       242.000000       -0.006839        1.000000
       243.000000       -0.006839        1.000000
       244.000000       -0.006785        1.000000
       245.000000       -0.006719        1.000000
       246.000000       -0.006718        1.000000
       247.000000       -0.006523        1.000000
       248.000000       -0.006523        1.000000
       249.000000       -0.006515        1.000000
       250.000000       -0.006515        1.000000
       251.000000       -0.006501        1.000000
       252.000000       -0.006501        1.000000
       253.000000       -0.006481        1.000000
       254.000000       -0.006475        1.000000
       255.000000       -0.006475        1.000000
       256.000000       -0.006463        1.000000
       257.000000       -0.006463        1.000000
       258.000000       -0.006446        1.000000
       259.000000       -0.006445        1.000000
       260.000000       -0.006408        1.000000
       261.000000       -0.006408        1.000000
       262.000000       -0.006346        1.000000
       263.000000       -0.006248        1.000000
       264.000000       -0.006247        1.000000
       265.000000       -0.006204        1.000000
       266.000000       -0.006203        1.000000
       267.000000       -0.006041        1.000000
       268.000000       -0.006040        1.000000
       269.000000       -0.006022        1.000000
       270.000000       -0.006022        1.000000
       271.000000       -0.005983        1.000000
       272.000000       -0.005983        1.000000
       273.000000       -0.005945        1.000000
       274.000000       -0.005945        1.000000
       275.000000       -0.005874        1.000000
       276.000000       -0.005874        1.000000
       277.000000       -0.005830        1.000000
       278.000000       -0.005829        1.000000
       279.000000       -0.005745        1.000000
       280.000000       -0.005745        1.000000
       281.000000       -0.005703        1.000000
       282.000000       -0.005703        1.000000
       283.000000       -0.005541        1.000000
       284.000000       -0.005482        1.000000
       285.000000       -0.005482        1.000000
       286.000000       -0.005481        1.000000
       287.000000       -0.005481        1.000000
       288.000000       -0.005450        1.000000
       289.000000       -0.005412        1.000000
       290.000000       -0.005412        1.000000
       291.000000       -0.005400        1.000000
       292.000000       -0.005400        1.000000
       293.000000       -0.005387        1.000000
       294.000000       -0.005387        1.000000
       295.000000       -0.005315        1.000000
       296.000000       -0.005314        1.000000
       297.000000       -0.005291        1.000000
       298.000000       -0.005290        1.000000
       299.000000       -0.005246        1.000000
       300.000000       -0.005245        1.000000
       301.000000       -0.005150        1.000000
       302.000000       -0.005150        1.000000
       303.000000       -0.005145        1.000000
       304.000000       -0.004993        1.000000
       305.000000       -0.004992        1.000000
       306.000000       -0.004954        1.000000
       307.000000       -0.004954        1.000000
       308.000000       -0.004898        1.000000
       309.000000       -0.004898        1.000000
       310.000000       -0.004872        1.000000
       311.000000       -0.004786        1.000000
       312.000000       -0.004786        1.000000
       313.000000       -0.004696        1.000000
       314.000000       -0.004648        1.000000
       315.000000       -0.004648        1.000000
       316.000000       -0.004591        1.000000
       317.000000       -0.004590        1.000000
       318.000000       -0.004530        1.000000
       319.000000       -0.004525        1.000000
       320.000000       -0.004525        1.000000
       321.000000       -0.004516        1.000000
       322.000000       -0.004514        1.000000
       323.000000       -0.004471        1.000000
       324.000000       -0.004469        1.000000
       325.000000       -0.004431        1.000000
       326.000000       -0.004431        1.000000
       327.000000       -0.004280        1.000000
       328.000000       -0.004280        1.000000
       329.000000       -0.004275        1.000000
       330.000000       -0.004274        1.000000
       331.000000       -0.004155        1.000000
       332.000000       -0.004153        1.000000
       333.000000       -0.004153        1.000000
       334.000000       -0.004139        1.000000
       335.000000       -0.004138        1.000000
       336.000000       -0.004108        1.000000
       337.000000       -0.004108        1.000000
       338.000000       -0.003994        1.000000
       339.000000       -0.003994        1.000000
       340.000000       -0.003991        1.000000
       341.000000       -0.003990        1.000000
       342.000000       -0.003892        1.000000
       343.000000       -0.003892        1.000000
       344.000000       -0.003842        1.000000
       345.000000       -0.003842        1.000000
       346.000000       -0.003838        1.000000
       347.000000       -0.003838        1.000000
       348.000000       -0.003828        1.000000
       349.000000       -0.003827        1.000000
       350.000000       -0.003800        1.000000
       351.000000       -0.003800        1.000000
       352.000000       -0.003796        1.000000
       353.000000       -0.003794        1.000000
       354.000000       -0.003784        1.000000
       355.000000       -0.003784        1.000000
       356.000000       -0.003760        1.000000
       357.000000       -0.003760        1.000000
       358.000000       -0.003756        1.000000
       359.000000       -0.003717        1.000000
       360.000000       -0.003717        1.000000
       361.000000       -0.003692        1.000000
       362.000000       -0.003692        1.000000
       363.000000       -0.003631        1.000000
       364.000000       -0.003595        1.000000
       365.000000       -0.003591        1.000000
       366.000000       -0.003591        1.000000
       367.000000       -0.003574        1.000000
       368.000000       -0.003574        1.000000
       369.000000       -0.003556        1.000000
       370.000000       -0.003555        1.000000
       371.000000       -0.003551        1.000000
       372.000000       -0.003551        1.000000
       373.000000       -0.003464        1.000000
       374.000000       -0.003464        1.000000
       375.000000       -0.003445        1.000000
       376.000000       -0.003445        1.000000
       377.000000       -0.003416        1.000000
       378.000000       -0.003416        1.000000
       379.000000       -0.003413        1.000000
       380.000000       -0.003413        1.000000
       381.000000       -0.003404        1.000000
       382.000000       -0.003404        1.000000
       383.000000       -0.003365        1.000000
       384.000000       -0.003365        1.000000
       385.000000       -0.003277        1.000000
       386.000000       -0.003277        1.000000
       387.000000       -0.003274        1.000000
       388.000000       -0.003274        1.000000
       389.000000       -0.003270        1.000000
       390.000000       -0.003269        1.000000
       391.000000       -0.003246        1.000000
       392.000000       -0.003246        1.000000
       393.000000       -0.003179        1.000000
       394.000000       -0.003179        1.000000
       395.000000       -0.003162        1.000000
       396.000000       -0.003162        1.000000
       397.000000       -0.003142        1.000000
       398.000000       -0.003141        1.000000
       399.000000       -0.003140        1.000000
       400.000000       -0.003140        1.000000
       401.000000       -0.003022        1.000000
       402.000000       -0.003021        1.000000
       403.000000       -0.003021        1.000000
       404.000000       -0.003021        1.000000
       405.000000       -0.003009        1.000000
       406.000000       -0.003009        1.000000
       407.000000       -0.003007        1.000000
       408.000000       -0.003007        1.000000
       409.000000       -0.002984        1.000000
       410.000000       -0.002982        1.000000
       411.000000       -0.002981        1.000000
       412.000000       -0.002934        1.000000
       413.000000       -0.002932        1.000000
       414.000000       -0.002932        1.000000
       415.000000       -0.002922        1.000000
       416.000000       -0.002921        1.000000
       417.000000       -0.002906        1.000000
       418.000000       -0.002906        1.000000
       419.000000       -0.002895        1.000000
       420.000000       -0.002895        1.000000
       421.000000       -0.002799        1.000000
       422.000000       -0.002799        1.000000
       423.000000       -0.002785        1.000000
       424.000000       -0.002749        1.000000
       425.000000       -0.002748        1.000000
       426.000000       -0.002743        1.000000
       427.000000       -0.002743        1.000000
       428.000000       -0.002741        1.000000
       429.000000       -0.002741        1.000000
       430.000000       -0.002711        1.000000
       431.000000       -0.002711        1.000000
       432.000000       -0.002702        1.000000
       433.000000       -0.002663        1.000000
       434.000000       -0.002662        1.000000
       435.000000       -0.002652        1.000000
       436.000000       -0.002651        1.000000
       437.000000       -0.002632        1.000000
       438.000000       -0.002631        1.000000
       439.000000       -0.002541        1.000000
       440.000000       -0.002503        1.000000
       441.000000       -0.002503        1.000000
       442.000000       -0.002497        1.000000
       443.000000       -0.002495        1.000000
       444.000000       -0.002483        1.000000
       445.000000       -0.002483        1.000000
       446.000000       -0.002473        1.000000
       447.000000       -0.002472        1.000000
       448.000000       -0.002442        1.000000
       449.000000       -0.002441        1.000000
       450.000000       -0.002430        1.000000
       451.000000       -0.002430        1.000000
       452.000000       -0.002429        1.000000
       453.000000       -0.002428        1.000000
       454.000000       -0.002421        1.000000
       455.000000       -0.002419        1.000000
       456.000000       -0.002416        1.000000
       457.000000       -0.002416        1.000000
       458.000000       -0.002362        1.000000
       459.000000       -0.002361        1.000000
       460.000000       -0.002358        1.000000
       461.000000       -0.002356        1.000000
       462.000000       -0.002339        1.000000
       463.000000       -0.002339        1.000000
       464.000000       -0.002330        1.000000
       465.000000       -0.002329        1.000000
       466.000000       -0.002320        1.000000
       467.000000       -0.002320        1.000000
       468.000000       -0.002305        1.000000
       469.000000       -0.002302        1.000000
       470.000000       -0.002297        1.000000
       471.000000       -0.002285        1.000000
       472.000000       -0.002284        1.000000
       473.000000       -0.002283        1.000000
       474.000000       -0.002222        1.000000
       475.000000       -0.002221        1.000000
