#            iprt         eigenv.           conv.
         1.000000       -3.613833        1.000000
         2.000000       -1.540098        1.000000
         3.000000       -1.134862        1.000000
         4.000000       -0.874278        1.000000
         5.000000       -0.827353        1.000000
         6.000000       -0.736045        1.000000
         7.000000       -0.697254        1.000000
         8.000000       -0.655714        1.000000
         9.000000       -0.632793        1.000000
        10.000000       -0.559136        1.000000
        11.000000       -0.497724        1.000000
        12.000000       -0.433848        1.000000
        13.000000       -0.433027        1.000000
        14.000000       -0.407355        1.000000
        15.000000       -0.393426        1.000000
        16.000000       -0.352065        1.000000
        17.000000       -0.333280        1.000000
        18.000000       -0.295611        1.000000
        19.000000       -0.286854        1.000000
        20.000000       -0.279126        1.000000
        21.000000       -0.263696        1.000000
        22.000000       -0.249515        1.000000
        23.000000       -0.223444        1.000000
        24.000000       -0.223133        1.000000
        25.000000       -0.202182        1.000000
        26.000000       -0.195995        1.000000
        27.000000       -0.191465        1.000000
        28.000000       -0.187507        1.000000
        29.000000       -0.159833        1.000000
        30.000000       -0.158397        1.000000
        31.000000       -0.157607        1.000000
        32.000000       -0.150726        1.000000
        33.000000       -0.148587        1.000000
        34.000000       -0.144489        1.000000
        35.000000       -0.143106        1.000000
        36.000000       -0.140911        1.000000
        37.000000       -0.137943        1.000000
        38.000000       -0.133840        1.000000
        39.000000       -0.131470        1.000000
        40.000000       -0.122165        1.000000
        41.000000       -0.120544        1.000000
        42.000000       -0.104707        1.000000
        43.000000       -0.102468        1.000000
        44.000000       -0.100729        1.000000
        45.000000       -0.099940        1.000000
        46.000000       -0.091269        1.000000
        47.000000       -0.089652        1.000000
        48.000000       -0.087013        1.000000
        49.000000       -0.080923        1.000000
        50.000000       -0.076501        1.000000
        51.000000       -0.076236        1.000000
        52.000000       -0.072730        1.000000
        53.000000       -0.072317        1.000000
        54.000000       -0.069755        1.000000
        55.000000       -0.069630        1.000000
        56.000000       -0.065491        1.000000
        57.000000       -0.063570        1.000000
        58.000000       -0.062154        1.000000
        59.000000       -0.061851        1.000000
        60.000000       -0.060660        1.000000
        61.000000       -0.059871        1.000000
        62.000000       -0.057270        1.000000
        63.000000       -0.055285        1.000000
        64.000000       -0.054396        1.000000
        65.000000       -0.053182        1.000000
        66.000000       -0.052787        1.000000
        67.000000       -0.051299        1.000000
        68.000000       -0.049841        1.000000
        69.000000       -0.049765        1.000000
        70.000000       -0.049141        1.000000
        71.000000       -0.048773        1.000000
        72.000000       -0.048190        1.000000
        73.000000       -0.047466        1.000000
        74.000000       -0.046932        1.000000
        75.000000       -0.046378        1.000000
        76.000000       -0.045919        1.000000
        77.000000       -0.045274        1.000000
        78.000000       -0.043975        1.000000
        79.000000       -0.043787        1.000000
        80.000000       -0.043241        1.000000
        81.000000       -0.041424        1.000000
        82.000000       -0.040461        1.000000
        83.000000       -0.039888        1.000000
        84.000000       -0.039203        1.000000
        85.000000       -0.038832        1.000000
        86.000000       -0.037454        1.000000
        87.000000       -0.036787        1.000000
        88.000000       -0.036243        1.000000
        89.000000       -0.035451        1.000000
        90.000000       -0.034896        1.000000
        91.000000       -0.034896        1.000000
        92.000000       -0.034528        1.000000
        93.000000       -0.033398        1.000000
        94.000000       -0.033083        1.000000
        95.000000       -0.031505        1.000000
        96.000000       -0.030994        1.000000
        97.000000       -0.030566        1.000000
        98.000000       -0.030218        1.000000
        99.000000       -0.029991        1.000000
       100.000000       -0.029692        1.000000
       101.000000       -0.029576        1.000000
       102.000000       -0.028750        1.000000
       103.000000       -0.027607        1.000000
       104.000000       -0.026773        1.000000
       105.000000       -0.026492        1.000000
       106.000000       -0.026416        1.000000
       107.000000       -0.026390        1.000000
       108.000000       -0.026239        1.000000
       109.000000       -0.025443        1.000000
       110.000000       -0.025231        1.000000
       111.000000       -0.025069        1.000000
       112.000000       -0.024963        1.000000
       113.000000       -0.024703        1.000000
       114.000000       -0.024670        1.000000
       115.000000       -0.023805        1.000000
       116.000000       -0.023751        1.000000
       117.000000       -0.023465        1.000000
       118.000000       -0.023184        1.000000
       119.000000       -0.023158        1.000000
       120.000000       -0.022895        1.000000
       121.000000       -0.022692        1.000000
       122.000000       -0.022520        1.000000
       123.000000       -0.022512        1.000000
       124.000000       -0.022125        1.000000
       125.000000       -0.022085        1.000000
       126.000000       -0.022074        1.000000
       127.000000       -0.022043        1.000000
       128.000000       -0.021679        1.000000
       129.000000       -0.021593        1.000000
       130.000000       -0.021488        1.000000
       131.000000       -0.021153        1.000000
       132.000000       -0.020935        1.000000
       133.000000       -0.020919        1.000000
       134.000000       -0.020615        1.000000
       135.000000       -0.019923        1.000000
       136.000000       -0.019820        1.000000
       137.000000       -0.019819        1.000000
       138.000000       -0.019584        1.000000
       139.000000       -0.019259        1.000000
       140.000000       -0.018713        1.000000
       141.000000       -0.018552        1.000000
       142.000000       -0.018339        1.000000
       143.000000       -0.018298        1.000000
       144.000000       -0.018288        1.000000
       145.000000       -0.018288        1.000000
       146.000000       -0.018170        1.000000
       147.000000       -0.017607        1.000000
       148.000000       -0.017446        1.000000
       149.000000       -0.017321        1.000000
       150.000000       -0.017274        1.000000
       151.000000       -0.017147        1.000000
       152.000000       -0.017016        1.000000
       153.000000       -0.016685        1.000000
       154.000000       -0.016575        1.000000
       155.000000       -0.016177        1.000000
       156.000000       -0.015852        1.000000
       157.000000       -0.015821        1.000000
       158.000000       -0.015767        1.000000
       159.000000       -0.015628        1.000000
       160.000000       -0.015586        1.000000
       161.000000       -0.015554        1.000000
       162.000000       -0.015421        1.000000
       163.000000       -0.015417        1.000000
       164.000000       -0.015043        1.000000
       165.000000       -0.014773        1.000000
       166.000000       -0.014655        1.000000
       167.000000       -0.014484        1.000000
       168.000000       -0.014364        1.000000
       169.000000       -0.014317        1.000000
       170.000000       -0.014070        1.000000
       171.000000       -0.013907        1.000000
       172.000000       -0.013826        1.000000
       173.000000       -0.013601        1.000000
       174.000000       -0.013338        1.000000
       175.000000       -0.013335        1.000000
       176.000000       -0.013254        1.000000
       177.000000       -0.013165        1.000000
       178.000000       -0.013126        1.000000
       179.000000       -0.013103        1.000000
       180.000000       -0.012961        1.000000
       181.000000       -0.012914        1.000000
       182.000000       -0.012877        1.000000
       183.000000       -0.012860        1.000000
       184.000000       -0.012535        1.000000
       185.000000       -0.012486        1.000000
       186.000000       -0.012464        1.000000
       187.000000       -0.012402        1.000000
       188.000000       -0.012187        1.000000
       189.000000       -0.012056        1.000000
       190.000000       -0.012049        1.000000
       191.000000       -0.012023        1.000000
       192.000000       -0.011963        1.000000
       193.000000       -0.011912        1.000000
       194.000000       -0.011840        1.000000
       195.000000       -0.011795        1.000000
       196.000000       -0.011776        1.000000
       197.000000       -0.011650        1.000000
       198.000000       -0.011573        1.000000
       199.000000       -0.011501        1.000000
       200.000000       -0.011484        1.000000
       201.000000       -0.011428        1.000000
       202.000000       -0.011400        1.000000
       203.000000       -0.011346        1.000000
       204.000000       -0.011289        1.000000
       205.000000       -0.011185        1.000000
       206.000000       -0.011133        1.000000
       207.000000       -0.010941        1.000000
       208.000000       -0.010923        1.000000
       209.000000       -0.010803        1.000000
       210.000000       -0.010773        1.000000
       211.000000       -0.010598        1.000000
       212.000000       -0.010574        1.000000
       213.000000       -0.010555        1.000000
       214.000000       -0.010414        1.000000
       215.000000       -0.010384        1.000000
       216.000000       -0.010206        1.000000
       217.000000       -0.010174        1.000000
       218.000000       -0.010148        1.000000
       219.000000       -0.010133        1.000000
       220.000000       -0.010069        1.000000
       221.000000       -0.009913        1.000000
       222.000000       -0.009854        1.000000
       223.000000       -0.009819        1.000000
       224.000000       -0.009673        1.000000
       225.000000       -0.009531        1.000000
       226.000000       -0.009497        1.000000
       227.000000       -0.009454        1.000000
       228.000000       -0.009446        1.000000
       229.000000       -0.009402        1.000000
       230.000000       -0.009306        1.000000
       231.000000       -0.009287        1.000000
       232.000000       -0.009231        1.000000
       233.000000       -0.009218        1.000000
       234.000000       -0.009192        1.000000
       235.000000       -0.009131        1.000000
       236.000000       -0.009119        1.000000
       237.000000       -0.009010        1.000000
       238.000000       -0.008946        1.000000
       239.000000       -0.008846        1.000000
       240.000000       -0.008747        1.000000
       241.000000       -0.008738        1.000000
       242.000000       -0.008672        1.000000
       243.000000       -0.008633        1.000000
       244.000000       -0.008584        1.000000
       245.000000       -0.008578        1.000000
       246.000000       -0.008516        1.000000
       247.000000       -0.008482        1.000000
       248.000000       -0.008428        1.000000
       249.000000       -0.008301        1.000000
       250.000000       -0.008279        1.000000
       251.000000       -0.008212        1.000000
       252.000000       -0.008203        1.000000
       253.000000       -0.008173        1.000000
       254.000000       -0.008080        1.000000
       255.000000       -0.007981        1.000000
       256.000000       -0.007963        1.000000
       257.000000       -0.007929        1.000000
       258.000000       -0.007777        1.000000
       259.000000       -0.007777        1.000000
       260.000000       -0.007735        1.000000
       261.000000       -0.007726        1.000000
       262.000000       -0.007710        1.000000
       263.000000       -0.007650        1.000000
       264.000000       -0.007642        1.000000
       265.000000       -0.007637        1.000000
       266.000000       -0.007563        1.000000
       267.000000       -0.007537        1.000000
       268.000000       -0.007447        1.000000
       269.000000       -0.007444        1.000000
       270.000000       -0.007391        1.000000
       271.000000       -0.007361        1.000000
       272.000000       -0.007355        1.000000
       273.000000       -0.007317        1.000000
       274.000000       -0.007300        1.000000
       275.000000       -0.007288        1.000000
       276.000000       -0.007205        1.000000
       277.000000       -0.007131        1.000000
       278.000000       -0.007047        1.000000
       279.000000       -0.007013        1.000000
       280.000000       -0.006991        1.000000
       281.000000       -0.006963        1.000000
       282.000000       -0.006894        1.000000
       283.000000       -0.006860        1.000000
       284.000000       -0.006833        1.000000
       285.000000       -0.006833        1.000000
       286.000000       -0.006808        1.000000
       287.000000       -0.006795        1.000000
       288.000000       -0.006772        1.000000
       289.000000       -0.006757        1.000000
       290.000000       -0.006718        1.000000
       291.000000       -0.006711        1.000000
       292.000000       -0.006646        1.000000
       293.000000       -0.006630        1.000000
       294.000000       -0.006603        1.000000
       295.000000       -0.006594        1.000000
       296.000000       -0.006528        1.000000
       297.000000       -0.006452        1.000000
       298.000000       -0.006432        1.000000
       299.000000       -0.006426        1.000000
       300.000000       -0.006422        1.000000
       301.000000       -0.006408        1.000000
       302.000000       -0.006387        1.000000
       303.000000       -0.006380        1.000000
       304.000000       -0.006267        1.000000
       305.000000       -0.006257        1.000000
       306.000000       -0.006227        1.000000
       307.000000       -0.006215        1.000000
       308.000000       -0.006213        1.000000
       309.000000       -0.006165        1.000000
       310.000000       -0.006159        1.000000
