#            iprt         eigenv.           conv.
         1.000000       -3.613833        0.000000
         2.000000       -1.540098        0.000000
         3.000000       -1.134862        1.000000
         4.000000       -0.874278        1.000000
         5.000000       -0.827353        1.000000
         6.000000       -0.736045        1.000000
         7.000000       -0.697254        0.000000
         8.000000       -0.655714        0.000000
         9.000000       -0.632793        0.000000
        10.000000       -0.559136        1.000000
        11.000000       -0.497724        1.000000
        12.000000       -0.433848        0.000000
        13.000000       -0.433027        1.000000
        14.000000       -0.407355        1.000000
        15.000000       -0.393426        1.000000
        16.000000       -0.352065        0.000000
        17.000000       -0.333280        1.000000
        18.000000       -0.295611        1.000000
        19.000000       -0.286854        0.000000
        20.000000       -0.279126        0.000000
        21.000000       -0.263696        1.000000
        22.000000       -0.249515        1.000000
        23.000000       -0.223444        1.000000
        24.000000       -0.223133        0.000000
        25.000000       -0.202182        0.000000
        26.000000       -0.195995        0.000000
        27.000000       -0.191465        1.000000
        28.000000       -0.187507        0.000000
        29.000000       -0.159833        1.000000
        30.000000       -0.158397        1.000000
        31.000000       -0.157607        0.000000
        32.000000       -0.150726        1.000000
        33.000000       -0.148587        1.000000
        34.000000       -0.144489        0.000000
        35.000000       -0.143106        0.000000
        36.000000       -0.140911        0.000000
        37.000000       -0.137943        0.000000
        38.000000       -0.133840        0.000000
        39.000000       -0.131470        0.000000
        40.000000       -0.122165        1.000000
        41.000000       -0.120544        1.000000
        42.000000       -0.104707        1.000000
        43.000000       -0.102468        0.000000
        44.000000       -0.100729        1.000000
        45.000000       -0.099940        0.000000
        46.000000       -0.091269        1.000000
        47.000000       -0.089652        1.000000
        48.000000       -0.087013        1.000000
        49.000000       -0.080923        1.000000
        50.000000       -0.076501        1.000000
        51.000000       -0.076236        0.000000
        52.000000       -0.072730        1.000000
        53.000000       -0.072317        1.000000
        54.000000       -0.069755        1.000000
        55.000000       -0.069630        1.000000
        56.000000       -0.065491        1.000000
        57.000000       -0.063570        0.000000
        58.000000       -0.062154        1.000000
        59.000000       -0.061851        1.000000
        60.000000       -0.060660        1.000000
        61.000000       -0.059871        1.000000
        62.000000       -0.057270        1.000000
        63.000000       -0.055285        1.000000
        64.000000       -0.054396        1.000000
        65.000000       -0.053181        1.000000
        66.000000       -0.052787        1.000000
        67.000000       -0.051299        1.000000
        68.000000       -0.049841        1.000000
        69.000000       -0.049765        1.000000
        70.000000       -0.049141        1.000000
        71.000000       -0.048773        1.000000
        72.000000       -0.048190        1.000000
        73.000000       -0.047466        1.000000
        74.000000       -0.046931        1.000000
        75.000000       -0.046378        1.000000
        76.000000       -0.045919        1.000000
        77.000000       -0.045274        0.000000
        78.000000       -0.043975        1.000000
        79.000000       -0.043787        1.000000
        80.000000       -0.043241        0.000000
        81.000000       -0.041424        1.000000
        82.000000       -0.040461        1.000000
        83.000000       -0.039888        1.000000
        84.000000       -0.039202        1.000000
        85.000000       -0.038831        0.000000
        86.000000       -0.037453        1.000000
        87.000000       -0.036787        1.000000
        88.000000       -0.036243        1.000000
        89.000000       -0.035451        1.000000
        90.000000       -0.034896        1.000000
        91.000000       -0.034895        0.000000
        92.000000       -0.034528        1.000000
        93.000000       -0.033398        1.000000
        94.000000       -0.033082        1.000000
        95.000000       -0.031505        1.000000
        96.000000       -0.030994        1.000000
        97.000000       -0.030566        1.000000
        98.000000       -0.030218        1.000000
        99.000000       -0.029990        1.000000
       100.000000       -0.029691        1.000000
       101.000000       -0.029576        1.000000
       102.000000       -0.028750        1.000000
       103.000000       -0.027606        1.000000
       104.000000       -0.026773        1.000000
       105.000000       -0.026491        1.000000
       106.000000       -0.026415        1.000000
       107.000000       -0.026389        1.000000
       108.000000       -0.026239        1.000000
       109.000000       -0.025442        1.000000
       110.000000       -0.025230        1.000000
       111.000000       -0.025068        1.000000
       112.000000       -0.024962        1.000000
       113.000000       -0.024702        1.000000
       114.000000       -0.024669        0.000000
       115.000000       -0.023804        1.000000
       116.000000       -0.023750        1.000000
       117.000000       -0.023464        1.000000
       118.000000       -0.023183        1.000000
       119.000000       -0.023157        1.000000
       120.000000       -0.022894        1.000000
       121.000000       -0.022690        1.000000
       122.000000       -0.022519        1.000000
       123.000000       -0.022511        1.000000
       124.000000       -0.022123        1.000000
       125.000000       -0.022084        1.000000
       126.000000       -0.022073        1.000000
       127.000000       -0.022042        1.000000
       128.000000       -0.021677        1.000000
       129.000000       -0.021591        1.000000
       130.000000       -0.021487        1.000000
       131.000000       -0.021152        1.000000
       132.000000       -0.020934        1.000000
       133.000000       -0.020917        1.000000
       134.000000       -0.020614        1.000000
       135.000000       -0.019920        0.000000
       136.000000       -0.019818        1.000000
       137.000000       -0.019817        0.000000
       138.000000       -0.019582        0.000000
       139.000000       -0.019258        1.000000
       140.000000       -0.018711        1.000000
