#            iprt         eigenv.           conv.
         1.000000       -2.365483        1.000000
         2.000000       -0.959703        1.000000
         3.000000       -0.739023        1.000000
         4.000000       -0.724593        1.000000
         5.000000       -0.587861        1.000000
         6.000000       -0.507001        1.000000
         7.000000       -0.466903        1.000000
         8.000000       -0.324557        1.000000
         9.000000       -0.316318        1.000000
        10.000000       -0.303386        1.000000
        11.000000       -0.298452        1.000000
        12.000000       -0.293391        1.000000
        13.000000       -0.279519        1.000000
        14.000000       -0.242250        1.000000
        15.000000       -0.228774        1.000000
        16.000000       -0.210412        1.000000
        17.000000       -0.190103        1.000000
        18.000000       -0.181497        1.000000
        19.000000       -0.180946        1.000000
        20.000000       -0.156449        1.000000
        21.000000       -0.155502        1.000000
        22.000000       -0.153110        1.000000
        23.000000       -0.149813        1.000000
        24.000000       -0.149389        1.000000
        25.000000       -0.144886        1.000000
        26.000000       -0.104128        1.000000
        27.000000       -0.097623        1.000000
        28.000000       -0.094143        1.000000
        29.000000       -0.087649        1.000000
        30.000000       -0.082973        1.000000
        31.000000       -0.074059        1.000000
        32.000000       -0.073910        1.000000
        33.000000       -0.072817        1.000000
        34.000000       -0.065665        1.000000
        35.000000       -0.064859        1.000000
        36.000000       -0.062513        1.000000
        37.000000       -0.061238        1.000000
        38.000000       -0.060409        1.000000
        39.000000       -0.059484        1.000000
        40.000000       -0.058216        1.000000
        41.000000       -0.056807        1.000000
        42.000000       -0.055106        1.000000
        43.000000       -0.054892        1.000000
        44.000000       -0.053340        1.000000
        45.000000       -0.051171        1.000000
        46.000000       -0.048792        1.000000
        47.000000       -0.045366        1.000000
        48.000000       -0.044876        1.000000
        49.000000       -0.044809        1.000000
        50.000000       -0.044589        1.000000
        51.000000       -0.041191        1.000000
        52.000000       -0.038068        1.000000
        53.000000       -0.035869        1.000000
        54.000000       -0.035785        1.000000
        55.000000       -0.034517        1.000000
        56.000000       -0.033018        1.000000
        57.000000       -0.032996        1.000000
        58.000000       -0.032958        1.000000
        59.000000       -0.032093        1.000000
        60.000000       -0.031838        1.000000
        61.000000       -0.030803        1.000000
        62.000000       -0.030230        1.000000
        63.000000       -0.028547        1.000000
        64.000000       -0.028493        1.000000
        65.000000       -0.028487        1.000000
        66.000000       -0.028288        1.000000
        67.000000       -0.028196        1.000000
        68.000000       -0.027951        1.000000
        69.000000       -0.027748        1.000000
        70.000000       -0.026963        1.000000
        71.000000       -0.025697        1.000000
        72.000000       -0.025102        1.000000
        73.000000       -0.025022        1.000000
        74.000000       -0.024946        1.000000
        75.000000       -0.024233        1.000000
        76.000000       -0.024122        1.000000
        77.000000       -0.023934        1.000000
        78.000000       -0.023442        1.000000
        79.000000       -0.023102        1.000000
        80.000000       -0.022978        1.000000
        81.000000       -0.022058        1.000000
        82.000000       -0.021538        1.000000
        83.000000       -0.020428        1.000000
        84.000000       -0.020237        1.000000
        85.000000       -0.020192        1.000000
        86.000000       -0.019866        1.000000
        87.000000       -0.019803        1.000000
        88.000000       -0.019713        1.000000
        89.000000       -0.017974        1.000000
        90.000000       -0.017628        1.000000
        91.000000       -0.017603        1.000000
        92.000000       -0.017552        1.000000
        93.000000       -0.017340        1.000000
        94.000000       -0.017156        1.000000
        95.000000       -0.016423        1.000000
        96.000000       -0.016320        1.000000
        97.000000       -0.016283        1.000000
        98.000000       -0.015832        1.000000
        99.000000       -0.015822        1.000000
       100.000000       -0.015578        1.000000
       101.000000       -0.015347        1.000000
       102.000000       -0.015186        1.000000
       103.000000       -0.014856        1.000000
       104.000000       -0.014850        1.000000
       105.000000       -0.014845        1.000000
       106.000000       -0.014520        1.000000
       107.000000       -0.014450        1.000000
       108.000000       -0.014427        1.000000
       109.000000       -0.014424        1.000000
       110.000000       -0.014279        1.000000
       111.000000       -0.013879        1.000000
       112.000000       -0.013675        1.000000
       113.000000       -0.013379        1.000000
       114.000000       -0.013233        1.000000
       115.000000       -0.013207        1.000000
       116.000000       -0.013172        1.000000
       117.000000       -0.013078        1.000000
       118.000000       -0.013074        1.000000
       119.000000       -0.012794        1.000000
       120.000000       -0.012382        1.000000
       121.000000       -0.012219        1.000000
       122.000000       -0.012189        1.000000
       123.000000       -0.012075        1.000000
       124.000000       -0.011943        1.000000
       125.000000       -0.011546        1.000000
       126.000000       -0.011545        1.000000
       127.000000       -0.011517        1.000000
       128.000000       -0.011509        1.000000
       129.000000       -0.011271        1.000000
       130.000000       -0.011094        1.000000
       131.000000       -0.011090        1.000000
       132.000000       -0.010724        1.000000
       133.000000       -0.010487        1.000000
       134.000000       -0.010320        1.000000
       135.000000       -0.010283        1.000000
       136.000000       -0.010138        1.000000
       137.000000       -0.009926        1.000000
       138.000000       -0.009842        1.000000
       139.000000       -0.009772        1.000000
       140.000000       -0.009734        1.000000
       141.000000       -0.009696        1.000000
       142.000000       -0.009416        1.000000
       143.000000       -0.009381        1.000000
       144.000000       -0.009270        1.000000
       145.000000       -0.009249        1.000000
       146.000000       -0.009196        1.000000
       147.000000       -0.009083        1.000000
       148.000000       -0.009080        1.000000
       149.000000       -0.008942        1.000000
       150.000000       -0.008926        1.000000
       151.000000       -0.008919        1.000000
       152.000000       -0.008909        1.000000
       153.000000       -0.008707        1.000000
       154.000000       -0.008659        1.000000
       155.000000       -0.008515        1.000000
       156.000000       -0.008512        1.000000
       157.000000       -0.008348        1.000000
       158.000000       -0.008279        1.000000
       159.000000       -0.008248        1.000000
       160.000000       -0.008141        1.000000
       161.000000       -0.008137        1.000000
       162.000000       -0.008043        1.000000
       163.000000       -0.007954        1.000000
       164.000000       -0.007847        1.000000
       165.000000       -0.007844        1.000000
       166.000000       -0.007812        1.000000
       167.000000       -0.007729        1.000000
       168.000000       -0.007621        1.000000
       169.000000       -0.007570        1.000000
       170.000000       -0.007555        1.000000
       171.000000       -0.007472        1.000000
       172.000000       -0.007444        1.000000
       173.000000       -0.007418        1.000000
       174.000000       -0.007235        1.000000
       175.000000       -0.007226        1.000000
       176.000000       -0.007123        1.000000
       177.000000       -0.007103        1.000000
       178.000000       -0.007057        1.000000
       179.000000       -0.007022        1.000000
