#            iprt         eigenv.           conv.
         1.000000       -3.316961        1.000000
         2.000000       -1.986315        1.000000
         3.000000       -1.093881        1.000000
         4.000000       -1.051138        1.000000
         5.000000       -0.931750        1.000000
         6.000000       -0.761112        1.000000
         7.000000       -0.702657        1.000000
         8.000000       -0.675267        1.000000
         9.000000       -0.613506        1.000000
        10.000000       -0.545380        1.000000
        11.000000       -0.480199        1.000000
        12.000000       -0.471147        1.000000
        13.000000       -0.439751        1.000000
        14.000000       -0.430989        1.000000
        15.000000       -0.376133        1.000000
        16.000000       -0.354089        1.000000
        17.000000       -0.348911        1.000000
        18.000000       -0.304108        1.000000
        19.000000       -0.301469        1.000000
        20.000000       -0.294136        1.000000
        21.000000       -0.281042        1.000000
        22.000000       -0.277114        1.000000
        23.000000       -0.251958        1.000000
        24.000000       -0.240945        1.000000
        25.000000       -0.216057        1.000000
        26.000000       -0.216053        1.000000
        27.000000       -0.205304        1.000000
        28.000000       -0.201424        1.000000
        29.000000       -0.198833        1.000000
        30.000000       -0.188041        1.000000
        31.000000       -0.172162        1.000000
        32.000000       -0.166003        1.000000
        33.000000       -0.159333        1.000000
        34.000000       -0.152459        1.000000
        35.000000       -0.151462        1.000000
        36.000000       -0.149953        1.000000
        37.000000       -0.148371        1.000000
        38.000000       -0.148017        1.000000
        39.000000       -0.145641        1.000000
        40.000000       -0.142227        1.000000
        41.000000       -0.138620        1.000000
        42.000000       -0.133669        1.000000
        43.000000       -0.128935        1.000000
        44.000000       -0.123338        1.000000
        45.000000       -0.112598        1.000000
        46.000000       -0.112026        1.000000
        47.000000       -0.101345        1.000000
        48.000000       -0.100463        1.000000
        49.000000       -0.094918        1.000000
        50.000000       -0.089212        1.000000
        51.000000       -0.088711        1.000000
        52.000000       -0.083339        1.000000
        53.000000       -0.077238        1.000000
        54.000000       -0.076620        1.000000
        55.000000       -0.074388        1.000000
        56.000000       -0.073721        1.000000
        57.000000       -0.072419        1.000000
        58.000000       -0.068575        1.000000
        59.000000       -0.065850        1.000000
        60.000000       -0.065614        1.000000
        61.000000       -0.063386        1.000000
        62.000000       -0.062710        1.000000
        63.000000       -0.060684        1.000000
        64.000000       -0.059191        1.000000
        65.000000       -0.058580        1.000000
        66.000000       -0.058090        1.000000
        67.000000       -0.056814        1.000000
        68.000000       -0.056038        1.000000
        69.000000       -0.055553        1.000000
        70.000000       -0.055037        1.000000
        71.000000       -0.054127        1.000000
        72.000000       -0.054097        1.000000
        73.000000       -0.053297        1.000000
        74.000000       -0.051621        1.000000
        75.000000       -0.050155        1.000000
        76.000000       -0.049678        1.000000
        77.000000       -0.048495        1.000000
        78.000000       -0.047077        1.000000
        79.000000       -0.046598        1.000000
        80.000000       -0.045877        1.000000
        81.000000       -0.045758        1.000000
        82.000000       -0.045289        1.000000
        83.000000       -0.044763        1.000000
        84.000000       -0.044407        1.000000
        85.000000       -0.043697        1.000000
        86.000000       -0.042874        1.000000
        87.000000       -0.042123        1.000000
        88.000000       -0.040611        1.000000
        89.000000       -0.038854        1.000000
        90.000000       -0.038239        1.000000
        91.000000       -0.038158        1.000000
        92.000000       -0.037034        1.000000
        93.000000       -0.036811        1.000000
