#            iprt         eigenv.           conv.
         1.000000       -3.316961        1.000000
         2.000000       -1.986315        0.000000
         3.000000       -1.093881        0.000000
         4.000000       -1.051138        0.000000
         5.000000       -0.931750        0.000000
         6.000000       -0.761112        1.000000
         7.000000       -0.702657        1.000000
         8.000000       -0.675267        0.000000
         9.000000       -0.613506        1.000000
        10.000000       -0.545380        0.000000
        11.000000       -0.480199        1.000000
        12.000000       -0.471147        0.000000
        13.000000       -0.439751        0.000000
        14.000000       -0.430989        0.000000
        15.000000       -0.376133        1.000000
        16.000000       -0.354089        1.000000
        17.000000       -0.348911        0.000000
        18.000000       -0.304108        1.000000
        19.000000       -0.301469        1.000000
        20.000000       -0.294136        0.000000
        21.000000       -0.281042        1.000000
        22.000000       -0.277114        0.000000
        23.000000       -0.251958        1.000000
        24.000000       -0.240945        1.000000
        25.000000       -0.216057        1.000000
        26.000000       -0.216053        0.000000
        27.000000       -0.205304        0.000000
        28.000000       -0.201424        1.000000
        29.000000       -0.198833        0.000000
        30.000000       -0.188041        0.000000
        31.000000       -0.172162        0.000000
        32.000000       -0.166003        1.000000
        33.000000       -0.159333        0.000000
        34.000000       -0.152459        0.000000
        35.000000       -0.151462        0.000000
        36.000000       -0.149953        1.000000
        37.000000       -0.148371        1.000000
        38.000000       -0.148017        0.000000
        39.000000       -0.145641        0.000000
        40.000000       -0.142227        0.000000
        41.000000       -0.138620        0.000000
        42.000000       -0.133669        0.000000
        43.000000       -0.128935        1.000000
        44.000000       -0.123337        1.000000
        45.000000       -0.112598        1.000000
        46.000000       -0.112026        0.000000
        47.000000       -0.101345        0.000000
        48.000000       -0.100463        1.000000
        49.000000       -0.094918        0.000000
        50.000000       -0.089212        1.000000
        51.000000       -0.088711        1.000000
        52.000000       -0.083339        1.000000
        53.000000       -0.077238        1.000000
        54.000000       -0.076619        1.000000
        55.000000       -0.074388        0.000000
        56.000000       -0.073721        1.000000
        57.000000       -0.072419        0.000000
        58.000000       -0.068575        1.000000
        59.000000       -0.065850        1.000000
        60.000000       -0.065614        1.000000
        61.000000       -0.063386        1.000000
        62.000000       -0.062710        1.000000
        63.000000       -0.060684        1.000000
        64.000000       -0.059191        1.000000
        65.000000       -0.058580        1.000000
        66.000000       -0.058090        1.000000
        67.000000       -0.056814        1.000000
        68.000000       -0.056038        1.000000
        69.000000       -0.055553        1.000000
        70.000000       -0.055037        1.000000
        71.000000       -0.054127        1.000000
        72.000000       -0.054097        1.000000
        73.000000       -0.053297        1.000000
        74.000000       -0.051621        1.000000
        75.000000       -0.050155        1.000000
        76.000000       -0.049678        1.000000
        77.000000       -0.048495        1.000000
        78.000000       -0.047077        1.000000
        79.000000       -0.046598        1.000000
        80.000000       -0.045877        1.000000
        81.000000       -0.045758        1.000000
        82.000000       -0.045289        1.000000
        83.000000       -0.044763        1.000000
        84.000000       -0.044407        1.000000
        85.000000       -0.043697        1.000000
        86.000000       -0.042874        1.000000
        87.000000       -0.042123        1.000000
        88.000000       -0.040611        1.000000
        89.000000       -0.038854        0.000000
        90.000000       -0.038239        1.000000
        91.000000       -0.038158        1.000000
        92.000000       -0.037033        0.000000
        93.000000       -0.036810        0.000000
        94.000000       -0.035623        0.000000
        95.000000       -0.035162        0.000000
        96.000000       -0.034255        0.000000
        97.000000       -0.033557        1.000000
        98.000000       -0.033349        1.000000
        99.000000       -0.033079        1.000000
       100.000000       -0.032282        1.000000
       101.000000       -0.031953        1.000000
       102.000000       -0.031556        1.000000
       103.000000       -0.031148        0.000000
       104.000000       -0.030617        1.000000
       105.000000       -0.029508        1.000000
       106.000000       -0.029288        1.000000
       107.000000       -0.029206        1.000000
       108.000000       -0.029029        1.000000
       109.000000       -0.028976        0.000000
       110.000000       -0.028773        1.000000
       111.000000       -0.028430        1.000000
       112.000000       -0.028001        1.000000
       113.000000       -0.027449        1.000000
       114.000000       -0.027445        1.000000
       115.000000       -0.026889        1.000000
       116.000000       -0.026527        1.000000
       117.000000       -0.026450        1.000000
       118.000000       -0.026183        1.000000
       119.000000       -0.025582        1.000000
       120.000000       -0.025396        1.000000
       121.000000       -0.024788        1.000000
       122.000000       -0.024622        1.000000
       123.000000       -0.024377        1.000000
       124.000000       -0.024054        1.000000
       125.000000       -0.023879        1.000000
       126.000000       -0.023631        1.000000
       127.000000       -0.023446        1.000000
       128.000000       -0.023356        0.000000
       129.000000       -0.023222        1.000000
       130.000000       -0.022775        1.000000
       131.000000       -0.022774        1.000000
       132.000000       -0.022576        1.000000
       133.000000       -0.022285        1.000000
       134.000000       -0.022172        1.000000
       135.000000       -0.021884        0.000000
       136.000000       -0.021798        0.000000
       137.000000       -0.021274        0.000000
       138.000000       -0.021250        0.000000
       139.000000       -0.020984        1.000000
       140.000000       -0.020907        1.000000
       141.000000       -0.020855        0.000000
       142.000000       -0.020380        0.000000
       143.000000       -0.020314        0.000000
       144.000000       -0.020260        0.000000
       145.000000       -0.019928        0.000000
       146.000000       -0.019745        0.000000
       147.000000       -0.019720        0.000000
       148.000000       -0.019650        0.000000
       149.000000       -0.019199        0.000000
       150.000000       -0.018764        0.000000
       151.000000       -0.018743        0.000000
       152.000000       -0.018688        0.000000
       153.000000       -0.018334        0.000000
       154.000000       -0.018091        0.000000
       155.000000       -0.017890        0.000000
       156.000000       -0.017879        0.000000
       157.000000       -0.017702        0.000000
       158.000000       -0.017543        0.000000
       159.000000       -0.017427        0.000000
       160.000000       -0.017306        0.000000
       161.000000       -0.017030        0.000000
       162.000000       -0.016983        0.000000
       163.000000       -0.016704        0.000000
       164.000000       -0.016483        0.000000
       165.000000       -0.016039        0.000000
       166.000000       -0.015768        0.000000
       167.000000       -0.015697        0.000000
       168.000000       -0.015455        1.000000
       169.000000       -0.015420        0.000000
       170.000000       -0.015407        0.000000
       171.000000       -0.015357        0.000000
       172.000000       -0.015285        0.000000
       173.000000       -0.015145        0.000000
       174.000000       -0.014939        0.000000
       175.000000       -0.014680        0.000000
       176.000000       -0.014669        0.000000
       177.000000       -0.014570        0.000000
       178.000000       -0.014414        0.000000
       179.000000       -0.014393        0.000000
       180.000000       -0.014392        0.000000
       181.000000       -0.014233        0.000000
       182.000000       -0.014048        0.000000
       183.000000       -0.013911        0.000000
       184.000000       -0.013818        0.000000
       185.000000       -0.013799        0.000000
       186.000000       -0.013640        0.000000
       187.000000       -0.013637        0.000000
       188.000000       -0.013456        0.000000
       189.000000       -0.013446        0.000000
       190.000000       -0.013326        0.000000
       191.000000       -0.013255        0.000000
       192.000000       -0.013104        0.000000
       193.000000       -0.013071        0.000000
       194.000000       -0.013008        0.000000
       195.000000       -0.012823        0.000000
       196.000000       -0.012817        0.000000
       197.000000       -0.012670        0.000000
       198.000000       -0.012619        0.000000
       199.000000       -0.012527        0.000000
       200.000000       -0.012456        0.000000
       201.000000       -0.012301        0.000000
       202.000000       -0.012239        0.000000
       203.000000       -0.012124        0.000000
       204.000000       -0.012089        0.000000
       205.000000       -0.011974        0.000000
       206.000000       -0.011873        0.000000
       207.000000       -0.011854        0.000000
       208.000000       -0.011692        0.000000
       209.000000       -0.011681        0.000000
       210.000000       -0.011571        0.000000
       211.000000       -0.011563        0.000000
       212.000000       -0.011473        0.000000
       213.000000       -0.011430        0.000000
       214.000000       -0.011293        0.000000
       215.000000       -0.011120        0.000000
       216.000000       -0.011088        0.000000
       217.000000       -0.011039        0.000000
       218.000000       -0.010928        0.000000
       219.000000       -0.010923        0.000000
       220.000000       -0.010916        0.000000
       221.000000       -0.010914        0.000000
       222.000000       -0.010783        0.000000
       223.000000       -0.010741        0.000000
       224.000000       -0.010636        0.000000
       225.000000       -0.010602        0.000000
       226.000000       -0.010503        0.000000
       227.000000       -0.010432        0.000000
       228.000000       -0.010347        0.000000
       229.000000       -0.010186        0.000000
       230.000000       -0.010120        0.000000
       231.000000       -0.010087        0.000000
       232.000000       -0.010009        0.000000
       233.000000       -0.009981        0.000000
       234.000000       -0.009950        0.000000
       235.000000       -0.009913        0.000000
       236.000000       -0.009834        0.000000
       237.000000       -0.009812        0.000000
       238.000000       -0.009695        0.000000
       239.000000       -0.009472        0.000000
       240.000000       -0.009460        0.000000
       241.000000       -0.009307        0.000000
       242.000000       -0.009263        0.000000
       243.000000       -0.009221        0.000000
       244.000000       -0.009192        0.000000
       245.000000       -0.009123        0.000000
       246.000000       -0.009089        0.000000
       247.000000       -0.008961        0.000000
       248.000000       -0.008960        0.000000
       249.000000       -0.008941        0.000000
       250.000000       -0.008936        0.000000
       251.000000       -0.008895        0.000000
       252.000000       -0.008868        0.000000
       253.000000       -0.008855        0.000000
       254.000000       -0.008783        0.000000
       255.000000       -0.008734        0.000000
       256.000000       -0.008691        0.000000
       257.000000       -0.008662        0.000000
       258.000000       -0.008617        0.000000
       259.000000       -0.008602        0.000000
       260.000000       -0.008499        0.000000
       261.000000       -0.008435        0.000000
       262.000000       -0.008367        0.000000
       263.000000       -0.008305        0.000000
       264.000000       -0.008213        0.000000
       265.000000       -0.008183        0.000000
       266.000000       -0.008143        0.000000
       267.000000       -0.008131        0.000000
       268.000000       -0.008110        0.000000
       269.000000       -0.008078        0.000000
       270.000000       -0.007982        0.000000
       271.000000       -0.007891        0.000000
       272.000000       -0.007846        0.000000
       273.000000       -0.007770        0.000000
       274.000000       -0.007730        0.000000
       275.000000       -0.007715        0.000000
       276.000000       -0.007675        0.000000
       277.000000       -0.007659        0.000000
       278.000000       -0.007640        0.000000
       279.000000       -0.007580        0.000000
       280.000000       -0.007533        0.000000
       281.000000       -0.007522        0.000000
       282.000000       -0.007474        0.000000
       283.000000       -0.007441        0.000000
       284.000000       -0.007412        0.000000
       285.000000       -0.007383        0.000000
       286.000000       -0.007330        0.000000
       287.000000       -0.007272        0.000000
       288.000000       -0.007246        0.000000
       289.000000       -0.007224        0.000000
       290.000000       -0.007165        0.000000
       291.000000       -0.007154        0.000000
       292.000000       -0.007086        0.000000
       293.000000       -0.007052        0.000000
       294.000000       -0.007024        0.000000
       295.000000       -0.006981        0.000000
       296.000000       -0.006939        0.000000
       297.000000       -0.006935        0.000000
       298.000000       -0.006912        0.000000
       299.000000       -0.006878        0.000000
       300.000000       -0.006804        0.000000
       301.000000       -0.006763        0.000000
       302.000000       -0.006756        0.000000
       303.000000       -0.006679        0.000000
       304.000000       -0.006659        0.000000
       305.000000       -0.006645        0.000000
       306.000000       -0.006616        0.000000
       307.000000       -0.006580        0.000000
       308.000000       -0.006551        0.000000
       309.000000       -0.006540        0.000000
       310.000000       -0.006503        0.000000
       311.000000       -0.006440        0.000000
       312.000000       -0.006422        0.000000
       313.000000       -0.006408        0.000000
       314.000000       -0.006375        0.000000
       315.000000       -0.006273        0.000000
       316.000000       -0.006254        0.000000
       317.000000       -0.006239        0.000000
       318.000000       -0.006183        0.000000
       319.000000       -0.006176        0.000000
       320.000000       -0.006158        0.000000
       321.000000       -0.006146        0.000000
       322.000000       -0.006109        0.000000
       323.000000       -0.006076        0.000000
       324.000000       -0.006066        0.000000
       325.000000       -0.006042        0.000000
       326.000000       -0.006018        0.000000
       327.000000       -0.006007        0.000000
