#            iprt         eigenv.           conv.
         1.000000       -4.095900        1.000000
         2.000000       -1.314428        1.000000
         3.000000       -1.162171        1.000000
         4.000000       -1.162152        1.000000
         5.000000       -0.770608        1.000000
         6.000000       -0.770598        1.000000
         7.000000       -0.647822        1.000000
         8.000000       -0.586830        1.000000
         9.000000       -0.519063        1.000000
        10.000000       -0.519055        1.000000
        11.000000       -0.423000        1.000000
        12.000000       -0.365088        1.000000
        13.000000       -0.365086        1.000000
        14.000000       -0.341514        1.000000
        15.000000       -0.331013        1.000000
        16.000000       -0.331010        1.000000
        17.000000       -0.305966        1.000000
        18.000000       -0.276265        1.000000
        19.000000       -0.276260        1.000000
        20.000000       -0.230272        1.000000
        21.000000       -0.230266        1.000000
        22.000000       -0.218462        1.000000
        23.000000       -0.188856        1.000000
        24.000000       -0.182333        1.000000
        25.000000       -0.182330        1.000000
        26.000000       -0.164382        1.000000
        27.000000       -0.164378        1.000000
        28.000000       -0.149394        1.000000
        29.000000       -0.149391        1.000000
        30.000000       -0.148672        1.000000
        31.000000       -0.148654        1.000000
        32.000000       -0.136060        1.000000
        33.000000       -0.127730        1.000000
        34.000000       -0.127709        1.000000
        35.000000       -0.114514        1.000000
        36.000000       -0.111200        1.000000
        37.000000       -0.111199        1.000000
        38.000000       -0.110271        1.000000
        39.000000       -0.099565        1.000000
        40.000000       -0.099560        1.000000
        41.000000       -0.090035        1.000000
        42.000000       -0.090034        1.000000
        43.000000       -0.086615        1.000000
        44.000000       -0.086615        1.000000
        45.000000       -0.079197        1.000000
        46.000000       -0.073636        1.000000
        47.000000       -0.066167        1.000000
        48.000000       -0.066166        1.000000
        49.000000       -0.064901        1.000000
        50.000000       -0.064900        1.000000
        51.000000       -0.063391        1.000000
        52.000000       -0.063391        1.000000
        53.000000       -0.062868        1.000000
        54.000000       -0.055817        1.000000
        55.000000       -0.055815        1.000000
        56.000000       -0.054278        1.000000
        57.000000       -0.053518        1.000000
        58.000000       -0.053517        1.000000
        59.000000       -0.052743        1.000000
        60.000000       -0.052742        1.000000
        61.000000       -0.051560        1.000000
        62.000000       -0.051559        1.000000
        63.000000       -0.045294        1.000000
        64.000000       -0.044329        1.000000
        65.000000       -0.044328        1.000000
        66.000000       -0.043803        1.000000
        67.000000       -0.043802        1.000000
        68.000000       -0.043478        1.000000
        69.000000       -0.041552        1.000000
        70.000000       -0.041548        1.000000
        71.000000       -0.039553        1.000000
        72.000000       -0.039220        1.000000
        73.000000       -0.039219        1.000000
        74.000000       -0.036578        1.000000
        75.000000       -0.036577        1.000000
        76.000000       -0.036356        1.000000
        77.000000       -0.036356        1.000000
        78.000000       -0.036289        1.000000
        79.000000       -0.036281        1.000000
        80.000000       -0.035922        1.000000
        81.000000       -0.035922        1.000000
        82.000000       -0.033987        1.000000
        83.000000       -0.033560        1.000000
        84.000000       -0.033556        1.000000
        85.000000       -0.031658        1.000000
        86.000000       -0.030649        1.000000
        87.000000       -0.030649        1.000000
        88.000000       -0.029770        1.000000
        89.000000       -0.029061        1.000000
        90.000000       -0.029057        1.000000
        91.000000       -0.028496        1.000000
        92.000000       -0.028496        1.000000
        93.000000       -0.027376        1.000000
        94.000000       -0.027376        1.000000
        95.000000       -0.026768        1.000000
        96.000000       -0.026031        1.000000
        97.000000       -0.026030        1.000000
        98.000000       -0.024967        1.000000
        99.000000       -0.024967        1.000000
       100.000000       -0.024348        1.000000
       101.000000       -0.024347        1.000000
       102.000000       -0.023758        1.000000
       103.000000       -0.023758        1.000000
       104.000000       -0.023062        1.000000
       105.000000       -0.023061        1.000000
       106.000000       -0.022729        1.000000
       107.000000       -0.021957        1.000000
       108.000000       -0.021957        1.000000
       109.000000       -0.021343        1.000000
       110.000000       -0.021343        1.000000
       111.000000       -0.021290        1.000000
       112.000000       -0.021207        1.000000
       113.000000       -0.021207        1.000000
       114.000000       -0.020799        1.000000
       115.000000       -0.020670        1.000000
       116.000000       -0.020670        1.000000
       117.000000       -0.020126        1.000000
       118.000000       -0.020126        1.000000
       119.000000       -0.020041        1.000000
       120.000000       -0.020040        1.000000
       121.000000       -0.019653        1.000000
       122.000000       -0.019653        1.000000
       123.000000       -0.018630        1.000000
       124.000000       -0.018015        1.000000
       125.000000       -0.018015        1.000000
