#            iprt         eigenv.           conv.
         1.000000       -4.303215        1.000000
         2.000000       -1.316741        1.000000
         3.000000       -1.174611        1.000000
         4.000000       -1.174604        1.000000
         5.000000       -0.780112        1.000000
         6.000000       -0.780107        1.000000
         7.000000       -0.652793        1.000000
         8.000000       -0.593427        1.000000
         9.000000       -0.537100        1.000000
        10.000000       -0.537094        1.000000
        11.000000       -0.425832        1.000000
        12.000000       -0.370713        1.000000
        13.000000       -0.370711        1.000000
        14.000000       -0.349228        1.000000
        15.000000       -0.335704        1.000000
        16.000000       -0.335700        1.000000
        17.000000       -0.307987        1.000000
        18.000000       -0.275541        1.000000
        19.000000       -0.275537        1.000000
        20.000000       -0.229711        1.000000
        21.000000       -0.229701        1.000000
        22.000000       -0.222680        1.000000
        23.000000       -0.189524        1.000000
        24.000000       -0.182525        1.000000
        25.000000       -0.182525        1.000000
        26.000000       -0.166499        1.000000
        27.000000       -0.166498        1.000000
        28.000000       -0.148774        1.000000
        29.000000       -0.148772        1.000000
        30.000000       -0.148472        1.000000
        31.000000       -0.148455        1.000000
        32.000000       -0.137316        1.000000
        33.000000       -0.128715        1.000000
        34.000000       -0.128689        1.000000
        35.000000       -0.115687        1.000000
        36.000000       -0.111620        1.000000
        37.000000       -0.111618        1.000000
        38.000000       -0.111374        1.000000
        39.000000       -0.100151        1.000000
        40.000000       -0.100146        1.000000
        41.000000       -0.090759        1.000000
        42.000000       -0.090758        1.000000
        43.000000       -0.087813        1.000000
        44.000000       -0.087813        1.000000
        45.000000       -0.079884        1.000000
        46.000000       -0.074627        1.000000
        47.000000       -0.066426        1.000000
        48.000000       -0.066425        1.000000
        49.000000       -0.065637        1.000000
        50.000000       -0.065635        1.000000
        51.000000       -0.063802        1.000000
        52.000000       -0.063801        1.000000
        53.000000       -0.063500        1.000000
        54.000000       -0.056133        1.000000
        55.000000       -0.056132        1.000000
        56.000000       -0.054499        1.000000
        57.000000       -0.053606        1.000000
        58.000000       -0.053606        1.000000
        59.000000       -0.052506        1.000000
        60.000000       -0.052506        1.000000
        61.000000       -0.052076        1.000000
        62.000000       -0.052076        1.000000
        63.000000       -0.045726        1.000000
        64.000000       -0.044377        1.000000
        65.000000       -0.044376        1.000000
        66.000000       -0.043779        1.000000
        67.000000       -0.043779        1.000000
        68.000000       -0.043579        1.000000
        69.000000       -0.041571        1.000000
        70.000000       -0.041567        1.000000
        71.000000       -0.040025        1.000000
        72.000000       -0.039581        1.000000
        73.000000       -0.039581        1.000000
        74.000000       -0.036745        1.000000
        75.000000       -0.036745        1.000000
        76.000000       -0.036555        1.000000
        77.000000       -0.036555        1.000000
        78.000000       -0.036492        1.000000
