#            iprt         eigenv.           conv.
         1.000000       -4.303215        0.000000
         2.000000       -1.316741        0.000000
         3.000000       -1.174611        1.000000
         4.000000       -1.174604        1.000000
         5.000000       -0.780112        1.000000
         6.000000       -0.780107        1.000000
         7.000000       -0.652793        0.000000
         8.000000       -0.593427        0.000000
         9.000000       -0.537100        0.000000
        10.000000       -0.537094        0.000000
        11.000000       -0.425832        0.000000
        12.000000       -0.370713        1.000000
        13.000000       -0.370711        1.000000
        14.000000       -0.349228        0.000000
        15.000000       -0.335704        1.000000
        16.000000       -0.335700        1.000000
        17.000000       -0.307987        0.000000
        18.000000       -0.275541        1.000000
        19.000000       -0.275537        1.000000
        20.000000       -0.229711        1.000000
        21.000000       -0.229701        1.000000
        22.000000       -0.222680        0.000000
        23.000000       -0.189524        0.000000
        24.000000       -0.182525        1.000000
        25.000000       -0.182525        1.000000
        26.000000       -0.166499        1.000000
        27.000000       -0.166498        1.000000
        28.000000       -0.148774        1.000000
        29.000000       -0.148772        1.000000
        30.000000       -0.148472        1.000000
        31.000000       -0.148455        1.000000
        32.000000       -0.137316        0.000000
        33.000000       -0.128715        1.000000
        34.000000       -0.128689        0.000000
        35.000000       -0.115687        0.000000
        36.000000       -0.111620        1.000000
        37.000000       -0.111618        1.000000
        38.000000       -0.111374        0.000000
        39.000000       -0.100151        1.000000
        40.000000       -0.100146        1.000000
        41.000000       -0.090759        1.000000
        42.000000       -0.090758        1.000000
        43.000000       -0.087813        1.000000
        44.000000       -0.087813        1.000000
        45.000000       -0.079884        0.000000
        46.000000       -0.074627        1.000000
        47.000000       -0.066426        1.000000
        48.000000       -0.066425        1.000000
        49.000000       -0.065636        1.000000
        50.000000       -0.065635        1.000000
        51.000000       -0.063802        1.000000
        52.000000       -0.063801        1.000000
        53.000000       -0.063500        1.000000
        54.000000       -0.056133        1.000000
        55.000000       -0.056132        1.000000
        56.000000       -0.054499        1.000000
        57.000000       -0.053606        1.000000
        58.000000       -0.053606        0.000000
        59.000000       -0.052506        1.000000
        60.000000       -0.052506        1.000000
        61.000000       -0.052076        1.000000
        62.000000       -0.052076        1.000000
        63.000000       -0.045726        1.000000
        64.000000       -0.044377        1.000000
        65.000000       -0.044376        1.000000
        66.000000       -0.043779        1.000000
        67.000000       -0.043779        1.000000
        68.000000       -0.043578        1.000000
        69.000000       -0.041571        1.000000
        70.000000       -0.041567        1.000000
        71.000000       -0.040025        1.000000
        72.000000       -0.039581        1.000000
        73.000000       -0.039581        1.000000
        74.000000       -0.036745        1.000000
        75.000000       -0.036745        1.000000
        76.000000       -0.036555        1.000000
        77.000000       -0.036555        1.000000
        78.000000       -0.036491        1.000000
        79.000000       -0.036484        1.000000
        80.000000       -0.036409        1.000000
        81.000000       -0.036409        1.000000
        82.000000       -0.034348        1.000000
        83.000000       -0.033846        1.000000
        84.000000       -0.033842        1.000000
        85.000000       -0.031848        1.000000
        86.000000       -0.030904        1.000000
        87.000000       -0.030904        1.000000
        88.000000       -0.030027        0.000000
        89.000000       -0.029142        1.000000
        90.000000       -0.029138        1.000000
        91.000000       -0.028731        1.000000
        92.000000       -0.028731        1.000000
        93.000000       -0.027366        1.000000
        94.000000       -0.027365        1.000000
        95.000000       -0.026823        0.000000
        96.000000       -0.026278        1.000000
        97.000000       -0.026277        0.000000
        98.000000       -0.025083        1.000000
        99.000000       -0.025083        1.000000
       100.000000       -0.024390        1.000000
       101.000000       -0.024390        1.000000
       102.000000       -0.023642        1.000000
       103.000000       -0.023642        1.000000
       104.000000       -0.023281        1.000000
       105.000000       -0.023281        1.000000
       106.000000       -0.022997        1.000000
       107.000000       -0.022181        1.000000
       108.000000       -0.022180        1.000000
       109.000000       -0.021539        1.000000
       110.000000       -0.021505        1.000000
       111.000000       -0.021505        1.000000
       112.000000       -0.021197        1.000000
       113.000000       -0.021197        1.000000
       114.000000       -0.020915        1.000000
       115.000000       -0.020754        1.000000
       116.000000       -0.020754        0.000000
       117.000000       -0.020140        1.000000
       118.000000       -0.020139        1.000000
       119.000000       -0.020118        1.000000
       120.000000       -0.020118        1.000000
       121.000000       -0.019808        1.000000
       122.000000       -0.019808        1.000000
       123.000000       -0.018684        0.000000
       124.000000       -0.018077        1.000000
       125.000000       -0.018077        1.000000
       126.000000       -0.017947        1.000000
       127.000000       -0.017945        1.000000
       128.000000       -0.017802        1.000000
       129.000000       -0.017802        1.000000
       130.000000       -0.017730        1.000000
       131.000000       -0.017730        1.000000
       132.000000       -0.017686        1.000000
       133.000000       -0.017634        1.000000
       134.000000       -0.017634        0.000000
       135.000000       -0.017309        1.000000
       136.000000       -0.017309        1.000000
       137.000000       -0.016634        0.000000
       138.000000       -0.016369        1.000000
       139.000000       -0.016368        0.000000
       140.000000       -0.016327        0.000000
       141.000000       -0.016323        0.000000
       142.000000       -0.015480        0.000000
       143.000000       -0.014914        1.000000
       144.000000       -0.014914        1.000000
       145.000000       -0.014834        1.000000
       146.000000       -0.014833        1.000000
       147.000000       -0.014679        1.000000
       148.000000       -0.014678        1.000000
       149.000000       -0.014627        1.000000
       150.000000       -0.014624        0.000000
       151.000000       -0.014475        1.000000
       152.000000       -0.013819        1.000000
       153.000000       -0.013818        0.000000
       154.000000       -0.013558        1.000000
       155.000000       -0.013556        0.000000
       156.000000       -0.013555        0.000000
       157.000000       -0.013191        1.000000
       158.000000       -0.013191        1.000000
       159.000000       -0.012994        1.000000
       160.000000       -0.012993        1.000000
       161.000000       -0.012945        1.000000
       162.000000       -0.012944        1.000000
       163.000000       -0.012716        1.000000
       164.000000       -0.012716        1.000000
       165.000000       -0.012446        1.000000
       166.000000       -0.012445        1.000000
       167.000000       -0.012237        1.000000
       168.000000       -0.012236        1.000000
       169.000000       -0.012168        0.000000
       170.000000       -0.011760        1.000000
       171.000000       -0.011759        1.000000
       172.000000       -0.011740        1.000000
       173.000000       -0.011739        0.000000
       174.000000       -0.011690        0.000000
       175.000000       -0.011687        0.000000
       176.000000       -0.011646        0.000000
       177.000000       -0.011495        0.000000
       178.000000       -0.011335        0.000000
       179.000000       -0.011334        0.000000
       180.000000       -0.011211        0.000000
       181.000000       -0.011210        0.000000
       182.000000       -0.010934        1.000000
       183.000000       -0.010931        1.000000
       184.000000       -0.010911        0.000000
       185.000000       -0.010908        0.000000
       186.000000       -0.010900        0.000000
       187.000000       -0.010899        0.000000
       188.000000       -0.010772        0.000000
       189.000000       -0.010769        0.000000
       190.000000       -0.010634        0.000000
       191.000000       -0.010265        0.000000
       192.000000       -0.009909        1.000000
       193.000000       -0.009907        1.000000
       194.000000       -0.009862        1.000000
       195.000000       -0.009860        1.000000
       196.000000       -0.009852        0.000000
       197.000000       -0.009848        0.000000
       198.000000       -0.009743        0.000000
       199.000000       -0.009742        0.000000
       200.000000       -0.009696        0.000000
       201.000000       -0.009695        0.000000
       202.000000       -0.009643        0.000000
       203.000000       -0.009642        0.000000
       204.000000       -0.009555        0.000000
       205.000000       -0.009554        0.000000
       206.000000       -0.009247        0.000000
       207.000000       -0.009067        0.000000
       208.000000       -0.009065        0.000000
       209.000000       -0.009040        0.000000
       210.000000       -0.009040        0.000000
       211.000000       -0.009023        0.000000
       212.000000       -0.009022        0.000000
       213.000000       -0.008974        0.000000
       214.000000       -0.008827        0.000000
       215.000000       -0.008825        0.000000
       216.000000       -0.008721        0.000000
       217.000000       -0.008716        0.000000
       218.000000       -0.008634        0.000000
       219.000000       -0.008454        0.000000
       220.000000       -0.008452        0.000000
       221.000000       -0.008380        0.000000
       222.000000       -0.008375        0.000000
       223.000000       -0.008306        0.000000
       224.000000       -0.008304        0.000000
       225.000000       -0.008302        0.000000
       226.000000       -0.008299        0.000000
       227.000000       -0.008148        0.000000
       228.000000       -0.008147        0.000000
       229.000000       -0.008109        0.000000
       230.000000       -0.007877        0.000000
       231.000000       -0.007872        0.000000
       232.000000       -0.007565        0.000000
       233.000000       -0.007558        0.000000
       234.000000       -0.007518        0.000000
       235.000000       -0.007512        0.000000
       236.000000       -0.007473        0.000000
       237.000000       -0.007462        0.000000
       238.000000       -0.007460        0.000000
       239.000000       -0.007455        0.000000
       240.000000       -0.007449        0.000000
       241.000000       -0.007391        0.000000
       242.000000       -0.007389        0.000000
       243.000000       -0.007266        0.000000
       244.000000       -0.007262        0.000000
       245.000000       -0.007240        0.000000
       246.000000       -0.007230        0.000000
       247.000000       -0.007198        0.000000
       248.000000       -0.007194        0.000000
       249.000000       -0.007069        0.000000
       250.000000       -0.006979        0.000000
       251.000000       -0.006976        0.000000
       252.000000       -0.006957        0.000000
       253.000000       -0.006956        0.000000
       254.000000       -0.006951        0.000000
       255.000000       -0.006948        0.000000
       256.000000       -0.006944        0.000000
       257.000000       -0.006795        0.000000
       258.000000       -0.006778        0.000000
       259.000000       -0.006775        0.000000
       260.000000       -0.006744        0.000000
       261.000000       -0.006735        0.000000
