#            iprt         eigenv.           conv.
         1.000000       -1.740156        1.000000
         2.000000       -1.345655        1.000000
         3.000000       -1.345648        1.000000
         4.000000       -1.313925        1.000000
         5.000000       -0.623341        1.000000
         6.000000       -0.498814        1.000000
         7.000000       -0.498810        1.000000
         8.000000       -0.437498        1.000000
         9.000000       -0.412526        1.000000
        10.000000       -0.412525        1.000000
        11.000000       -0.402740        1.000000
        12.000000       -0.402734        1.000000
        13.000000       -0.338631        1.000000
        14.000000       -0.316672        1.000000
        15.000000       -0.316670        1.000000
        16.000000       -0.306941        1.000000
        17.000000       -0.306940        1.000000
        18.000000       -0.287814        1.000000
        19.000000       -0.287812        1.000000
        20.000000       -0.209361        1.000000
        21.000000       -0.191038        1.000000
        22.000000       -0.174989        1.000000
        23.000000       -0.174988        1.000000
        24.000000       -0.167323        1.000000
        25.000000       -0.167256        1.000000
        26.000000       -0.125968        1.000000
        27.000000       -0.116384        1.000000
        28.000000       -0.116383        1.000000
        29.000000       -0.108545        1.000000
        30.000000       -0.098717        1.000000
        31.000000       -0.098716        1.000000
        32.000000       -0.094356        1.000000
        33.000000       -0.094356        1.000000
        34.000000       -0.091956        1.000000
        35.000000       -0.091956        1.000000
        36.000000       -0.087950        1.000000
        37.000000       -0.087949        1.000000
        38.000000       -0.080421        1.000000
        39.000000       -0.078871        1.000000
        40.000000       -0.078870        1.000000
        41.000000       -0.076108        1.000000
        42.000000       -0.076107        1.000000
        43.000000       -0.073846        1.000000
        44.000000       -0.073845        1.000000
        45.000000       -0.068456        1.000000
        46.000000       -0.058475        1.000000
        47.000000       -0.055061        1.000000
        48.000000       -0.052972        1.000000
        49.000000       -0.052972        1.000000
        50.000000       -0.051139        1.000000
        51.000000       -0.051139        1.000000
        52.000000       -0.049027        1.000000
        53.000000       -0.048998        1.000000
        54.000000       -0.047552        1.000000
        55.000000       -0.047551        1.000000
        56.000000       -0.042770        1.000000
        57.000000       -0.042769        1.000000
        58.000000       -0.042647        1.000000
        59.000000       -0.042369        1.000000
        60.000000       -0.042369        1.000000
        61.000000       -0.041411        1.000000
        62.000000       -0.041410        1.000000
        63.000000       -0.039289        1.000000
        64.000000       -0.039183        1.000000
        65.000000       -0.039183        1.000000
        66.000000       -0.036021        1.000000
        67.000000       -0.036021        1.000000
        68.000000       -0.035091        1.000000
        69.000000       -0.035091        1.000000
        70.000000       -0.034181        1.000000
        71.000000       -0.034181        1.000000
        72.000000       -0.033102        1.000000
        73.000000       -0.033102        1.000000
        74.000000       -0.031804        1.000000
        75.000000       -0.030206        1.000000
        76.000000       -0.030205        1.000000
        77.000000       -0.028970        1.000000
        78.000000       -0.028767        1.000000
        79.000000       -0.028766        1.000000
        80.000000       -0.028041        1.000000
        81.000000       -0.028040        1.000000
        82.000000       -0.027810        1.000000
        83.000000       -0.027810        1.000000
        84.000000       -0.027478        1.000000
        85.000000       -0.025938        1.000000
        86.000000       -0.025938        1.000000
        87.000000       -0.024497        1.000000
        88.000000       -0.023556        1.000000
        89.000000       -0.023555        1.000000
        90.000000       -0.022504        1.000000
        91.000000       -0.022174        1.000000
        92.000000       -0.022174        1.000000
        93.000000       -0.022028        1.000000
        94.000000       -0.022028        1.000000
        95.000000       -0.021835        1.000000
        96.000000       -0.021835        1.000000
        97.000000       -0.021715        1.000000
        98.000000       -0.021715        1.000000
        99.000000       -0.021449        1.000000
       100.000000       -0.021449        1.000000
       101.000000       -0.020543        1.000000
       102.000000       -0.020536        1.000000
       103.000000       -0.020403        1.000000
       104.000000       -0.020392        1.000000
       105.000000       -0.019017        1.000000
       106.000000       -0.019011        1.000000
       107.000000       -0.019011        1.000000
       108.000000       -0.019011        1.000000
       109.000000       -0.019011        1.000000
       110.000000       -0.018547        1.000000
       111.000000       -0.018547        1.000000
       112.000000       -0.017588        1.000000
       113.000000       -0.017588        1.000000
       114.000000       -0.017577        1.000000
       115.000000       -0.016362        1.000000
       116.000000       -0.016362        1.000000
       117.000000       -0.016333        1.000000
       118.000000       -0.016135        1.000000
       119.000000       -0.016135        1.000000
       120.000000       -0.015925        1.000000
       121.000000       -0.015925        1.000000
       122.000000       -0.015724        1.000000
       123.000000       -0.015724        1.000000
       124.000000       -0.015515        1.000000
       125.000000       -0.015515        1.000000
       126.000000       -0.015320        1.000000
       127.000000       -0.015320        1.000000
       128.000000       -0.014194        1.000000
       129.000000       -0.014194        1.000000
       130.000000       -0.014184        1.000000
       131.000000       -0.013981        1.000000
       132.000000       -0.013981        1.000000
       133.000000       -0.013530        1.000000
       134.000000       -0.013186        1.000000
       135.000000       -0.013186        1.000000
       136.000000       -0.013143        1.000000
       137.000000       -0.013143        1.000000
       138.000000       -0.013014        1.000000
       139.000000       -0.013014        1.000000
       140.000000       -0.012888        1.000000
       141.000000       -0.012885        1.000000
       142.000000       -0.012885        1.000000
       143.000000       -0.012789        1.000000
       144.000000       -0.012789        1.000000
       145.000000       -0.012608        1.000000
       146.000000       -0.012608        1.000000
       147.000000       -0.012545        1.000000
       148.000000       -0.012545        1.000000
       149.000000       -0.012458        1.000000
       150.000000       -0.012457        1.000000
       151.000000       -0.011907        1.000000
       152.000000       -0.011685        1.000000
       153.000000       -0.011685        1.000000
       154.000000       -0.011246        1.000000
       155.000000       -0.011246        1.000000
       156.000000       -0.011187        1.000000
       157.000000       -0.011103        1.000000
       158.000000       -0.011103        1.000000
       159.000000       -0.010992        1.000000
       160.000000       -0.010992        1.000000
       161.000000       -0.010975        1.000000
       162.000000       -0.010975        1.000000
       163.000000       -0.010512        1.000000
       164.000000       -0.010512        1.000000
       165.000000       -0.010397        1.000000
       166.000000       -0.010396        1.000000
       167.000000       -0.010153        1.000000
       168.000000       -0.010001        1.000000
       169.000000       -0.010001        1.000000
       170.000000       -0.010001        1.000000
       171.000000       -0.009991        1.000000
       172.000000       -0.009687        1.000000
       173.000000       -0.009687        1.000000
       174.000000       -0.009664        1.000000
       175.000000       -0.009664        1.000000
       176.000000       -0.009625        1.000000
       177.000000       -0.009625        1.000000
       178.000000       -0.009578        1.000000
       179.000000       -0.009443        1.000000
       180.000000       -0.009443        1.000000
       181.000000       -0.009055        1.000000
       182.000000       -0.009055        1.000000
       183.000000       -0.008935        1.000000
       184.000000       -0.008898        1.000000
       185.000000       -0.008898        1.000000
       186.000000       -0.008438        1.000000
       187.000000       -0.008438        1.000000
       188.000000       -0.008402        1.000000
       189.000000       -0.008402        1.000000
       190.000000       -0.008308        1.000000
       191.000000       -0.008308        1.000000
       192.000000       -0.008300        1.000000
       193.000000       -0.008198        1.000000
       194.000000       -0.008198        1.000000
       195.000000       -0.008114        1.000000
       196.000000       -0.008114        1.000000
       197.000000       -0.008004        1.000000
       198.000000       -0.008004        1.000000
       199.000000       -0.007989        1.000000
       200.000000       -0.007989        1.000000
       201.000000       -0.007971        1.000000
       202.000000       -0.007971        1.000000
       203.000000       -0.007909        1.000000
       204.000000       -0.007909        1.000000
       205.000000       -0.007769        1.000000
       206.000000       -0.007769        1.000000
       207.000000       -0.007767        1.000000
       208.000000       -0.007767        1.000000
       209.000000       -0.007602        1.000000
       210.000000       -0.007602        1.000000
       211.000000       -0.007446        1.000000
       212.000000       -0.007378        1.000000
       213.000000       -0.007378        1.000000
       214.000000       -0.007279        1.000000
       215.000000       -0.007186        1.000000
       216.000000       -0.007186        1.000000
       217.000000       -0.007081        1.000000
       218.000000       -0.007081        1.000000
       219.000000       -0.007058        1.000000
       220.000000       -0.007058        1.000000
       221.000000       -0.006949        1.000000
       222.000000       -0.006949        1.000000
       223.000000       -0.006941        1.000000
       224.000000       -0.006934        1.000000
       225.000000       -0.006934        1.000000
       226.000000       -0.006855        1.000000
       227.000000       -0.006855        1.000000
       228.000000       -0.006839        1.000000
       229.000000       -0.006839        1.000000
       230.000000       -0.006720        1.000000
       231.000000       -0.006720        1.000000
       232.000000       -0.006612        1.000000
       233.000000       -0.006536        1.000000
       234.000000       -0.006536        1.000000
       235.000000       -0.006442        1.000000
       236.000000       -0.006442        1.000000
       237.000000       -0.006345        1.000000
       238.000000       -0.006345        1.000000
       239.000000       -0.006336        1.000000
       240.000000       -0.006230        1.000000
       241.000000       -0.006230        1.000000
       242.000000       -0.006134        1.000000
       243.000000       -0.006134        1.000000
       244.000000       -0.006083        1.000000
       245.000000       -0.006083        1.000000
       246.000000       -0.006039        1.000000
       247.000000       -0.006039        1.000000
       248.000000       -0.006024        1.000000
       249.000000       -0.006012        1.000000
       250.000000       -0.006012        1.000000
       251.000000       -0.005750        1.000000
       252.000000       -0.005750        1.000000
       253.000000       -0.005748        1.000000
       254.000000       -0.005748        1.000000
       255.000000       -0.005680        1.000000
       256.000000       -0.005680        1.000000
       257.000000       -0.005563        1.000000
       258.000000       -0.005498        1.000000
       259.000000       -0.005498        1.000000
       260.000000       -0.005426        1.000000
       261.000000       -0.005420        1.000000
       262.000000       -0.005392        1.000000
       263.000000       -0.005392        1.000000
       264.000000       -0.005371        1.000000
       265.000000       -0.005371        1.000000
       266.000000       -0.005371        1.000000
       267.000000       -0.005370        1.000000
       268.000000       -0.005347        1.000000
       269.000000       -0.005347        1.000000
       270.000000       -0.005343        1.000000
       271.000000       -0.005251        1.000000
       272.000000       -0.005251        1.000000
       273.000000       -0.005156        1.000000
       274.000000       -0.005156        1.000000
       275.000000       -0.005144        1.000000
       276.000000       -0.005144        1.000000
       277.000000       -0.005136        1.000000
       278.000000       -0.005136        1.000000
       279.000000       -0.005071        1.000000
       280.000000       -0.005071        1.000000
       281.000000       -0.005068        1.000000
       282.000000       -0.005055        1.000000
       283.000000       -0.005055        1.000000
       284.000000       -0.004977        1.000000
       285.000000       -0.004976        1.000000
       286.000000       -0.004887        1.000000
       287.000000       -0.004887        1.000000
       288.000000       -0.004769        1.000000
       289.000000       -0.004769        1.000000
       290.000000       -0.004747        1.000000
       291.000000       -0.004745        1.000000
       292.000000       -0.004745        1.000000
       293.000000       -0.004672        1.000000
       294.000000       -0.004672        1.000000
       295.000000       -0.004671        1.000000
       296.000000       -0.004671        1.000000
       297.000000       -0.004628        1.000000
       298.000000       -0.004628        1.000000
       299.000000       -0.004590        1.000000
       300.000000       -0.004590        1.000000
       301.000000       -0.004582        1.000000
       302.000000       -0.004582        1.000000
       303.000000       -0.004572        1.000000
       304.000000       -0.004571        1.000000
       305.000000       -0.004487        1.000000
       306.000000       -0.004487        1.000000
       307.000000       -0.004486        1.000000
       308.000000       -0.004486        1.000000
       309.000000       -0.004486        1.000000
       310.000000       -0.004443        1.000000
       311.000000       -0.004443        1.000000
       312.000000       -0.004433        1.000000
       313.000000       -0.004433        1.000000
       314.000000       -0.004340        1.000000
       315.000000       -0.004339        1.000000
       316.000000       -0.004270        1.000000
       317.000000       -0.004260        1.000000
       318.000000       -0.004260        1.000000
       319.000000       -0.004213        1.000000
       320.000000       -0.004212        1.000000
       321.000000       -0.004204        1.000000
       322.000000       -0.004170        1.000000
       323.000000       -0.004169        1.000000
       324.000000       -0.004164        1.000000
       325.000000       -0.004163        1.000000
       326.000000       -0.004078        1.000000
       327.000000       -0.004077        1.000000
       328.000000       -0.004073        1.000000
       329.000000       -0.004073        1.000000
       330.000000       -0.004069        1.000000
       331.000000       -0.004069        1.000000
       332.000000       -0.003991        1.000000
       333.000000       -0.003990        1.000000
       334.000000       -0.003973        1.000000
       335.000000       -0.003957        1.000000
       336.000000       -0.003957        1.000000
       337.000000       -0.003854        1.000000
       338.000000       -0.003853        1.000000
       339.000000       -0.003811        1.000000
       340.000000       -0.003805        1.000000
       341.000000       -0.003804        1.000000
       342.000000       -0.003789        1.000000
       343.000000       -0.003789        1.000000
       344.000000       -0.003773        1.000000
       345.000000       -0.003773        1.000000
       346.000000       -0.003741        1.000000
       347.000000       -0.003740        1.000000
       348.000000       -0.003713        1.000000
       349.000000       -0.003713        1.000000
       350.000000       -0.003650        1.000000
       351.000000       -0.003649        1.000000
       352.000000       -0.003647        1.000000
       353.000000       -0.003593        1.000000
       354.000000       -0.003592        1.000000
       355.000000       -0.003585        1.000000
       356.000000       -0.003585        1.000000
       357.000000       -0.003564        1.000000
       358.000000       -0.003563        1.000000
       359.000000       -0.003561        1.000000
       360.000000       -0.003561        1.000000
       361.000000       -0.003517        1.000000
       362.000000       -0.003516        1.000000
       363.000000       -0.003500        1.000000
       364.000000       -0.003500        1.000000
       365.000000       -0.003493        1.000000
       366.000000       -0.003462        1.000000
       367.000000       -0.003461        1.000000
       368.000000       -0.003446        1.000000
       369.000000       -0.003445        1.000000
       370.000000       -0.003429        1.000000
       371.000000       -0.003428        1.000000
       372.000000       -0.003427        1.000000
       373.000000       -0.003427        1.000000
       374.000000       -0.003386        1.000000
       375.000000       -0.003385        1.000000
       376.000000       -0.003380        1.000000
       377.000000       -0.003379        1.000000
       378.000000       -0.003308        1.000000
       379.000000       -0.003271        1.000000
       380.000000       -0.003270        1.000000
       381.000000       -0.003264        1.000000
       382.000000       -0.003263        1.000000
       383.000000       -0.003236        1.000000
       384.000000       -0.003235        1.000000
       385.000000       -0.003184        1.000000
       386.000000       -0.003184        1.000000
       387.000000       -0.003179        1.000000
       388.000000       -0.003165        1.000000
       389.000000       -0.003164        1.000000
       390.000000       -0.003158        1.000000
       391.000000       -0.003158        1.000000
       392.000000       -0.003144        1.000000
       393.000000       -0.003144        1.000000
       394.000000       -0.003130        1.000000
       395.000000       -0.003128        1.000000
       396.000000       -0.003127        1.000000
       397.000000       -0.003126        1.000000
       398.000000       -0.003122        1.000000
       399.000000       -0.003114        1.000000
       400.000000       -0.003113        1.000000
       401.000000       -0.003109        1.000000
       402.000000       -0.003108        1.000000
       403.000000       -0.003106        1.000000
       404.000000       -0.003105        1.000000
       405.000000       -0.003068        1.000000
       406.000000       -0.003068        1.000000
       407.000000       -0.003048        1.000000
       408.000000       -0.003047        1.000000
       409.000000       -0.003031        1.000000
       410.000000       -0.002977        1.000000
       411.000000       -0.002976        1.000000
       412.000000       -0.002966        1.000000
       413.000000       -0.002965        1.000000
       414.000000       -0.002951        1.000000
       415.000000       -0.002949        1.000000
       416.000000       -0.002851        1.000000
       417.000000       -0.002850        1.000000
       418.000000       -0.002847        1.000000
       419.000000       -0.002846        1.000000
       420.000000       -0.002845        1.000000
       421.000000       -0.002845        1.000000
       422.000000       -0.002829        1.000000
       423.000000       -0.002829        1.000000
       424.000000       -0.002824        1.000000
       425.000000       -0.002822        1.000000
       426.000000       -0.002819        1.000000
       427.000000       -0.002789        1.000000
       428.000000       -0.002788        1.000000
       429.000000       -0.002782        1.000000
       430.000000       -0.002779        1.000000
       431.000000       -0.002744        1.000000
       432.000000       -0.002742        1.000000
       433.000000       -0.002696        1.000000
       434.000000       -0.002694        1.000000
       435.000000       -0.002684        1.000000
       436.000000       -0.002681        1.000000
       437.000000       -0.002664        1.000000
       438.000000       -0.002662        1.000000
       439.000000       -0.002661        1.000000
       440.000000       -0.002649        1.000000
       441.000000       -0.002649        1.000000
       442.000000       -0.002609        1.000000
       443.000000       -0.002608        1.000000
       444.000000       -0.002607        1.000000
       445.000000       -0.002606        1.000000
       446.000000       -0.002597        1.000000
       447.000000       -0.002596        1.000000
       448.000000       -0.002554        1.000000
       449.000000       -0.002553        1.000000
       450.000000       -0.002551        1.000000
       451.000000       -0.002542        1.000000
       452.000000       -0.002537        1.000000
       453.000000       -0.002536        1.000000
       454.000000       -0.002533        1.000000
       455.000000       -0.002525        1.000000
       456.000000       -0.002524        1.000000
       457.000000       -0.002499        1.000000
       458.000000       -0.002498        1.000000
       459.000000       -0.002487        1.000000
       460.000000       -0.002459        1.000000
       461.000000       -0.002456        1.000000
