#            iprt         eigenv.           conv.
         1.000000       -2.038393        1.000000
         2.000000       -0.727040        1.000000
         3.000000       -0.617643        1.000000
         4.000000       -0.617639        1.000000
         5.000000       -0.491699        1.000000
         6.000000       -0.390156        1.000000
         7.000000       -0.390151        1.000000
         8.000000       -0.289318        1.000000
         9.000000       -0.289317        1.000000
        10.000000       -0.265901        1.000000
        11.000000       -0.243080        1.000000
        12.000000       -0.243078        1.000000
        13.000000       -0.221217        1.000000
        14.000000       -0.200109        1.000000
        15.000000       -0.175002        1.000000
        16.000000       -0.175000        1.000000
        17.000000       -0.145315        1.000000
        18.000000       -0.145303        1.000000
        19.000000       -0.139865        1.000000
        20.000000       -0.139863        1.000000
        21.000000       -0.137723        1.000000
        22.000000       -0.137720        1.000000
        23.000000       -0.134454        1.000000
        24.000000       -0.132593        1.000000
        25.000000       -0.132592        1.000000
        26.000000       -0.090954        1.000000
        27.000000       -0.081736        1.000000
        28.000000       -0.081733        1.000000
        29.000000       -0.073463        1.000000
        30.000000       -0.065868        1.000000
        31.000000       -0.065868        1.000000
        32.000000       -0.057208        1.000000
        33.000000       -0.055912        1.000000
        34.000000       -0.055912        1.000000
        35.000000       -0.052028        1.000000
        36.000000       -0.050965        1.000000
        37.000000       -0.050965        1.000000
        38.000000       -0.050149        1.000000
        39.000000       -0.050148        1.000000
        40.000000       -0.049802        1.000000
        41.000000       -0.049801        1.000000
        42.000000       -0.047047        1.000000
        43.000000       -0.047047        1.000000
        44.000000       -0.046645        1.000000
        45.000000       -0.046644        1.000000
        46.000000       -0.040819        1.000000
        47.000000       -0.039159        1.000000
        48.000000       -0.039159        1.000000
        49.000000       -0.037922        1.000000
        50.000000       -0.037918        1.000000
        51.000000       -0.033692        1.000000
        52.000000       -0.030644        1.000000
        53.000000       -0.030148        1.000000
        54.000000       -0.030148        1.000000
        55.000000       -0.028957        1.000000
        56.000000       -0.028956        1.000000
        57.000000       -0.027284        1.000000
        58.000000       -0.027284        1.000000
        59.000000       -0.026119        1.000000
        60.000000       -0.024912        1.000000
        61.000000       -0.024912        1.000000
        62.000000       -0.024402        1.000000
        63.000000       -0.024402        1.000000
        64.000000       -0.023021        1.000000
        65.000000       -0.023020        1.000000
        66.000000       -0.022685        1.000000
        67.000000       -0.022685        1.000000
        68.000000       -0.022666        1.000000
        69.000000       -0.022666        1.000000
        70.000000       -0.022072        1.000000
        71.000000       -0.021898        1.000000
        72.000000       -0.021898        1.000000
        73.000000       -0.021751        1.000000
        74.000000       -0.021751        1.000000
        75.000000       -0.021111        1.000000
        76.000000       -0.020748        1.000000
        77.000000       -0.020747        1.000000
        78.000000       -0.019532        1.000000
        79.000000       -0.019531        1.000000
        80.000000       -0.019375        1.000000
        81.000000       -0.019375        1.000000
        82.000000       -0.017692        1.000000
        83.000000       -0.016754        1.000000
        84.000000       -0.016754        1.000000
        85.000000       -0.016734        1.000000
        86.000000       -0.016731        1.000000
        87.000000       -0.016137        1.000000
        88.000000       -0.015696        1.000000
        89.000000       -0.015696        1.000000
        90.000000       -0.014684        1.000000
        91.000000       -0.014684        1.000000
        92.000000       -0.014325        1.000000
        93.000000       -0.013420        1.000000
        94.000000       -0.013337        1.000000
        95.000000       -0.013337        1.000000
        96.000000       -0.013328        1.000000
        97.000000       -0.013328        1.000000
        98.000000       -0.012391        1.000000
        99.000000       -0.012391        1.000000
       100.000000       -0.012281        1.000000
       101.000000       -0.012281        1.000000
       102.000000       -0.012050        1.000000
       103.000000       -0.012050        1.000000
       104.000000       -0.011797        1.000000
       105.000000       -0.011797        1.000000
       106.000000       -0.011683        1.000000
       107.000000       -0.011683        1.000000
       108.000000       -0.011662        1.000000
       109.000000       -0.011575        1.000000
       110.000000       -0.011575        1.000000
       111.000000       -0.011293        1.000000
       112.000000       -0.011293        1.000000
       113.000000       -0.011251        1.000000
       114.000000       -0.011251        1.000000
       115.000000       -0.011220        1.000000
       116.000000       -0.011220        1.000000
       117.000000       -0.010648        1.000000
       118.000000       -0.010647        1.000000
       119.000000       -0.010205        1.000000
       120.000000       -0.010205        1.000000
       121.000000       -0.010186        1.000000
       122.000000       -0.010185        1.000000
       123.000000       -0.009846        1.000000
       124.000000       -0.009681        1.000000
       125.000000       -0.009546        1.000000
       126.000000       -0.009546        1.000000
       127.000000       -0.009013        1.000000
       128.000000       -0.008817        1.000000
       129.000000       -0.008817        1.000000
       130.000000       -0.008813        1.000000
       131.000000       -0.008812        1.000000
       132.000000       -0.008645        1.000000
       133.000000       -0.008645        1.000000
       134.000000       -0.008381        1.000000
       135.000000       -0.008381        1.000000
       136.000000       -0.008210        1.000000
       137.000000       -0.007783        1.000000
       138.000000       -0.007783        1.000000
       139.000000       -0.007696        1.000000
       140.000000       -0.007696        1.000000
       141.000000       -0.007514        1.000000
       142.000000       -0.007208        1.000000
       143.000000       -0.007207        1.000000
       144.000000       -0.007182        1.000000
       145.000000       -0.007181        1.000000
       146.000000       -0.007176        1.000000
       147.000000       -0.007176        1.000000
       148.000000       -0.007004        1.000000
       149.000000       -0.007002        1.000000
       150.000000       -0.006775        1.000000
       151.000000       -0.006765        1.000000
       152.000000       -0.006765        1.000000
       153.000000       -0.006720        1.000000
       154.000000       -0.006720        1.000000
       155.000000       -0.006578        1.000000
       156.000000       -0.006578        1.000000
       157.000000       -0.006545        1.000000
       158.000000       -0.006545        1.000000
       159.000000       -0.006471        1.000000
       160.000000       -0.006471        1.000000
       161.000000       -0.006374        1.000000
       162.000000       -0.006374        1.000000
       163.000000       -0.006218        1.000000
       164.000000       -0.006218        1.000000
       165.000000       -0.006214        1.000000
       166.000000       -0.006214        1.000000
       167.000000       -0.006169        1.000000
       168.000000       -0.006168        1.000000
       169.000000       -0.006074        1.000000
       170.000000       -0.005820        1.000000
       171.000000       -0.005820        1.000000
       172.000000       -0.005715        1.000000
       173.000000       -0.005605        1.000000
