#            iprt         eigenv.           conv.
         1.000000       -3.253133        1.000000
         2.000000       -1.762441        1.000000
         3.000000       -1.762439        1.000000
         4.000000       -1.429284        1.000000
         5.000000       -0.730440        1.000000
         6.000000       -0.725213        1.000000
         7.000000       -0.639689        1.000000
         8.000000       -0.639688        1.000000
         9.000000       -0.505046        1.000000
        10.000000       -0.438715        1.000000
        11.000000       -0.438714        1.000000
        12.000000       -0.417384        1.000000
        13.000000       -0.360683        1.000000
        14.000000       -0.339660        1.000000
        15.000000       -0.339660        1.000000
        16.000000       -0.316126        1.000000
        17.000000       -0.313861        1.000000
        18.000000       -0.255294        1.000000
        19.000000       -0.239070        1.000000
        20.000000       -0.239069        1.000000
        21.000000       -0.193873        1.000000
        22.000000       -0.191790        1.000000
        23.000000       -0.191790        1.000000
        24.000000       -0.177518        1.000000
        25.000000       -0.177499        1.000000
        26.000000       -0.177172        1.000000
        27.000000       -0.177172        1.000000
        28.000000       -0.174305        1.000000
        29.000000       -0.173979        1.000000
        30.000000       -0.171064        1.000000
        31.000000       -0.171064        1.000000
        32.000000       -0.169705        1.000000
        33.000000       -0.169678        1.000000
        34.000000       -0.167106        1.000000
        35.000000       -0.167106        1.000000
        36.000000       -0.164058        1.000000
        37.000000       -0.151640        1.000000
        38.000000       -0.148182        1.000000
        39.000000       -0.148119        1.000000
        40.000000       -0.126360        1.000000
        41.000000       -0.126088        1.000000
        42.000000       -0.126088        1.000000
        43.000000       -0.125903        1.000000
        44.000000       -0.125903        1.000000
        45.000000       -0.125836        1.000000
        46.000000       -0.125706        1.000000
        47.000000       -0.125692        1.000000
        48.000000       -0.125408        1.000000
        49.000000       -0.125408        1.000000
        50.000000       -0.125310        1.000000
        51.000000       -0.125310        1.000000
        52.000000       -0.125259        1.000000
        53.000000       -0.125259        1.000000
        54.000000       -0.123498        1.000000
        55.000000       -0.120385        1.000000
        56.000000       -0.120385        1.000000
        57.000000       -0.106360        1.000000
        58.000000       -0.102984        1.000000
        59.000000       -0.102984        1.000000
        60.000000       -0.102649        1.000000
        61.000000       -0.096942        1.000000
        62.000000       -0.096844        1.000000
        63.000000       -0.091569        1.000000
        64.000000       -0.091569        1.000000
        65.000000       -0.087841        1.000000
        66.000000       -0.087429        1.000000
        67.000000       -0.087429        1.000000
        68.000000       -0.087157        1.000000
        69.000000       -0.081737        1.000000
        70.000000       -0.081702        1.000000
        71.000000       -0.079084        1.000000
        72.000000       -0.073506        1.000000
        73.000000       -0.073020        1.000000
        74.000000       -0.073020        1.000000
        75.000000       -0.072897        1.000000
        76.000000       -0.060584        1.000000
        77.000000       -0.056710        1.000000
        78.000000       -0.056710        1.000000
        79.000000       -0.054386        1.000000
        80.000000       -0.054386        1.000000
        81.000000       -0.052194        1.000000
        82.000000       -0.052194        1.000000
        83.000000       -0.051089        1.000000
        84.000000       -0.049832        1.000000
        85.000000       -0.049707        1.000000
        86.000000       -0.049204        1.000000
        87.000000       -0.049203        1.000000
        88.000000       -0.049190        1.000000
        89.000000       -0.049189        1.000000
        90.000000       -0.049189        1.000000
        91.000000       -0.049189        1.000000
        92.000000       -0.049170        1.000000
        93.000000       -0.049170        1.000000
        94.000000       -0.049161        1.000000
        95.000000       -0.049160        1.000000
        96.000000       -0.049159        1.000000
        97.000000       -0.049141        1.000000
        98.000000       -0.049141        1.000000
        99.000000       -0.049134        1.000000
       100.000000       -0.049134        1.000000
       101.000000       -0.048937        1.000000
       102.000000       -0.048744        1.000000
       103.000000       -0.048591        1.000000
       104.000000       -0.044701        1.000000
       105.000000       -0.044228        1.000000
       106.000000       -0.044202        1.000000
       107.000000       -0.043245        1.000000
       108.000000       -0.038096        1.000000
       109.000000       -0.038096        1.000000
       110.000000       -0.038068        1.000000
       111.000000       -0.038068        1.000000
       112.000000       -0.037139        1.000000
       113.000000       -0.037128        1.000000
       114.000000       -0.035143        1.000000
       115.000000       -0.035143        1.000000
       116.000000       -0.034723        1.000000
       117.000000       -0.034723        1.000000
       118.000000       -0.034052        1.000000
       119.000000       -0.034038        1.000000
       120.000000       -0.032579        1.000000
       121.000000       -0.032532        1.000000
       122.000000       -0.032488        1.000000
       123.000000       -0.032054        1.000000
       124.000000       -0.031349        1.000000
       125.000000       -0.031312        1.000000
       126.000000       -0.031220        1.000000
       127.000000       -0.031220        1.000000
       128.000000       -0.031014        1.000000
       129.000000       -0.031014        1.000000
       130.000000       -0.029681        1.000000
       131.000000       -0.029681        1.000000
       132.000000       -0.029668        1.000000
       133.000000       -0.029668        1.000000
       134.000000       -0.029089        1.000000
       135.000000       -0.028449        1.000000
       136.000000       -0.028448        1.000000
       137.000000       -0.027892        1.000000
       138.000000       -0.027892        1.000000
       139.000000       -0.027337        1.000000
       140.000000       -0.027288        1.000000
       141.000000       -0.027163        1.000000
       142.000000       -0.024984        1.000000
       143.000000       -0.024984        1.000000
       144.000000       -0.024931        1.000000
       145.000000       -0.024892        1.000000
       146.000000       -0.023429        1.000000
       147.000000       -0.023428        1.000000
       148.000000       -0.023309        1.000000
       149.000000       -0.023309        1.000000
       150.000000       -0.022900        1.000000
       151.000000       -0.022900        1.000000
       152.000000       -0.022896        1.000000
       153.000000       -0.022896        1.000000
       154.000000       -0.022896        1.000000
       155.000000       -0.022895        1.000000
       156.000000       -0.022894        1.000000
       157.000000       -0.022892        1.000000
       158.000000       -0.022888        1.000000
       159.000000       -0.022885        1.000000
       160.000000       -0.022885        1.000000
       161.000000       -0.022882        1.000000
       162.000000       -0.022882        1.000000
       163.000000       -0.022878        1.000000
       164.000000       -0.022878        1.000000
       165.000000       -0.022866        1.000000
       166.000000       -0.022866        1.000000
       167.000000       -0.022855        1.000000
       168.000000       -0.022855        1.000000
       169.000000       -0.022852        1.000000
       170.000000       -0.022851        1.000000
       171.000000       -0.022848        1.000000
       172.000000       -0.020958        1.000000
       173.000000       -0.020958        1.000000
       174.000000       -0.020788        1.000000
       175.000000       -0.020733        1.000000
       176.000000       -0.020604        1.000000
       177.000000       -0.020604        1.000000
       178.000000       -0.020461        1.000000
       179.000000       -0.019206        1.000000
       180.000000       -0.019206        1.000000
       181.000000       -0.018680        1.000000
       182.000000       -0.018677        1.000000
       183.000000       -0.018645        1.000000
       184.000000       -0.018636        1.000000
       185.000000       -0.018616        1.000000
       186.000000       -0.017865        1.000000
       187.000000       -0.017778        1.000000
       188.000000       -0.017778        1.000000
       189.000000       -0.017195        1.000000
       190.000000       -0.017195        1.000000
       191.000000       -0.017174        1.000000
       192.000000       -0.016943        1.000000
       193.000000       -0.016943        1.000000
       194.000000       -0.016668        1.000000
       195.000000       -0.016666        1.000000
       196.000000       -0.016148        1.000000
       197.000000       -0.016119        1.000000
       198.000000       -0.016007        1.000000
       199.000000       -0.016007        1.000000
       200.000000       -0.015987        1.000000
       201.000000       -0.015782        1.000000
       202.000000       -0.015782        1.000000
       203.000000       -0.015487        1.000000
       204.000000       -0.015486        1.000000
       205.000000       -0.015422        1.000000
       206.000000       -0.015401        1.000000
       207.000000       -0.015352        1.000000
       208.000000       -0.015342        1.000000
       209.000000       -0.014932        1.000000
       210.000000       -0.014925        1.000000
       211.000000       -0.014850        1.000000
       212.000000       -0.014850        1.000000
       213.000000       -0.014788        1.000000
       214.000000       -0.014788        1.000000
       215.000000       -0.014755        1.000000
       216.000000       -0.014755        1.000000
       217.000000       -0.014669        1.000000
       218.000000       -0.014669        1.000000
       219.000000       -0.014658        1.000000
       220.000000       -0.014092        1.000000
       221.000000       -0.013819        1.000000
       222.000000       -0.013819        1.000000
       223.000000       -0.013732        1.000000
       224.000000       -0.013526        1.000000
       225.000000       -0.013526        1.000000
       226.000000       -0.013105        1.000000
       227.000000       -0.013094        1.000000
       228.000000       -0.012843        1.000000
       229.000000       -0.012597        1.000000
       230.000000       -0.012483        1.000000
       231.000000       -0.012481        1.000000
       232.000000       -0.012134        1.000000
       233.000000       -0.012134        1.000000
       234.000000       -0.012091        1.000000
       235.000000       -0.012091        1.000000
       236.000000       -0.012000        1.000000
       237.000000       -0.012000        1.000000
       238.000000       -0.011951        1.000000
       239.000000       -0.011950        1.000000
       240.000000       -0.011803        1.000000
