#            iprt         eigenv.           conv.
         1.000000       -3.253133        1.000000
         2.000000       -1.762441        1.000000
         3.000000       -1.762439        1.000000
         4.000000       -1.429284        1.000000
         5.000000       -0.730440        1.000000
         6.000000       -0.725213        1.000000
         7.000000       -0.639689        1.000000
         8.000000       -0.639688        1.000000
         9.000000       -0.505046        1.000000
        10.000000       -0.438715        1.000000
        11.000000       -0.438714        1.000000
        12.000000       -0.417384        1.000000
        13.000000       -0.360683        1.000000
        14.000000       -0.339660        1.000000
        15.000000       -0.339660        1.000000
        16.000000       -0.316126        1.000000
        17.000000       -0.313861        1.000000
        18.000000       -0.255294        1.000000
        19.000000       -0.239070        1.000000
        20.000000       -0.239069        1.000000
        21.000000       -0.193873        1.000000
        22.000000       -0.191790        1.000000
        23.000000       -0.191790        1.000000
        24.000000       -0.177518        1.000000
        25.000000       -0.177499        1.000000
        26.000000       -0.177172        1.000000
        27.000000       -0.177171        1.000000
        28.000000       -0.174305        1.000000
        29.000000       -0.173979        1.000000
        30.000000       -0.171064        1.000000
        31.000000       -0.171064        1.000000
        32.000000       -0.169705        1.000000
        33.000000       -0.169678        1.000000
        34.000000       -0.167106        1.000000
        35.000000       -0.167106        1.000000
        36.000000       -0.164057        1.000000
        37.000000       -0.151640        1.000000
        38.000000       -0.148182        1.000000
        39.000000       -0.148119        1.000000
        40.000000       -0.126359        1.000000
        41.000000       -0.126088        1.000000
        42.000000       -0.126088        1.000000
        43.000000       -0.125903        1.000000
        44.000000       -0.125902        1.000000
        45.000000       -0.125836        1.000000
        46.000000       -0.125705        1.000000
        47.000000       -0.125692        1.000000
        48.000000       -0.125408        1.000000
        49.000000       -0.125408        1.000000
        50.000000       -0.125309        1.000000
        51.000000       -0.125309        1.000000
        52.000000       -0.125259        1.000000
        53.000000       -0.125259        1.000000
        54.000000       -0.123498        1.000000
        55.000000       -0.120385        1.000000
        56.000000       -0.120384        1.000000
        57.000000       -0.106357        1.000000
        58.000000       -0.102983        1.000000
        59.000000       -0.102982        1.000000
        60.000000       -0.102647        1.000000
        61.000000       -0.096939        1.000000
        62.000000       -0.096839        0.000000
        63.000000       -0.091568        1.000000
        64.000000       -0.091567        1.000000
        65.000000       -0.087837        1.000000
        66.000000       -0.087425        1.000000
        67.000000       -0.087423        0.000000
        68.000000       -0.087151        0.000000
        69.000000       -0.081729        0.000000
        70.000000       -0.081695        0.000000
        71.000000       -0.079078        1.000000
        72.000000       -0.073499        1.000000
        73.000000       -0.073007        1.000000
        74.000000       -0.072998        0.000000
        75.000000       -0.072889        0.000000
        76.000000       -0.060558        0.000000
        77.000000       -0.056680        0.000000
        78.000000       -0.056674        0.000000
        79.000000       -0.054339        0.000000
        80.000000       -0.054324        0.000000
        81.000000       -0.052158        0.000000
        82.000000       -0.052135        0.000000
        83.000000       -0.051055        0.000000
        84.000000       -0.049760        0.000000
        85.000000       -0.049622        0.000000
        86.000000       -0.049169        1.000000
        87.000000       -0.049163        1.000000
        88.000000       -0.049154        0.000000
        89.000000       -0.049148        0.000000
        90.000000       -0.049140        0.000000
        91.000000       -0.049120        0.000000
        92.000000       -0.049105        0.000000
        93.000000       -0.049094        0.000000
        94.000000       -0.049082        0.000000
        95.000000       -0.049039        0.000000
        96.000000       -0.048984        0.000000
        97.000000       -0.048944        0.000000
        98.000000       -0.048892        0.000000
        99.000000       -0.048822        0.000000
       100.000000       -0.048723        0.000000
