#            iprt         eigenv.           conv.
         1.000000       -2.035577        1.000000
         2.000000       -1.430036        1.000000
         3.000000       -1.402139        1.000000
         4.000000       -1.402137        1.000000
         5.000000       -0.724048        0.000000
         6.000000       -0.561252        1.000000
         7.000000       -0.561246        1.000000
         8.000000       -0.531354        1.000000
         9.000000       -0.523937        1.000000
        10.000000       -0.469259        1.000000
        11.000000       -0.469255        0.000000
        12.000000       -0.443578        1.000000
        13.000000       -0.443555        0.000000
        14.000000       -0.437256        1.000000
        15.000000       -0.437253        1.000000
        16.000000       -0.430804        1.000000
        17.000000       -0.319802        0.000000
        18.000000       -0.319291        0.000000
        19.000000       -0.318019        0.000000
        20.000000       -0.316982        0.000000
