
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:29:12 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        5377    5377      1               295907   295907       1
 
     Reading data from file  out.oncv
    0.000000000    0.215400606   -0.073687834
    0.013685333    0.215311388   -0.073685347
    0.027370667    0.215043454   -0.073677872
    0.041056000    0.214595567   -0.073665377
    0.054741333    0.213965684   -0.073647808
    0.068426667    0.213150987   -0.073625094
    0.082112000    0.212147921   -0.073597141
    0.095797333    0.210952244   -0.073563841
    0.109482667    0.209559090   -0.073525069
    0.123168000    0.207963032   -0.073480682
    0.136853333    0.206158163   -0.073430531
    0.150538667    0.204138179   -0.073374450
    0.164224000    0.201896465   -0.073312270
    0.177909333    0.199426191   -0.073243815
    0.191594667    0.196720410   -0.073168904
    0.205280000    0.193772152   -0.073087358
    0.218965333    0.190574527   -0.072998999
    0.232650667    0.187120822   -0.072903654
    0.246336000    0.183404599   -0.072801157
    0.260021333    0.179419786   -0.072691352
    0.273706667    0.175160771   -0.072574095
    0.287392000    0.170622485   -0.072449255
    0.301077333    0.165800478   -0.072316718
    0.314762667    0.160690997   -0.072176390
    0.328448000    0.155291046   -0.072028193
    0.342133333    0.149598445   -0.071872075
    0.355818667    0.143611878   -0.071708004
    0.369504000    0.137330936   -0.071535972
    0.383189333    0.130756146   -0.071355995
    0.396874667    0.123888993   -0.071168117
    0.410560000    0.116731940   -0.070972406
    0.424245333    0.109288428   -0.070768956
    0.437930667    0.101562881   -0.070557887
    0.451616000    0.093560692   -0.070339345
    0.465301333    0.085288207   -0.070113501
    0.478986667    0.076752709   -0.069880553
    0.492672000    0.067962382   -0.069640720
    0.506357333    0.058926282   -0.069394248
    0.520042667    0.049654299   -0.069141401
    0.533728000    0.040157114   -0.068882467
    0.547413333    0.030446158   -0.068617756
    0.561098667    0.020533559   -0.068347592
    0.574784000    0.010432098   -0.068072322
    0.588469333    0.000155158   -0.067792306
    0.602154667   -0.010283329   -0.067507920
    0.615840000   -0.020868929   -0.067219554
    0.629525333   -0.031586762   -0.066927610
    0.643210667   -0.042421546   -0.066632501
    0.656896000   -0.053357652   -0.066334650
    0.670581333   -0.064379147   -0.066034488
    0.684266667   -0.075469843   -0.065732455
    0.697952000   -0.086613340   -0.065428993
    0.711637333   -0.097793072   -0.065124553
    0.725322667   -0.108992347   -0.064819587
    0.739008000   -0.120194384   -0.064514551
    0.752693333   -0.131382355   -0.064209902
    0.766378667   -0.142539420   -0.063906097
    0.780064000   -0.153648761   -0.063603593
    0.793749333   -0.164693614   -0.063302846
    0.807434667   -0.175657306   -0.063004309
    0.821120000   -0.186523281   -0.062708432
    0.834805333   -0.197275130   -0.062415663
    0.848490667   -0.207896622   -0.062126442
    0.862176000   -0.218371729   -0.061841205
    0.875861333   -0.228684655   -0.061560383
    0.889546667   -0.238819858   -0.061284398
    0.903232000   -0.248762081   -0.061013665
    0.916917333   -0.258496372   -0.060748592
    0.930602667   -0.268008106   -0.060489577
    0.944288000   -0.277283014   -0.060237008
    0.957973333   -0.286307200   -0.059991264
    0.971658667   -0.295067164   -0.059752712
    0.985344000   -0.303549822   -0.059521708
    0.999029333   -0.311742525   -0.059298597
    1.012714667   -0.319633081   -0.059083710
    1.026400000   -0.327209769   -0.058877368
    1.040085333   -0.334461356   -0.058679876
    1.053770667   -0.341377115   -0.058491526
    1.067456000   -0.347946836   -0.058312597
    1.081141333   -0.354160843   -0.058143352
    1.094826667   -0.360010005   -0.057984040
    1.108512000   -0.365485746   -0.057834896
    1.122197333   -0.370580056   -0.057696136
    1.135882667   -0.375285500   -0.057567966
    1.149568000   -0.379595225   -0.057450570
    1.163253333   -0.383502969   -0.057344120
    1.176938667   -0.387003066   -0.057248772
    1.190624000   -0.390090450   -0.057164662
    1.204309333   -0.392760660   -0.057091913
    1.217994667   -0.395009845   -0.057030630
    1.231680000   -0.396834765   -0.056980902
    1.245365333   -0.398232795   -0.056942800
    1.259050667   -0.399201926   -0.056916379
    1.272736000   -0.399740765   -0.056901677
    1.286421333   -0.399848540   -0.056898715
    1.300106667   -0.399525095   -0.056907498
    1.313792000   -0.398770895   -0.056928013
    1.327477333   -0.397587022   -0.056960230
    1.341162667   -0.395975178   -0.057004102
    1.354848000   -0.393937679   -0.057059567
    1.368533333   -0.391477459   -0.057126545
    1.382218667   -0.388598064   -0.057204938
    1.395904000   -0.385303650   -0.057294632
    1.409589333   -0.381598981   -0.057395499
    1.423274667   -0.377489423   -0.057507391
    1.436960000   -0.372980942   -0.057630146
    1.450645333   -0.368080096   -0.057763584
    1.464330667   -0.362794030   -0.057907511
    1.478016000   -0.357130467   -0.058061716
    1.491701333   -0.351097702   -0.058225973
    1.505386667   -0.344704589   -0.058400041
    1.519072000   -0.337960534   -0.058583662
    1.532757333   -0.330875481   -0.058776567
    1.546442667   -0.323459901   -0.058978470
    1.560128000   -0.315724775   -0.059189071
    1.573813333   -0.307681582   -0.059408058
    1.587498667   -0.299342282   -0.059635105
