#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
        33.000000       -1.387025      -16.135701      -10.978721        0.000000       -6.544005
        34.000000       -1.387011      -16.135693      -10.978718        0.000000       -6.543986
        35.000000       -1.386992      -16.135687      -10.978715        0.000000       -6.543964
        36.000000       -1.386987      -16.135692      -10.978718        0.000000       -6.543961
        37.000000       -1.386982      -16.135689      -10.978716        0.000000       -6.543955
        38.000000       -1.386964      -16.135677      -10.978710        0.000000       -6.543930
        39.000000       -1.386959      -16.135672      -10.978709        0.000000       -6.543923
        40.000000       -1.386933      -16.135663      -10.978703        0.000000       -6.543893
        41.000000       -1.386916      -16.135651      -10.978698        0.000000       -6.543870
        42.000000       -0.707141      -14.959425      -10.192472        0.000000       -5.474094
        43.000000       -0.707114      -14.959421      -10.192480        0.000000       -5.474055
        44.000000       -0.707108      -14.959418      -10.192483        0.000000       -5.474043
        45.000000       -0.707104      -14.959414      -10.192479        0.000000       -5.474040
        46.000000        0.785239      -14.956882      -10.896542        0.000000       -3.275102
        47.000000        0.785253      -14.956875      -10.896537        0.000000       -3.275086
        48.000000        0.785262      -14.956868      -10.896533        0.000000       -3.275073
        49.000000        0.785276      -14.956860      -10.896528        0.000000       -3.275056
        50.000000        0.785284      -14.956860      -10.896529        0.000000       -3.275048
        51.000000        0.785291      -14.956856      -10.896525        0.000000       -3.275040
        52.000000        0.785299      -14.956849      -10.896523        0.000000       -3.275028
        53.000000        0.785317      -14.956836      -10.896519        0.000000       -3.275000
        54.000000        0.785321      -14.956838      -10.896521        0.000000       -3.274996
        55.000000        0.785340      -14.956827      -10.896511        0.000000       -3.274976
        56.000000        0.785341      -14.956829      -10.896513        0.000000       -3.274975
        57.000000        0.785347      -14.956821      -10.896511        0.000000       -3.274963
        58.000000        2.410424      -12.967257       -9.954992        0.000000       -0.601842
        59.000000        2.410432      -12.967251       -9.954989        0.000000       -0.601830
        60.000000        2.410446      -12.967255       -9.954993        0.000000       -0.601817
        61.000000        2.410461      -12.967244       -9.954983        0.000000       -0.601800
        62.000000        2.410465      -12.967243       -9.954987        0.000000       -0.601791
        63.000000        2.410471      -12.967240       -9.954984        0.000000       -0.601784
        64.000000        2.410478      -12.967232       -9.954978        0.000000       -0.601776
        65.000000        2.410483      -12.967230       -9.954977        0.000000       -0.601770
        66.000000        2.410488      -12.967224       -9.954977        0.000000       -0.601760
        67.000000        2.410502      -12.967220       -9.954977        0.000000       -0.601742
        68.000000        2.410515      -12.967220       -9.954974        0.000000       -0.601731
        69.000000        2.410519      -12.967219       -9.954975        0.000000       -0.601724
        70.000000        2.510188      -12.950987      -10.031964        0.000000       -0.408835
        71.000000        2.510197      -12.950980      -10.031959        0.000000       -0.408823
        72.000000        2.510201      -12.950980      -10.031959        0.000000       -0.408819
        73.000000        2.510206      -12.950976      -10.031956        0.000000       -0.408814
        74.000000        2.510220      -12.950968      -10.031954        0.000000       -0.408795
        75.000000        2.510227      -12.950969      -10.031949        0.000000       -0.408793
        76.000000        2.510238      -12.950955      -10.031949        0.000000       -0.408768
        77.000000        2.510247      -12.950954      -10.031946        0.000000       -0.408762
        78.000000        2.510256      -12.950950      -10.031946        0.000000       -0.408748
        79.000000        2.510260      -12.950948      -10.031945        0.000000       -0.408744
        80.000000        2.510265      -12.950952      -10.031939        0.000000       -0.408748
