#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000       33.000000       -1.387025       -1.387025        4.637666       -1.977210       -0.590185
         1.000000       34.000000       -1.387011       -1.387011        4.637351       -1.976085       -0.589074
         1.000000       35.000000       -1.386992       -1.386992        4.637043       -1.982643       -0.595651
         1.000000       36.000000       -1.386987       -1.386987        4.637165       -1.979739       -0.592752
         1.000000       37.000000       -1.386982       -1.386982        4.636938       -1.985593       -0.598611
         1.000000       38.000000       -1.386964       -1.386964        4.636763       -1.989077       -0.602113
         1.000000       39.000000       -1.386959       -1.386959        4.637314       -1.983227       -0.596268
         1.000000       40.000000       -1.386933       -1.386933        4.636852       -1.988659       -0.601726
         1.000000       41.000000       -1.386916       -1.386916        4.636954       -1.978718       -0.591802
         1.000000       42.000000       -0.707141       -0.707141        4.152189       -1.193595       -0.486454
         1.000000       43.000000       -0.707114       -0.707114        4.153220       -1.189589       -0.482475
         1.000000       44.000000       -0.707108       -0.707108        4.153731       -1.188009       -0.480901
         1.000000       45.000000       -0.707104       -0.707104        4.153537       -1.188788       -0.481684
         1.000000       46.000000        0.785239        0.785239        3.454466        0.086626       -0.698613
         1.000000       47.000000        0.785253        0.785253        3.453738        0.084285       -0.700968
         1.000000       48.000000        0.785262        0.785262        3.454011        0.085500       -0.699762
         1.000000       49.000000        0.785276        0.785276        3.453243        0.084410       -0.700867
         1.000000       50.000000        0.785284        0.785284        3.453353        0.081961       -0.703323
         1.000000       51.000000        0.785291        0.785291        3.454353        0.089354       -0.695937
         1.000000       52.000000        0.785299        0.785299        3.455604        0.096424       -0.688874
         1.000000       53.000000        0.785317        0.785317        3.452965        0.081671       -0.703646
         1.000000       54.000000        0.785321        0.785321        3.453001        0.081466       -0.703855
         1.000000       55.000000        0.785340        0.785340        3.453353        0.085599       -0.699741
         1.000000       56.000000        0.785341        0.785341        3.453835        0.088083       -0.697259
         1.000000       57.000000        0.785347        0.785347        3.455389        0.094981       -0.690366
         1.000000       58.000000        2.410424        2.410424        2.340815        1.884568       -0.525855
         1.000000       59.000000        2.410432        2.410432        2.341411        1.884783       -0.525648
         1.000000       60.000000        2.410446        2.410446        2.340464        1.884120       -0.526326
         1.000000       61.000000        2.410461        2.410461        2.340318        1.883675       -0.526786
         1.000000       62.000000        2.410465        2.410465        2.340673        1.884106       -0.526359
         1.000000       63.000000        2.410471        2.410471        2.340308        1.883990       -0.526481
         1.000000       64.000000        2.410478        2.410478        2.340519        1.883824       -0.526654
         1.000000       65.000000        2.410483        2.410483        2.340490        1.883964       -0.526518
         1.000000       66.000000        2.410488        2.410488        2.340818        1.884159       -0.526329
         1.000000       67.000000        2.410502        2.410502        2.340933        1.883902       -0.526600
         1.000000       68.000000        2.410515        2.410515        2.340985        1.883996       -0.526519
         1.000000       69.000000        2.410519        2.410519        2.340024        1.883756       -0.526764
         1.000000       70.000000        2.510188        2.510188        2.249902        1.846046       -0.664142
         1.000000       71.000000        2.510197        2.510197        2.249590        1.845207       -0.664990
         1.000000       72.000000        2.510201        2.510201        2.249206        1.845210       -0.664991
         1.000000       73.000000        2.510206        2.510206        2.249304        1.845127       -0.665079
         1.000000       74.000000        2.510220        2.510220        2.249692        1.845935       -0.664285
         1.000000       75.000000        2.510227        2.510227        2.248757        1.844412       -0.665815
         1.000000       76.000000        2.510238        2.510238        2.249174        1.844728       -0.665510
         1.000000       77.000000        2.510247        2.510247        2.248980        1.844673       -0.665574
         1.000000       78.000000        2.510256        2.510256        2.249113        1.844954       -0.665302
