#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
        33.000000       -1.387025       -6.544005       -1.685858       -0.298833        4.847821        0.313628
        34.000000       -1.387011       -6.543986       -1.685517       -0.298506        4.848152        0.313354
        35.000000       -1.386992       -6.543964       -1.685902       -0.298910        4.847978        0.313506
        36.000000       -1.386987       -6.543961       -1.685755       -0.298768        4.847908        0.313435
        37.000000       -1.386982       -6.543955       -1.686100       -0.299118        4.847850        0.313581
        38.000000       -1.386964       -6.543930       -1.686022       -0.299058        4.848106        0.313471
        39.000000       -1.386959       -6.543923       -1.686076       -0.299117        4.847708        0.313685
        40.000000       -1.386933       -6.543893       -1.686057       -0.299124        4.848010        0.313605
        41.000000       -1.386916       -6.543870       -1.686104       -0.299188        4.847447        0.313666
        42.000000       -0.707141       -5.474094       -1.229384       -0.522243        4.295929        0.192413
        43.000000       -0.707114       -5.474055       -1.226785       -0.519672        4.293431        0.193805
        44.000000       -0.707108       -5.474043       -1.232326       -0.525218        4.294551        0.194297
        45.000000       -0.707104       -5.474040       -1.232829       -0.525725        4.295039        0.194019
        46.000000        0.785239       -3.275102        0.314240       -0.470999        3.599057        0.125838
        47.000000        0.785253       -3.275086        0.313223       -0.472030        3.604679        0.124595
        48.000000        0.785262       -3.275073        0.314108       -0.471154        3.598919        0.125740
        49.000000        0.785276       -3.275056        0.312200       -0.473076        3.604465        0.124500
        50.000000        0.785284       -3.275048        0.312612       -0.472671        3.604775        0.124692
        51.000000        0.785291       -3.275040        0.313854       -0.471437        3.598572        0.125765
        52.000000        0.785299       -3.275028        0.313739       -0.471559        3.598637        0.125756
        53.000000        0.785317       -3.275000        0.312456       -0.472860        3.604579        0.124574
        54.000000        0.785321       -3.274996        0.312464       -0.472857        3.604592        0.124635
        55.000000        0.785340       -3.274976        0.313601       -0.471739        3.598321        0.125706
        56.000000        0.785341       -3.274975        0.313789       -0.471552        3.598470        0.125622
        57.000000        0.785347       -3.274963        0.313760       -0.471587        3.598621        0.125839
        58.000000        2.410424       -0.601842        1.875914       -0.534510        2.478864        0.055841
        59.000000        2.410432       -0.601830        1.876474       -0.533958        2.479400        0.055846
        60.000000        2.410446       -0.601817        1.875643       -0.534802        2.478563        0.055833
        61.000000        2.410461       -0.601800        1.875558       -0.534903        2.478450        0.055850
        62.000000        2.410465       -0.601791        1.875840       -0.534625        2.478727        0.055838
        63.000000        2.410471       -0.601784        1.875595       -0.534875        2.478480        0.055836
        64.000000        2.410478       -0.601776        1.875712       -0.534766        2.478580        0.055848
        65.000000        2.410483       -0.601770        1.875727       -0.534756        2.478593        0.055851
        66.000000        2.410488       -0.601760        1.876047       -0.534442        2.478897        0.055833
        67.000000        2.410502       -0.601742        1.876041       -0.534460        2.478868        0.055855
        68.000000        2.410515       -0.601731        1.876029       -0.534486        2.478850        0.055877
        69.000000        2.410519       -0.601724        1.875339       -0.535180        2.478165        0.055857
        70.000000        2.510188       -0.408835        2.053862       -0.456326        2.429158        0.024047
        71.000000        2.510197       -0.408823        2.053117       -0.457080        2.428834        0.024013
        72.000000        2.510201       -0.408819        2.052944       -0.457257        2.428654        0.024034
        73.000000        2.510206       -0.408814        2.052931       -0.457275        2.428659        0.024019
        74.000000        2.510220       -0.408795        2.053737       -0.456483        2.428996        0.024048
        75.000000        2.510227       -0.408793        2.052364       -0.457862        2.428558        0.024002
        76.000000        2.510238       -0.408768        2.052686       -0.457551        2.428470        0.023988
        77.000000        2.510247       -0.408762        2.052633       -0.457614        2.428352        0.024003
        78.000000        2.510256       -0.408748        2.052785       -0.457471        2.428480        0.024010
        79.000000        2.510260       -0.408744        2.052070       -0.458190        2.428130        0.024009
        80.000000        2.510265       -0.408748        2.052777       -0.457487        2.428465        0.024027
        81.000000        2.510282       -0.408721        2.052537       -0.457745        2.428228        0.024007
        82.000000        2.748943       -0.334869        2.258563       -0.490381        2.593248        0.034039
        83.000000        2.748952       -0.334868        2.259356       -0.489595        2.594072        0.034000
        84.000000        2.748960       -0.334845        2.258625       -0.490335        2.593291        0.034022
        85.000000        2.748970       -0.334843        2.258951       -0.490019        2.593631        0.034023
        86.000000        2.748981       -0.334824        2.258531       -0.490450        2.593174        0.034033
        87.000000        2.748992       -0.334817        2.258964       -0.490028        2.593625        0.033994
        88.000000        3.417823        0.542479        2.878694       -0.539128        2.337530        0.051687
        89.000000        3.417836        0.542494        2.878463       -0.539373        2.337282        0.051549
        90.000000        3.417845        0.542503        2.878406       -0.539439        2.337215        0.051421
        91.000000        3.417856        0.542508        2.878085       -0.539771        2.336890        0.051222
        92.000000        3.417859        0.542515        2.878295       -0.539564        2.337093        0.051282
        93.000000        3.417871        0.542525        2.877969       -0.539902        2.336755        0.051055
        94.000000        4.378937        2.072829        3.919296       -0.459641        1.844947        0.006463
        95.000000        4.378948        2.072838        3.919212       -0.459736        1.844854        0.006463
        96.000000        4.378965        2.072861        3.919031       -0.459934        1.844649        0.006461
        97.000000        4.378974        2.072870        3.919155       -0.459819        1.844764        0.006463
        98.000000        4.378989        2.072887        3.919214       -0.459776        1.844806        0.006462
        99.000000        4.378994        2.072897        3.919034       -0.459960        1.844617        0.006462
       100.000000        4.379001        2.072897        3.919061       -0.459939        1.844644        0.006462
       101.000000        4.379003        2.072906        3.919127       -0.459876        1.844700        0.006463
       102.000000        4.379014        2.072923        3.919131       -0.459883        1.844688        0.006462
       103.000000        4.379033        2.072941        3.918812       -0.460221        1.844351        0.006461
       104.000000        4.379052        2.072964        3.919078       -0.459974        1.844594        0.006461
       105.000000        4.379058        2.072971        3.918824       -0.460234        1.844332        0.006460
       106.000000        4.943559        2.749890        4.471549       -0.472011        1.721855        0.006313
       107.000000        4.943579        2.749909        4.471466       -0.472113        1.721753        0.006313
       108.000000        4.943603        2.749948        4.471176       -0.472427        1.721424        0.006308
       109.000000        4.943614        2.749958        4.470972       -0.472641        1.721210        0.006306
