#            iprt         eigenv.           conv.
         1.000000       -5.505127        1.000000
         2.000000       -5.505092        1.000000
         3.000000       -5.505066        1.000000
         4.000000       -5.505030        1.000000
         5.000000       -5.505002        1.000000
         6.000000       -5.504968        1.000000
         7.000000       -3.869791        1.000000
         8.000000       -3.869782        1.000000
         9.000000       -3.869763        1.000000
        10.000000       -3.869751        1.000000
        11.000000       -3.869745        1.000000
        12.000000       -3.869732        1.000000
        13.000000       -3.869705        1.000000
        14.000000       -3.869696        1.000000
        15.000000       -3.869674        1.000000
        16.000000       -3.869668        1.000000
        17.000000       -3.869646        1.000000
        18.000000       -3.869626        1.000000
        19.000000       -3.435994        1.000000
        20.000000       -3.435985        1.000000
        21.000000       -3.435948        1.000000
        22.000000       -3.435946        1.000000
        23.000000       -2.441664        1.000000
        24.000000       -2.441488        1.000000
        25.000000       -2.441384        1.000000
