#            iprt         eigenv.           conv.
         1.000000       -5.505127        1.000000
         2.000000       -5.505095        1.000000
         3.000000       -5.505066        1.000000
         4.000000       -5.505030        1.000000
         5.000000       -5.505002        1.000000
         6.000000       -5.504968        1.000000
         7.000000       -3.869810        1.000000
         8.000000       -3.869804        1.000000
         9.000000       -3.869776        1.000000
        10.000000       -3.869768        1.000000
        11.000000       -3.869754        1.000000
        12.000000       -3.869745        1.000000
        13.000000       -3.869720        1.000000
        14.000000       -3.869702        1.000000
        15.000000       -3.869688        1.000000
        16.000000       -3.869679        1.000000
        17.000000       -3.869657        1.000000
        18.000000       -3.869636        1.000000
        19.000000       -3.436024        1.000000
        20.000000       -3.436011        1.000000
        21.000000       -3.436008        1.000000
        22.000000       -3.435981        1.000000
        23.000000       -2.441980        1.000000
        24.000000       -2.441977        1.000000
        25.000000       -2.441972        1.000000
        26.000000       -2.441967        1.000000
        27.000000       -2.441963        1.000000
        28.000000       -2.441955        1.000000
        29.000000       -2.335221        1.000000
        30.000000       -2.335203        1.000000
        31.000000       -2.335191        1.000000
        32.000000       -2.335187        1.000000
        33.000000       -2.335185        1.000000
        34.000000       -2.335173        1.000000
        35.000000       -2.335167        1.000000
        36.000000       -2.335159        1.000000
        37.000000       -2.335144        1.000000
        38.000000       -2.335136        1.000000
        39.000000       -2.335124        1.000000
        40.000000       -2.335120        1.000000
        41.000000       -2.023870        1.000000
        42.000000       -2.023852        1.000000
        43.000000       -2.023839        1.000000
        44.000000       -2.023829        1.000000
        45.000000       -2.023791        1.000000
        46.000000       -2.023784        1.000000
        47.000000       -2.023741        1.000000
        48.000000       -2.023671        1.000000
        49.000000       -2.023594        1.000000
        50.000000       -2.023587        1.000000
        51.000000       -2.023297        1.000000
        52.000000       -2.022989        0.000000
        53.000000       -1.960687        1.000000
        54.000000       -1.960678        1.000000
        55.000000       -1.960658        1.000000
        56.000000       -1.960632        1.000000
        57.000000       -1.960605        1.000000
        58.000000       -1.960573        1.000000
        59.000000       -1.960525        1.000000
        60.000000       -1.960484        1.000000
