
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:30: 0 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        4741    4741      1               246225   246225       1
 
     Reading data from file  out.oncv
    0.000000000    0.133758848    0.037792233
    0.010520131    0.130253563    0.037386093
    0.021040261    0.126675189    0.036983940
    0.031560392    0.123023099    0.036585605
    0.042080522    0.119296722    0.036190915
    0.052600653    0.115495556    0.035799689
    0.063120783    0.111619175    0.035411740
    0.073640914    0.107667241    0.035026875
    0.084161044    0.103639517    0.034644897
    0.094681175    0.099535872    0.034265603
    0.105201305    0.095356293    0.033888784
    0.115721436    0.091100888    0.033514229
    0.126241566    0.086769897    0.033141721
    0.136761697    0.082363696    0.032771043
    0.147281827    0.077882798    0.032401971
    0.157801958    0.073327859    0.032034282
    0.168322089    0.068699678    0.031667750
    0.178842219    0.063999197    0.031302148
    0.189362350    0.059227501    0.030937248
    0.199882480    0.054385812    0.030572821
    0.210402611    0.049475493    0.030208641
    0.220922741    0.044498038    0.029844478
    0.231442872    0.039455069    0.029480108
    0.241963002    0.034348332    0.029115304
    0.252483133    0.029179689    0.028749843
    0.263003263    0.023951113    0.028383503
    0.273523394    0.018664684    0.028016065
    0.284043524    0.013322579    0.027647312
    0.294563655    0.007927068    0.027277029
    0.305083785    0.002480509    0.026905003
    0.315603916   -0.003014657    0.026531027
    0.326124047   -0.008555913    0.026154892
    0.336644177   -0.014140668    0.025776396
    0.347164308   -0.019766261    0.025395338
    0.357684438   -0.025429964    0.025011519
    0.368204569   -0.031128981    0.024624744
    0.378724699   -0.036860456    0.024234820
    0.389244830   -0.042621465    0.023841555
    0.399764960   -0.048409024    0.023444764
    0.410285091   -0.054220084    0.023044259
    0.420805221   -0.060051532    0.022639857
    0.431325352   -0.065900188    0.022231377
    0.441845482   -0.071762807    0.021818640
    0.452365613   -0.077636078    0.021401468
    0.462885743   -0.083516619    0.020979688
    0.473405874   -0.089400981    0.020553127
    0.483926005   -0.095285649    0.020121614
    0.494446135   -0.101167038    0.019684980
    0.504966266   -0.107041498    0.019243061
    0.515486396   -0.112905318    0.018795693
    0.526006527   -0.118754728    0.018342716
