
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 18Sep2017 at 17: 2:33 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      20 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    20
     Reading header from file  n-atom.dat

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        9401    9401      1               684885   684885       1
 
     Reading data from file  n-atom.dat
    0.000000000   -0.053671366   -0.014426564
    0.013686000   -0.053653952   -0.014426477
    0.027372000   -0.053601853   -0.014426233
    0.041058000   -0.053515334   -0.014425832
    0.054744000   -0.053394834   -0.014425273
    0.068430000   -0.053240953   -0.014424557
    0.082116000   -0.053054437   -0.014423683
    0.095802000   -0.052836163   -0.014422652
    0.109488000   -0.052587120   -0.014421464
    0.123174000   -0.052308386   -0.014420117
    0.136860000   -0.052001107   -0.014418612
    0.150546000   -0.051666477   -0.014416948
    0.164232000   -0.051305708   -0.014415124
    0.177918000   -0.050920017   -0.014413139
    0.191604000   -0.050510603   -0.014410992
    0.205290000   -0.050078627   -0.014408682
    0.218976000   -0.049625202   -0.014406207
    0.232662000   -0.049151379   -0.014403565
    0.246348000   -0.048658139   -0.014400755
    0.260034000   -0.048146389   -0.014397773
    0.273720000   -0.047616962   -0.014394618
    0.287406000   -0.047070616   -0.014391287
    0.301092000   -0.046508044   -0.014387777
    0.314778000   -0.045929878   -0.014384086
    0.328464000   -0.045336703   -0.014380210
    0.342150000   -0.044729066   -0.014376146
    0.355836000   -0.044107493   -0.014371892
    0.369522000   -0.043472497   -0.014367444
    0.383208000   -0.042824599   -0.014362799
    0.396894000   -0.042164334   -0.014357954
    0.410580000   -0.041492270   -0.014352906
    0.424266000   -0.040809013   -0.014347651
    0.437952000   -0.040115216   -0.014342186
    0.451638000   -0.039411587   -0.014336509
    0.465324000   -0.038698893   -0.014330614
    0.479010000   -0.037977956   -0.014324500
    0.492696000   -0.037249658   -0.014318163
    0.506382000   -0.036514930   -0.014311598
    0.520068000   -0.035774752   -0.014304801
    0.533754000   -0.035030141   -0.014297769
    0.547440000   -0.034282141   -0.014290497
    0.561126000   -0.033531815   -0.014282981
    0.574812000   -0.032780229   -0.014275215
    0.588498000   -0.032028445   -0.014267194
    0.602184000   -0.031277506   -0.014258913
    0.615870000   -0.030528427   -0.014250366
    0.629556000   -0.029782183   -0.014241547
    0.643242000   -0.029039701   -0.014232449
    0.656928000   -0.028301855   -0.014223066
    0.670614000   -0.027569455   -0.014213390
    0.684300000   -0.026843251   -0.014203416
    0.697986000   -0.026123925   -0.014193134
    0.711672000   -0.025412091   -0.014182539
    0.725358000   -0.024708302   -0.014171622
    0.739044000   -0.024013045   -0.014160376
    0.752730000   -0.023326751   -0.014148792
    0.766416000   -0.022649798   -0.014136862
    0.780102000   -0.021982516   -0.014124579
    0.793788000   -0.021325193   -0.014111935
    0.807474000   -0.020678080   -0.014098920
    0.821160000   -0.020041397   -0.014085526
    0.834846000   -0.019415341   -0.014071745
    0.848532000   -0.018800083   -0.014057567
    0.862218000   -0.018195781   -0.014042985
    0.875904000   -0.017602572   -0.014027988
    0.889590000   -0.017020584   -0.014012566
    0.903276000   -0.016449929   -0.013996710
    0.916962000   -0.015890704   -0.013980410
    0.930648000   -0.015342993   -0.013963654
    0.944334000   -0.014806864   -0.013946432
    0.958020000   -0.014282365   -0.013928732
    0.971706000   -0.013769523   -0.013910541
    0.985392000   -0.013268345   -0.013891849
    0.999078000   -0.012778808   -0.013872640
    1.012764000   -0.012300865   -0.013852903
    1.026450000   -0.011834440   -0.013832623
    1.040136000   -0.011379428   -0.013811785
    1.053822000   -0.010935696   -0.013790375
    1.067508000   -0.010503082   -0.013768378
    1.081194000   -0.010081397   -0.013745778
    1.094880000   -0.009670431   -0.013722560
    1.108566000   -0.009269950   -0.013698706
