#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        1.000000      -11.612127      -12.228030        9.823701      -12.228030        0.000000
         1.000000        2.000000      -11.455870      -12.028184        9.823380      -12.028184        0.000000
         1.000000        3.000000      -11.267571      -11.813228        9.702197      -11.813228        0.000000
         1.000000        4.000000      -11.082862      -11.687264        9.694055      -11.687264        0.000000
         1.000000        5.000000      -10.996941      -11.662748        9.659507      -11.662748        0.000000
         1.000000        6.000000      -10.920732      -11.509761        9.656315      -11.509761        0.000000
         1.000000        7.000000      -10.902285      -11.470731        9.703079      -11.470731        0.000000
         1.000000        8.000000      -10.856377      -11.423255        9.667664      -11.423255        0.000000
         1.000000        9.000000      -10.797551      -11.419810        9.615986      -11.419810        0.000000
         1.000000       10.000000      -10.787194      -11.372277        9.641108      -11.372277        0.000000
         1.000000       11.000000      -10.664324      -11.273552        9.606267      -11.273552        0.000000
         1.000000       12.000000      -10.613048      -11.118835        9.676983      -11.118835        0.000000
         1.000000       13.000000      -10.555928      -11.121684        9.611785      -11.121684        0.000000
         1.000000       14.000000      -10.424948      -10.984075        9.581066      -10.984075        0.000000
         1.000000       15.000000      -10.397012      -11.002350        9.542564      -11.002350        0.000000
         1.000000       16.000000      -10.369103      -10.960959        9.549347      -10.960959        0.000000
         1.000000       17.000000      -10.332328      -10.911970        9.531992      -10.911970        0.000000
         1.000000       18.000000      -10.252710      -10.845146        9.492950      -10.845146        0.000000
         1.000000       19.000000      -10.166463      -10.717919        9.521332      -10.717919        0.000000
         1.000000       20.000000      -10.140921      -10.749314        9.485213      -10.749314        0.000000
         1.000000       21.000000      -10.116713      -10.678238        9.528389      -10.678238        0.000000
         1.000000       22.000000      -10.110248      -10.581503        9.547878      -10.581503        0.000000
         1.000000       23.000000      -10.029570      -10.585180        9.506757      -10.585180        0.000000
         1.000000       24.000000       -9.995172      -10.615155        9.447520      -10.615155        0.000000
         1.000000       25.000000       -9.951291      -10.512646        9.479681      -10.512646        0.000000
         1.000000       26.000000       -9.907671      -10.460682        9.483439      -10.460682        0.000000
         1.000000       27.000000       -9.828761      -10.400343        9.431650      -10.400343        0.000000
         1.000000       28.000000       -9.745414      -10.326259        9.448208      -10.326259        0.000000
         1.000000       29.000000       -9.688626      -10.241494        9.455707      -10.241494        0.000000
         1.000000       30.000000       -9.636279      -10.193264        9.426400      -10.193264        0.000000
         1.000000       31.000000       -9.615345      -10.176626        9.403903      -10.176626        0.000000
         1.000000       32.000000       -9.554968      -10.114610        9.403598      -10.114610        0.000000
         1.000000       33.000000       -9.512955      -10.065217        9.423796      -10.065217        0.000000
         1.000000       34.000000       -9.466774      -10.038246        9.399862      -10.038246        0.000000
